league,season,team,player,nation,position,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_a,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg_xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g_a,per_90_minutes_g_pk,per_90_minutes_g_a_pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg_xag,per_90_minutes_npxg,per_90_minutes_npxg_xag,stat_type,nation_possession,position_possession,age_possession,born_possession,90s,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take_ons_att,take-ons_succ,take_ons_succ_pct,take_ons_tkld,take_ons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_mp_playing_time,playing_time_min_playing_time,playing_time_mn/mp,playing_time_min_pct,playing_time_90s_playing_time,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success__/_,team_success__/_90,team_success_on_off,team_success_xg_onxg,team_success_xg_onxga,team_success_xg_xg_/_,team_success_xg_xg_/_90,team_success_xg_on_off,stat_type_playing_time,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_mp_keeper,playing_time_starts_keeper,playing_time_min_keeper,playing_time_90s_keeper,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,stat_type_keeper,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,stat_type_defense,nation_passing,position_passing,age_passing,born_passing,90s_passing,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,xag,expected_xa,expected_a_xag,kp,1/3,ppa,crspa,prgp,stat_type_passing,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,stat_type_goal_shot_creation,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,stat_type_passing_types,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg/sot,expected_psxg_/_,expected_/90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_#opa,sweeper_#opa/90,sweeper_avgdist,stat_type_keeper_adv,nation_shooting,position_shooting,age_shooting,born_shooting,90s_shooting,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg_shooting,expected_npxg_shooting,expected_npxg/sh,expected_g_xg,expected_np:g_xg,stat_type_shooting,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_crdy_misc,performance_crdr_misc,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct,stat_type_misc
ENG-Premier League,2024-25,Arsenal,Kieran Tierney,SCO,"DF,FW",27.0,1997.0,13,2,259,2.9,1,0,1,1,0,0,0,0,0.4,0.4,1.4,1.7,8,15,29,0.35,0.0,0.35,0.35,0.35,0.12,0.48,0.6,0.12,0.6,standard,SCO,"DF,FW",27.0,1997.0,2.9,199,8,36,72,91,6,199,4,2,50.0,1,25.0,108,447,253,8,6,1,3,0,143,29,possession,SCO,"DF,FW",27.0,1997.0,13,259.0,20.0,7.6,2.9,2,62.0,0,11,12.0,13,2.08,3.0,1.0,2.0,0.69,-0.24,4.8,2.6,2.1,0.75,0.08,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,SCO,"DF,FW",27.0,1997.0,2.9,7,5,4,1,2,4,6,66.7,2,0,0,0,3,10,9,0,defense,SCO,"DF,FW",27.0,1997.0,2.9,145,173,83.8,2325,699,69,73,94.5,65,78,83.3,8,15,53.3,0,1.4,0.7,-1.4,8,13,5,2,15,passing,SCO,"DF,FW",27.0,1997.0,2.9,10,3.47,9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,SCO,"DF,FW",27.0,1997.0,2.9,173,155,18,4,1,0,14,14,0,0,0,0,145,0,2,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,SCO,"DF,FW",27.0,1997.0,2.9,1,2,1,50.0,0.69,0.35,0.5,1.0,4.1,0,0,0,0.4,0.4,0.18,0.6,0.6,shooting,SCO,"DF,FW",27.0,1997.0,2.9,0.0,0.0,0.0,1.0,2.0,2.0,14.0,3.0,5.0,0.0,0.0,0.0,6.0,5.0,5.0,50.0,misc
ENG-Premier League,2023-24,Aston Villa,Bertrand Traoré,BFA,"DF,FW",27.0,1995.0,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,BFA,"DF,FW",27.0,1995.0,0.1,7,0,5,2,0,0,7,1,0,0.0,1,100.0,4,54,0,0,0,0,1,1,4,0,possession,BFA,"DF,FW",27.0,1995.0,2,11.0,6.0,0.3,0.1,0,0.0,0,2,6.0,6,3.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.7,-0.7,-5.8,-5.91,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,BFA,"DF,FW",27.0,1995.0,0.1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,1,1,0,defense,BFA,"DF,FW",27.0,1995.0,0.1,2,3,66.7,15,0,1,1,100.0,0,0,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,BFA,"DF,FW",27.0,1995.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,BFA,"DF,FW",27.0,1995.0,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,BFA,"DF,FW",27.0,1995.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,BFA,"DF,FW",27.0,1995.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,misc
ENG-Premier League,2024-25,Bournemouth,Julio Soler,ARG,"DF,FW",19.0,2005.0,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ARG,"DF,FW",19.0,2005.0,0.1,17,0,3,6,8,0,17,0,0,0.0,0,0.0,12,30,8,0,0,0,1,0,14,2,possession,ARG,"DF,FW",19.0,2005.0,3,11.0,4.0,0.3,0.1,0,0.0,0,3,4.0,10,2.0,1.0,1.0,0.0,0.0,-0.32,0.3,0.1,0.2,2.03,1.62,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ARG,"DF,FW",19.0,2005.0,0.1,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,defense,ARG,"DF,FW",19.0,2005.0,0.1,11,14,78.6,104,18,11,13,84.6,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,ARG,"DF,FW",19.0,2005.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ARG,"DF,FW",19.0,2005.0,0.1,14,14,0,0,0,0,1,0,0,0,0,0,11,0,1,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ARG,"DF,FW",19.0,2005.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,ARG,"DF,FW",19.0,2005.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,misc
ENG-Premier League,2025-26,Brentford,Aaron Hickey,SCO,"DF,FW",23-082,2002.0,2,0,15,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,SCO,"DF,FW",23-082,2002.0,0.2,13,0,6,4,3,0,13,1,0,0.0,0,0.0,3,23,17,0,0,0,2,0,3,0,possession,SCO,"DF,FW",23-082,2002.0,2,15.0,8.0,5.6,0.2,0,0.0,0,2,8.0,1,1.5,0.0,0.0,0.0,0.0,0.71,0.0,0.2,-0.2,-1.42,-1.24,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,SCO,"DF,FW",23-082,2002.0,0.2,3,1,3,0,0,3,4,75.0,1,0,0,0,0,3,1,0,defense,SCO,"DF,FW",23-082,2002.0,0.2,3,6,50.0,42,20,2,3,66.7,1,3,33.3,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,SCO,"DF,FW",23-082,2002.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,SCO,"DF,FW",23-082,2002.0,0.2,6,3,3,0,0,0,0,3,0,0,0,0,3,0,0,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,SCO,"DF,FW",23-082,2002.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
ENG-Premier League,2023-24,Brentford,Josh Dasilva,ENG,"DF,FW",24.0,1998.0,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,0.72,standard,ENG,"DF,FW",24.0,1998.0,0.3,26,1,1,6,19,6,26,4,2,50.0,2,50.0,17,153,69,2,0,2,2,4,17,5,possession,ENG,"DF,FW",24.0,1998.0,3,24.0,8.0,0.7,0.3,0,0.0,0,3,8.0,1,2.0,0.0,0.0,0.0,0.0,0.24,0.2,0.1,0.1,0.32,0.27,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,"DF,FW",24.0,1998.0,0.3,2,1,0,1,1,0,0,0.0,0,0,0,0,0,2,0,0,defense,ENG,"DF,FW",24.0,1998.0,0.3,10,19,52.6,153,59,5,7,71.4,5,7,71.4,0,2,0.0,0,0.2,0.2,-0.2,1,0,0,0,2,passing,ENG,"DF,FW",24.0,1998.0,0.3,1,3.75,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ENG,"DF,FW",24.0,1998.0,0.3,19,17,2,0,0,0,6,0,2,2,0,0,10,0,1,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,"DF,FW",24.0,1998.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,ENG,"DF,FW",24.0,1998.0,0.3,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,misc
ENG-Premier League,2025-26,Brentford,Keane Lewis-Potter,ENG,"DF,FW",24-190,2001.0,3,3,229,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,3,5,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,standard,ENG,"DF,FW",24-190,2001.0,2.5,84,5,39,33,14,3,84,3,1,33.3,2,66.7,35,198,105,3,2,1,4,4,34,5,possession,ENG,"DF,FW",24-190,2001.0,3,229.0,76.0,84.8,2.5,3,76.0,1,0,0.0,0,1.0,1.0,3.0,-2.0,-0.79,-0.79,2.6,3.5,-0.9,-0.35,-0.67,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,"DF,FW",24-190,2001.0,2.5,5,3,4,1,0,2,3,66.7,1,0,0,0,1,6,9,0,defense,ENG,"DF,FW",24-190,2001.0,2.5,39,56,69.6,644,227,20,21,95.2,14,21,66.7,4,11,36.4,0,0.0,0.0,0.0,0,1,0,0,3,passing,ENG,"DF,FW",24-190,2001.0,2.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ENG,"DF,FW",24-190,2001.0,2.5,56,45,11,0,0,0,4,11,0,0,0,0,39,0,1,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,"DF,FW",24-190,2001.0,2.5,0,2,0,0.0,0.79,0.0,0.0,0.0,19.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,shooting,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
ENG-Premier League,2024-25,Brentford,Keane Lewis-Potter,ENG,"DF,FW",23.0,2001.0,38,36,3093,34.4,1,3,4,1,0,0,7,0,3.1,3.1,3.2,6.3,98,98,156,0.03,0.09,0.12,0.03,0.12,0.09,0.09,0.18,0.09,0.18,standard,ENG,"DF,FW",23.0,2001.0,34.4,1613,102,504,625,505,74,1613,101,41,40.6,50,49.5,868,6085,3211,98,69,35,51,20,966,156,possession,ENG,"DF,FW",23.0,2001.0,38,3093.0,81.0,90.4,34.4,36,85.0,26,2,17.0,0,1.47,58.0,49.0,9.0,0.26,0.26,53.3,50.0,3.3,0.1,0.02,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,"DF,FW",23.0,2001.0,34.4,49,27,26,16,7,31,50,62.0,19,28,10,18,21,70,76,3,defense,ENG,"DF,FW",23.0,2001.0,34.4,982,1273,77.1,16310,5025,532,591,90.0,335,426,78.6,88,181,48.6,3,3.2,4.9,-0.2,26,69,47,18,98,passing,ENG,"DF,FW",23.0,2001.0,34.4,71,2.07,56,0,5,3,6,1,8,0.23,6,0,0,0,2,0,goal_shot_creation,ENG,"DF,FW",23.0,2001.0,34.4,1273,1112,153,8,5,9,78,139,5,2,0,0,982,8,29,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,"DF,FW",23.0,2001.0,34.4,1,28,14,50.0,0.81,0.41,0.04,0.07,20.2,1,0,0,3.1,3.1,0.11,-2.1,-2.1,shooting,ENG,"DF,FW",23.0,2001.0,34.4,7.0,0.0,0.0,18.0,31.0,4.0,78.0,21.0,27.0,1.0,0.0,0.0,146.0,27.0,35.0,43.5,misc
ENG-Premier League,2023-24,Brentford,Michael Olakigbe,ENG,"DF,FW",19.0,2004.0,8,0,59,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,10,4,17,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18,standard,ENG,"DF,FW",19.0,2004.0,0.7,70,0,11,21,38,10,70,11,3,27.3,7,63.6,42,437,229,10,5,3,4,1,48,17,possession,ENG,"DF,FW",19.0,2004.0,8,59.0,7.0,1.7,0.7,0,0.0,0,8,7.0,9,0.63,1.0,0.0,1.0,1.53,1.79,2.0,0.8,1.3,1.93,1.9,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,"DF,FW",19.0,2004.0,0.7,3,0,2,1,0,2,4,50.0,2,7,0,7,1,4,0,1,defense,ENG,"DF,FW",19.0,2004.0,0.7,27,40,67.5,347,74,17,20,85.0,7,10,70.0,1,5,20.0,0,0.0,0.0,0.0,0,2,1,0,4,passing,ENG,"DF,FW",19.0,2004.0,0.7,3,4.58,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ENG,"DF,FW",19.0,2004.0,0.7,40,38,2,1,0,0,7,1,0,0,0,0,27,0,3,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,"DF,FW",19.0,2004.0,0.7,0,3,0,0.0,4.58,0.0,0.0,0.0,20.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,shooting,ENG,"DF,FW",19.0,2004.0,0.7,0.0,0.0,0.0,2.0,2.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,33.3,misc
ENG-Premier League,2025-26,Brighton,Ferdi Kadioglu,TUR,"DF,FW",25-328,1999.0,2,0,46,0.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,TUR,"DF,FW",25-328,1999.0,0.5,28,2,5,19,4,0,28,0,0,0.0,0,0.0,15,49,14,0,0,0,1,0,18,2,possession,TUR,"DF,FW",25-328,1999.0,2,46.0,23.0,25.6,0.5,0,0.0,0,2,23.0,0,0.5,0.0,1.0,-1.0,-1.96,-1.28,1.3,0.6,0.7,1.41,0.87,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,TUR,"DF,FW",25-328,1999.0,0.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,defense,TUR,"DF,FW",25-328,1999.0,0.5,20,24,83.3,270,56,10,12,83.3,9,10,90.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,1,passing,TUR,"DF,FW",25-328,1999.0,0.5,1,1.96,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,TUR,"DF,FW",25-328,1999.0,0.5,24,20,3,0,0,0,0,3,0,0,0,0,20,1,0,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,TUR,"DF,FW",25-328,1999.0,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
ENG-Premier League,2023-24,Brighton,Tariq Lamptey,GHA,"DF,FW",22.0,2000.0,19,10,914,10.2,0,3,3,0,0,0,3,0,0.4,0.4,1.2,1.7,39,17,64,0.0,0.3,0.3,0.0,0.3,0.04,0.12,0.16,0.04,0.16,standard,GHA,"DF,FW",22.0,2000.0,10.2,545,21,130,221,197,21,545,19,6,31.6,8,42.1,354,2092,1218,39,17,12,22,2,382,64,possession,GHA,"DF,FW",22.0,2000.0,19,914.0,48.0,26.7,10.2,10,67.0,1,9,27.0,0,1.32,12.0,20.0,-8.0,-0.79,-0.82,11.1,14.6,-3.5,-0.35,-0.53,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,GHA,"DF,FW",22.0,2000.0,10.2,21,14,14,5,2,13,22,59.1,9,7,3,4,6,27,6,0,defense,GHA,"DF,FW",22.0,2000.0,10.2,379,454,83.5,5485,916,217,242,89.7,135,163,82.8,13,22,59.1,3,1.2,0.8,1.8,10,6,12,6,17,passing,GHA,"DF,FW",22.0,2000.0,10.2,17,1.68,15,0,1,1,0,0,3,0.3,3,0,0,0,0,0,goal_shot_creation,GHA,"DF,FW",22.0,2000.0,10.2,454,400,51,2,0,0,31,49,0,0,0,0,379,3,9,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,GHA,"DF,FW",22.0,2000.0,10.2,0,6,0,0.0,0.59,0.0,0.0,0.0,18.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4,shooting,GHA,"DF,FW",22.0,2000.0,10.2,3.0,0.0,0.0,11.0,18.0,3.0,31.0,6.0,14.0,0.0,1.0,0.0,32.0,4.0,9.0,30.8,misc
