league,season,team,player,nation,position,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_a,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg_xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g_a,per_90_minutes_g_pk,per_90_minutes_g_a_pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg_xag,per_90_minutes_npxg,per_90_minutes_npxg_xag,stat_type,nation_possession,position_possession,age_possession,born_possession,90s,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take_ons_att,take-ons_succ,take_ons_succ_pct,take_ons_tkld,take_ons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_mp_playing_time,playing_time_min_playing_time,playing_time_mn/mp,playing_time_min_pct,playing_time_90s_playing_time,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success__/_,team_success__/_90,team_success_on_off,team_success_xg_onxg,team_success_xg_onxga,team_success_xg_xg_/_,team_success_xg_xg_/_90,team_success_xg_on_off,stat_type_playing_time,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_mp_keeper,playing_time_starts_keeper,playing_time_min_keeper,playing_time_90s_keeper,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,stat_type_keeper,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,stat_type_defense,nation_passing,position_passing,age_passing,born_passing,90s_passing,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,xag,expected_xa,expected_a_xag,kp,1/3,ppa,crspa,prgp,stat_type_passing,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,stat_type_goal_shot_creation,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,stat_type_passing_types,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg/sot,expected_psxg_/_,expected_/90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_#opa,sweeper_#opa/90,sweeper_avgdist,stat_type_keeper_adv,nation_shooting,position_shooting,age_shooting,born_shooting,90s_shooting,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg_shooting,expected_npxg_shooting,expected_npxg/sh,expected_g_xg,expected_np:g_xg,stat_type_shooting,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_crdy_misc,performance_crdr_misc,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct,stat_type_misc
ENG-Premier League,2023-24,Arsenal,Aaron Ramsdale,ENG,GK,25.0,1998.0,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ENG,GK,25.0,1998.0,6.0,197,140,186,11,0,0,197,0,0,0.0,0,0.0,137,697,399,0,0,0,1,0,104,0,possession,ENG,GK,25.0,1998.0,6,540.0,90.0,15.8,6.0,6,90.0,6,0,0.0,31,2.67,11.0,5.0,6.0,1.0,-0.75,11.1,5.8,5.3,0.89,-0.45,playing_time,ENG,GK,25.0,1998.0,6.0,6.0,540.0,6.0,5.0,0.83,14.0,9.0,64.3,5.0,1.0,0.0,2.0,33.3,0.0,0.0,0.0,0.0,0.0,keeper,ENG,GK,25.0,1998.0,6.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,2,defense,ENG,GK,25.0,1998.0,6.0,131,188,69.7,3303,2420,38,38,100.0,61,62,98.4,32,86,37.2,0,0.0,0.0,0.0,0,4,0,0,2,passing,ENG,GK,25.0,1998.0,6.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ENG,GK,25.0,1998.0,6.0,188,153,35,16,0,0,0,0,0,0,0,0,131,0,2,passing_types,ENG,GK,25.0,1998.0,6.0,5.0,0.0,0.0,1.0,0.0,3.7,0.26,-1.3,-0.22,19.0,69.0,27.5,169.0,30.0,34.9,33.3,19.0,52.6,41.4,46.0,8.0,17.4,9.0,1.5,14.6,keeper_adv,ENG,GK,25.0,1998.0,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,ENG,GK,25.0,1998.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,misc
ENG-Premier League,2025-26,Arsenal,Ben White,ENG,DF,27-327,1997.0,1,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,4,0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.07,0.02,0.07,standard,ENG,DF,27-327,1997.0,0.8,38,4,11,20,8,0,38,1,1,100.0,0,0.0,13,53,25,1,1,0,0,0,14,0,possession,ENG,DF,27-327,1997.0,1,70.0,70.0,38.9,0.8,1,70.0,0,0,0.0,0,3.0,1.0,0.0,1.0,1.29,-2.81,1.1,0.9,0.2,0.31,-1.37,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,DF,27-327,1997.0,0.8,2,1,2,0,0,0,1,0.0,1,2,1,1,1,3,4,0,defense,ENG,DF,27-327,1997.0,0.8,21,27,77.8,353,131,10,11,90.9,10,12,83.3,1,3,33.3,0,0.0,0.0,0.0,1,5,0,0,4,passing,ENG,DF,27-327,1997.0,0.8,2,2.57,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ENG,DF,27-327,1997.0,0.8,27,22,5,0,0,0,1,5,0,0,0,0,21,0,0,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,DF,27-327,1997.0,0.8,0,1,0,0.0,1.29,0.0,0.0,0.0,29.2,0,0,0,0.0,0.0,0.01,0.0,0.0,shooting,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
ENG-Premier League,2023-24,Arsenal,Ben White,ENG,DF,25.0,1997.0,37,35,2988,33.2,4,4,8,4,0,0,8,0,1.2,1.2,3.8,5.0,44,192,162,0.12,0.12,0.24,0.12,0.24,0.03,0.11,0.15,0.03,0.15,standard,ENG,DF,25.0,1997.0,33.2,2456,120,633,1165,676,64,2456,22,9,40.9,12,54.5,1321,4867,2672,44,34,9,26,9,1675,162,possession,ENG,DF,25.0,1997.0,37,2988.0,81.0,87.4,33.2,35,85.0,27,2,7.0,0,2.32,81.0,26.0,55.0,1.66,0.2,67.4,24.7,42.7,1.29,0.13,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,DF,25.0,1997.0,33.2,48,28,20,22,6,26,58,44.8,32,48,22,26,32,80,77,1,defense,ENG,DF,25.0,1997.0,33.2,1828,2177,84.0,28002,9801,999,1099,90.9,713,832,85.7,85,171,49.7,4,3.8,3.7,0.2,38,172,45,10,192,passing,ENG,DF,25.0,1997.0,33.2,86,2.59,76,5,1,2,0,2,7,0.21,6,0,0,1,0,0,goal_shot_creation,ENG,DF,25.0,1997.0,33.2,2177,1922,251,46,5,11,57,205,0,0,0,0,1828,4,21,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,DF,25.0,1997.0,33.2,4,13,6,46.2,0.39,0.18,0.31,0.67,13.2,0,0,0,1.2,1.2,0.09,2.8,2.8,shooting,ENG,DF,25.0,1997.0,33.2,8.0,0.0,0.0,19.0,12.0,11.0,57.0,32.0,28.0,0.0,0.0,0.0,120.0,36.0,22.0,62.1,misc
ENG-Premier League,2024-25,Arsenal,Ben White,ENG,DF,26.0,1997.0,17,13,1198,13.3,0,2,2,0,0,0,2,0,0.5,0.5,1.4,1.8,23,59,42,0.0,0.15,0.15,0.0,0.15,0.03,0.1,0.14,0.03,0.14,standard,ENG,DF,26.0,1997.0,13.3,813,55,214,367,238,28,813,6,0,0.0,5,83.3,394,1617,953,23,16,4,10,6,494,42,possession,ENG,DF,26.0,1997.0,17,1198.0,70.0,35.0,13.3,13,86.0,10,4,19.0,3,1.47,20.0,13.0,7.0,0.53,-0.61,18.9,16.2,2.7,0.21,-0.71,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,DF,26.0,1997.0,13.3,20,14,10,4,6,16,38,42.1,22,10,8,2,16,36,44,0,defense,ENG,DF,26.0,1997.0,13.3,580,692,83.8,9173,2998,309,337,91.7,234,276,84.8,24,50,48.0,2,1.4,1.4,0.6,10,55,11,2,59,passing,ENG,DF,26.0,1997.0,13.3,23,1.73,22,1,0,0,0,0,2,0.15,2,0,0,0,0,0,goal_shot_creation,ENG,DF,26.0,1997.0,13.3,692,583,107,20,1,7,17,83,0,0,0,0,580,2,7,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,DF,26.0,1997.0,13.3,0,9,2,22.2,0.68,0.15,0.0,0.0,19.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,shooting,ENG,DF,26.0,1997.0,13.3,2.0,0.0,0.0,10.0,5.0,1.0,17.0,16.0,14.0,0.0,0.0,0.0,37.0,18.0,9.0,66.7,misc
ENG-Premier League,2025-26,Arsenal,Bukayo Saka,ENG,FW,23-360,2001.0,2,2,142,1.6,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,5,2,15,0.63,0.0,0.63,0.63,0.63,0.16,0.07,0.23,0.16,0.23,standard,ENG,FW,23-360,2001.0,1.6,62,1,4,20,39,5,62,10,3,30.0,7,70.0,41,329,182,5,3,3,4,2,40,15,possession,ENG,FW,23-360,2001.0,2,142.0,71.0,78.9,1.6,2,71.0,1,0,0.0,0,3.0,4.0,0.0,4.0,2.54,-2.2,2.3,1.7,0.6,0.4,-3.55,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,FW,23-360,2001.0,1.6,3,2,1,2,0,1,2,50.0,1,1,0,1,0,3,0,0,defense,ENG,FW,23-360,2001.0,1.6,33,40,82.5,541,70,19,20,95.0,9,13,69.2,4,6,66.7,0,0.1,0.1,-0.1,3,0,1,0,2,passing,ENG,FW,23-360,2001.0,1.6,4,2.54,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ENG,FW,23-360,2001.0,1.6,40,35,5,0,0,0,7,2,3,2,0,0,33,0,0,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,FW,23-360,2001.0,1.6,1,2,1,50.0,1.27,0.63,0.5,1.0,11.0,0,0,0,0.3,0.3,0.13,0.7,0.7,shooting,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
ENG-Premier League,2023-24,Arsenal,Bukayo Saka,ENG,FW,21.0,2001.0,35,35,2919,32.4,16,9,25,10,6,6,4,0,15.5,10.8,10.5,21.2,155,126,508,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.8,0.33,0.65,standard,ENG,FW,21.0,2001.0,32.4,1952,37,182,474,1310,271,1946,122,49,40.2,54,44.3,1223,7180,3728,155,68,72,56,53,1393,508,possession,ENG,FW,21.0,2001.0,35,2919.0,83.0,85.4,32.4,35,83.0,17,0,0.0,0,2.29,78.0,27.0,51.0,1.57,-0.4,66.4,25.0,41.3,1.27,0.04,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,FW,21.0,2001.0,32.4,66,35,22,24,20,26,59,44.1,33,43,2,41,15,81,24,1,defense,ENG,FW,21.0,2001.0,32.4,1143,1512,75.6,16891,4402,705,793,88.9,331,427,77.5,80,183,43.7,9,10.5,11.0,-1.5,91,39,73,12,126,passing,ENG,FW,21.0,2001.0,32.4,188,5.8,137,26,10,9,4,2,21,0.65,16,2,1,1,1,0,goal_shot_creation,ENG,FW,21.0,2001.0,32.4,1512,1365,138,7,4,3,181,12,119,99,0,0,1143,9,50,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,FW,21.0,2001.0,32.4,16,102,31,30.4,3.14,0.96,0.1,0.32,16.3,0,6,6,15.5,10.8,0.11,0.5,-0.8,shooting,ENG,FW,21.0,2001.0,32.4,4.0,0.0,0.0,41.0,69.0,8.0,181.0,15.0,35.0,1.0,0.0,0.0,155.0,23.0,36.0,39.0,misc
ENG-Premier League,2024-25,Arsenal,Bukayo Saka,ENG,"FW,MF",22.0,2001.0,25,20,1729,19.2,6,10,16,5,1,1,3,0,6.8,6.0,7.6,13.7,96,70,255,0.31,0.52,0.83,0.26,0.78,0.36,0.4,0.75,0.31,0.71,standard,ENG,"FW,MF",22.0,2001.0,19.2,979,6,57,216,715,162,978,90,41,45.6,37,41.1,628,4253,2460,96,32,51,34,40,711,255,possession,ENG,"FW,MF",22.0,2001.0,25,1729.0,69.0,50.6,19.2,20,79.0,7,5,32.0,0,1.96,38.0,21.0,17.0,0.88,-0.07,34.8,17.6,17.3,0.9,0.46,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,"FW,MF",22.0,2001.0,19.2,29,15,9,11,9,13,24,54.2,11,22,0,22,3,32,8,0,defense,ENG,"FW,MF",22.0,2001.0,19.2,552,731,75.5,8408,2487,334,371,90.0,154,214,72.0,45,92,48.9,10,7.6,7.8,2.4,58,15,38,12,70,passing,ENG,"FW,MF",22.0,2001.0,19.2,117,6.09,71,20,12,10,4,0,23,1.2,14,5,2,1,1,0,goal_shot_creation,ENG,"FW,MF",22.0,2001.0,19.2,731,644,83,7,4,2,117,12,64,56,0,2,552,4,21,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,"FW,MF",22.0,2001.0,19.2,6,66,22,33.3,3.44,1.15,0.08,0.23,15.6,1,1,1,6.8,6.0,0.09,-0.8,-1.0,shooting,ENG,"FW,MF",22.0,2001.0,19.2,3.0,0.0,0.0,15.0,39.0,7.0,117.0,3.0,15.0,1.0,0.0,0.0,70.0,10.0,20.0,33.3,misc
ENG-Premier League,2025-26,Arsenal,Cristhian Mosquera,ESP,DF,21-065,2004.0,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,DF,21-065,2004.0,0.3,17,0,4,11,2,0,17,0,0,0.0,0,0.0,9,17,3,0,0,0,0,0,9,0,possession,ESP,DF,21-065,2004.0,1,27.0,27.0,15.0,0.3,0,0.0,0,1,27.0,1,3.0,1.0,0.0,1.0,3.33,0.39,0.9,0.0,0.9,2.89,2.05,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ESP,DF,21-065,2004.0,0.3,2,2,1,1,0,0,0,0.0,0,1,0,1,0,2,0,0,defense,ESP,DF,21-065,2004.0,0.3,13,14,92.9,211,43,5,5,100.0,8,8,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,passing,ESP,DF,21-065,2004.0,0.3,1,3.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ESP,DF,21-065,2004.0,0.3,14,10,4,0,0,0,0,4,0,0,0,0,13,0,0,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ESP,DF,21-065,2004.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
ENG-Premier League,2023-24,Arsenal,Cédric Soares,POR,DF,31.0,1991.0,3,0,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,POR,DF,31.0,1991.0,0.7,69,0,10,47,12,0,69,0,0,0.0,0,0.0,37,139,69,0,0,0,0,0,56,6,possession,POR,DF,31.0,1991.0,3,62.0,21.0,1.8,0.7,0,0.0,0,3,21.0,15,3.0,1.0,0.0,1.0,1.45,-0.18,0.9,0.5,0.4,0.62,-0.66,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,POR,DF,31.0,1991.0,0.7,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,POR,DF,31.0,1991.0,0.7,60,69,87.0,905,157,39,41,95.1,15,17,88.2,5,8,62.5,0,0.0,0.0,0.0,0,4,0,0,3,passing,POR,DF,31.0,1991.0,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,POR,DF,31.0,1991.0,0.7,69,61,8,2,0,0,4,6,0,0,0,0,60,0,1,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,POR,DF,31.0,1991.0,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,POR,DF,31.0,1991.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,misc
ENG-Premier League,2025-26,Arsenal,David Raya,ESP,GK,29-350,1995.0,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,29-350,1995.0,2.0,73,60,72,1,0,0,73,0,0,0.0,0,0.0,41,202,119,0,0,0,0,0,38,0,possession,ESP,GK,29-350,1995.0,2,180.0,90.0,100.0,2.0,2,90.0,2,0,0.0,0,3.0,6.0,0.0,6.0,3.0,0.0,4.0,1.7,2.3,1.15,0.0,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ESP,GK,29-350,1995.0,2.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,ESP,GK,29-350,1995.0,2.0,51,69,73.9,1382,985,11,11,100.0,25,25,100.0,15,33,45.5,0,0.0,0.0,0.0,0,2,0,0,0,passing,ESP,GK,29-350,1995.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ESP,GK,29-350,1995.0,2.0,69,56,13,4,0,0,0,0,0,0,0,0,51,0,0,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ESP,GK,29-350,1995.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
