league,season,team,player,nation,position,age,born,playing_time,playing_time_1,playing_time_2,playing_time_3,performance,performance_1,performance_2,performance_3,performance_4,performance_5,performance_6,performance_7,expected,expected_1,expected_2,expected_3,progression,progression_1,progression_2,per_90_minutes,per_90_minutes_1,per_90_minutes_2,per_90_minutes_3,per_90_minutes_4,per_90_minutes_5,per_90_minutes_6,per_90_minutes_7,per_90_minutes_8,per_90_minutes_9,stat_type,nation_shooting,position_shooting,age_shooting,born_shooting,90s,standard,standard_1,standard_2,standard_3,standard_4,standard_5,standard_6,standard_7,standard_8,standard_9,standard_10,standard_11,expected_shooting,expected_1_shooting,expected_2_shooting,expected_3_shooting,expected_4,stat_type_shooting,nation_passing,position_passing,age_passing,born_passing,90s_passing,total,total_1,total_2,total_3,total_4,short,short_1,short_2,medium,medium_1,medium_2,long,long_1,long_2,assists,xag,expected_passing,expected_1_passing,kp,1/3,ppa,crspa,progressive_passes,stat_type_passing,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,passes_attempted,pass_types,pass_types_1,pass_types_2,pass_types_3,pass_types_4,pass_types_5,pass_types_6,pass_types_7,corner_kicks,corner_kicks_1,corner_kicks_2,outcomes,outcomes_1,outcomes_2,stat_type_passing_types,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca,sca_1,sca_types,sca_types_1,sca_types_2,sca_types_3,sca_types_4,sca_types_5,gca,gca_1,gca_types,gca_types_1,gca_types_2,gca_types_3,gca_types_4,gca_types_5,stat_type_goal_shot_creation,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles,tackles_1,tackles_2,tackles_3,tackles_4,challenges,challenges_1,challenges_2,challenges_3,blocks,blocks_1,blocks_2,interceptions,tkl+int,clearances,err,stat_type_defense,nation_possession,position_possession,age_possession,born_possession,90s_possession,touches,touches_1,touches_2,touches_3,touches_4,touches_5,touches_6,take-ons,take-ons_1,take-ons_2,take-ons_3,take-ons_4,carries,carries_1,carries_2,carries_3,carries_4,carries_5,carries_6,carries_7,receiving,receiving_1,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_playing_time,playing_time_1_playing_time,playing_time_2_playing_time,playing_time_3_playing_time,playing_time_4,starts,starts_1,starts_2,subs,subs_1,subs_2,team_success,team_success_1,team_success_2,team_success_3,team_success_4,team_success_5,team_success_(xg),team_success_(xg)_1,team_success_(xg)_2,team_success_(xg)_3,team_success_(xg)_4,stat_type_playing_time,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_misc,performance_1_misc,performance_2_misc,performance_3_misc,performance_4_misc,performance_5_misc,performance_6_misc,performance_7_misc,performance_8,performance_9,performance_10,performance_11,performance_12,aerial_duels,aerial_duels_1,aerial_duels_2,stat_type_misc,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_keeper,playing_time_1_keeper,playing_time_2_keeper,playing_time_3_keeper,performance_keeper,performance_1_keeper,performance_2_keeper,performance_3_keeper,performance_4_keeper,performance_5_keeper,performance_6_keeper,performance_7_keeper,performance_8_keeper,performance_9_keeper,penalty_kicks,penalty_kicks_1,penalty_kicks_2,penalty_kicks_3,penalty_kicks_4,stat_type_keeper,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals,goals_1,goals_2,goals_3,goals_4,expected_keeper_adv,expected_1_keeper_adv,expected_2_keeper_adv,expected_3_keeper_adv,launched,launched_1,launched_2,passes,passes_1,passes_2,passes_3,goal_kicks,goal_kicks_1,goal_kicks_2,crosses,crosses_1,crosses_2,sweeper,sweeper_1,sweeper_2,stat_type_keeper_adv
ESP-La Liga,2023-24,Alavés,Abdel Abqar,MAR,DF,24.0,1999.0,27,27,2312,25.7,0,0,0,0,0,0,10,0,0.5,0.5,0.2,0.6,7,49,1,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,standard,MAR,DF,24.0,1999.0,25.7,0,10,3,30.0,0.39,0.12,0.0,0.0,12.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,shooting,MAR,DF,24.0,1999.0,25.7,553,762,72.6,12370,4872,141,164,86.0,302,339,89.1,99,225,44.0,0.0,0.2,0.2,-0.2,3.0,61.0,2.0,0.0,49.0,passing,MAR,DF,24.0,1999.0,25.7,762.0,704,55,50,0,17,2,4,0,0,0,0,553,3,10,passing_types,MAR,DF,24.0,1999.0,25.7,12,0.47,9,0,0,2,1,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,MAR,DF,24.0,1999.0,25.7,35,19,28,5,2,21,35,60.0,14,31,26,5,23.0,58.0,115.0,0.0,defense,MAR,DF,24.0,1999.0,25.7,1032,191,570,422,42,21,1032,5,3,60.0,1,20.0,492,2460,1418,7,6,0,15,1,499,1,possession,MAR,DF,24.0,1999.0,27,2312,86,67.6,25.7,27,86,23,0,Unknown,4,1.07,21,30,-9,-0.35,-0.27,27.0,30.7,-3.8,-0.15,-0.58,playing_time,MAR,DF,24.0,1999.0,25.7,10,0,0,33,23,1,2,23,19,0,2,1,109,39,36,52.0,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ESP-La Liga,2024-25,Alavés,Abdel Abqar,MAR,DF,25.0,1999.0,29,29,2463,27.4,0,1,1,0,0,0,13,0,0.9,0.9,0.3,1.2,16,79,4,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04,standard,MAR,DF,25.0,1999.0,27.4,0,12,1,8.3,0.44,0.04,0.0,0.0,8.0,0,0,0,0.9,0.9,0.08,-0.9,-0.9,shooting,MAR,DF,25.0,1999.0,27.4,719,939,76.6,16039,5771,180,194,92.8,421,460,91.5,114,258,44.2,1.0,0.3,0.4,0.7,8.0,67.0,10.0,2.0,79.0,passing,MAR,DF,25.0,1999.0,27.4,939.0,888,48,40,1,17,5,7,0,0,0,0,719,3,6,passing_types,MAR,DF,25.0,1999.0,27.4,25,0.91,20,0,0,2,1,2,3,0.11,2,0,0,0,1,0,goal_shot_creation,MAR,DF,25.0,1999.0,27.4,36,23,24,11,1,20,34,58.8,14,28,18,10,39.0,75.0,146.0,1.0,defense,MAR,DF,25.0,1999.0,27.4,1251,160,659,545,58,25,1251,4,3,75.0,1,25.0,632,3531,2013,16,7,0,18,3,650,4,possession,MAR,DF,25.0,1999.0,29,2463,85,72.0,27.4,29,85,24,0,Unknown,0,1.03,30,41,-11,-0.4,-0.5,32.0,33.4,-1.4,-0.05,0.21,playing_time,MAR,DF,25.0,1999.0,27.4,13,0,0,47,31,2,5,39,23,1,2,0,87,40,35,53.3,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ESP-La Liga,2023-24,Alavés,Abderrahman Rebbach,ALG,"FW,MF",24.0,1998.0,23,6,722,8.0,1,0,1,1,0,0,1,0,0.8,0.8,1.8,2.6,34,14,78,0.12,0.0,0.12,0.12,0.12,0.1,0.22,0.33,0.1,0.33,standard,ALG,"FW,MF",24.0,1998.0,8.0,1,17,4,23.5,2.12,0.5,0.06,0.25,19.4,1,0,0,0.8,0.8,0.05,0.2,0.2,shooting,ALG,"FW,MF",24.0,1998.0,8.0,124,225,55.1,2213,845,63,84,75.0,40,67,59.7,17,45,37.8,0.0,1.8,1.7,-1.8,18.0,12.0,6.0,3.0,14.0,passing,ALG,"FW,MF",24.0,1998.0,8.0,225.0,179,44,3,0,1,63,12,28,10,8,2,124,2,18,passing_types,ALG,"FW,MF",24.0,1998.0,8.0,29,3.61,15,7,4,2,1,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ALG,"FW,MF",24.0,1998.0,8.0,9,5,4,2,3,5,15,33.3,10,10,1,9,3.0,12.0,7.0,0.0,defense,ALG,"FW,MF",24.0,1998.0,8.0,343,6,46,102,198,36,343,28,10,35.7,16,57.1,180,1419,763,34,15,18,28,12,196,78,possession,ALG,"FW,MF",24.0,1998.0,23,722,31,21.1,8.0,6,64,0,17,20,15,0.7,5,6,-1,-0.12,0.18,7.5,6.8,0.7,0.09,0.06,playing_time,ALG,"FW,MF",24.0,1998.0,8.0,1,0,0,13,10,3,63,3,5,0,0,0,31,7,13,35.0,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ESP-La Liga,2024-25,Alavés,Abderrahman Rebbach,ALG,"FW,MF",25.0,1998.0,8,4,385,4.3,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,16,5,34,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11,standard,ALG,"FW,MF",25.0,1998.0,4.3,0,6,1,16.7,1.4,0.23,0.0,0.0,20.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,shooting,ALG,"FW,MF",25.0,1998.0,4.3,74,118,62.7,1234,255,41,58,70.7,24,35,68.6,8,17,47.1,0.0,0.3,0.4,-0.3,6.0,2.0,5.0,3.0,5.0,passing,ALG,"FW,MF",25.0,1998.0,4.3,118.0,108,10,1,0,1,17,2,7,4,0,0,74,0,6,passing_types,ALG,"FW,MF",25.0,1998.0,4.3,10,2.34,7,0,1,2,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ALG,"FW,MF",25.0,1998.0,4.3,3,2,3,0,0,0,6,0.0,6,4,0,4,0.0,3.0,6.0,0.0,defense,ALG,"FW,MF",25.0,1998.0,4.3,173,4,27,62,85,18,173,14,3,21.4,9,64.3,103,674,389,16,6,7,9,5,107,34,possession,ALG,"FW,MF",25.0,1998.0,8,385,48,11.3,4.3,4,75,1,4,22,10,1.25,6,7,-1,-0.23,0.03,4.3,5.7,-1.4,-0.32,-0.23,playing_time,ALG,"FW,MF",25.0,1998.0,4.3,1,0,0,5,6,2,17,0,2,0,0,0,16,1,11,8.3,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ESP-La Liga,2025-26,Alavés,Abderrahman Rebbach,ALG,MF,27-020,1998.0,2,0,47,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,5,10,0.0,0.0,0.0,0.0,0.0,0.2,0.04,0.24,0.2,0.24,standard,ALG,MF,27-020,1998.0,0.5,0,3,2,66.7,5.74,3.83,0.0,0.0,20.6,1,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting,ALG,MF,27-020,1998.0,0.5,23,33,69.7,367,148,12,13,92.3,6,10,60.0,2,5,40.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,5.0,passing,ALG,MF,27-020,1998.0,0.5,33.0,29,4,1,0,0,3,2,1,0,0,0,23,0,1,passing_types,ALG,MF,27-020,1998.0,0.5,6,11.49,4,0,0,1,1,0,1,1.91,1,0,0,0,0,0,goal_shot_creation,ALG,MF,27-020,1998.0,0.5,2,0,2,0,0,1,1,100.0,0,1,0,1,2.0,4.0,0.0,0.0,defense,ALG,MF,27-020,1998.0,0.5,45,0,6,21,19,1,45,3,1,33.3,1,33.3,23,149,87,4,1,1,3,2,31,10,possession,ALG,MF,27-020,1998.0,2,47,24,17.4,0.5,0,Unknown,0,2,24,1,1.5,1,0,1,1.91,2.32,0.6,0.6,0.0,0.04,0.25,playing_time,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ESP-La Liga,2024-25,Alavés,Adrian Rodriguez,ESP,GK,23.0,2000.0,2,1,122,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,23.0,2000.0,1.4,0,0,0,Unknown,0.0,0.0,Unknown,Unknown,Unknown,0,0,0,0.0,0.0,Unknown,0.0,0.0,shooting,ESP,GK,23.0,2000.0,1.4,19,50,38.0,1160,1084,1,1,100.0,0,0,Unknown,18,48,37.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,passing,ESP,GK,23.0,2000.0,1.4,50.0,13,37,13,0,0,0,0,0,0,0,0,19,0,1,passing_types,ESP,GK,23.0,2000.0,1.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ESP,GK,23.0,2000.0,1.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0.0,0.0,3.0,1.0,defense,ESP,GK,23.0,2000.0,1.4,58,45,55,3,0,0,58,0,0,Unknown,0,Unknown,19,135,61,0,0,0,0,0,4,0,possession,ESP,GK,23.0,2000.0,2,122,61,3.6,1.4,1,90,1,1,32,23,2.0,2,2,0,0.0,0.27,1.7,2.9,-1.2,-0.91,-0.82,playing_time,ESP,GK,23.0,2000.0,1.4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Unknown,misc,ESP,GK,23.0,2000.0,2,1,122,1.4,2,1.48,6,4,83.3,0,1,0,1,100.0,1,1,0,0,0.0,keeper,ESP,GK,23.0,2000.0,1.4,2,1,0,0,0,1.5,0.13,-0.5,-0.36,18,48,37.5,26,0,92.3,56.3,24,100.0,67.4,33,0,0.0,0,0.0,9.8,keeper_adv
ESP-La Liga,2023-24,Alavés,Aleksandar Sedlar,SRB,DF,31.0,1991.0,11,11,946,10.5,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.3,6,26,1,0.1,0.0,0.1,0.1,0.1,0.03,0.01,0.03,0.03,0.03,standard,SRB,DF,31.0,1991.0,10.5,1,4,1,25.0,0.38,0.1,0.25,1.0,10.7,0,0,0,0.3,0.3,0.07,0.7,0.7,shooting,SRB,DF,31.0,1991.0,10.5,343,405,84.7,6944,2813,115,129,89.1,178,201,88.6,46,67,68.7,0.0,0.1,0.1,-0.1,2.0,31.0,0.0,0.0,26.0,passing,SRB,DF,31.0,1991.0,10.5,405.0,387,17,11,0,1,0,1,0,0,0,0,343,1,1,passing_types,SRB,DF,31.0,1991.0,10.5,9,0.86,6,0,1,0,0,2,0,0.0,0,0,0,0,0,0,goal_shot_creation,SRB,DF,31.0,1991.0,10.5,14,10,10,4,0,10,16,62.5,6,8,4,4,13.0,27.0,43.0,0.0,defense,SRB,DF,31.0,1991.0,10.5,497,76,277,204,18,6,497,3,2,66.7,0,0.0,247,1442,794,6,4,0,3,2,264,1,possession,SRB,DF,31.0,1991.0,11,946,86,27.7,10.5,11,86,8,0,Unknown,1,1.09,10,14,-4,-0.38,-0.16,14.8,12.0,2.9,0.27,0.32,playing_time,SRB,DF,31.0,1991.0,10.5,2,0,0,14,4,1,0,13,10,0,1,0,49,17,18,48.6,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ESP-La Liga,2024-25,Alavés,Aleksandar Sedlar,SRB,DF,32.0,1991.0,9,7,594,6.6,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,2,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,SRB,DF,32.0,1991.0,6.6,0,1,0,0.0,0.15,0.0,0.0,Unknown,11.8,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting,SRB,DF,32.0,1991.0,6.6,195,236,82.6,3966,1454,58,64,90.6,105,123,85.4,30,43,69.8,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,12.0,passing,SRB,DF,32.0,1991.0,6.6,236.0,224,12,7,0,1,0,3,0,0,0,0,195,0,1,passing_types,SRB,DF,32.0,1991.0,6.6,2,0.3,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,SRB,DF,32.0,1991.0,6.6,18,10,7,11,0,8,10,80.0,2,2,1,1,10.0,28.0,24.0,1.0,defense,SRB,DF,32.0,1991.0,6.6,296,27,138,156,3,2,296,1,0,0.0,1,100.0,141,793,489,2,2,0,0,0,156,1,possession,SRB,DF,32.0,1991.0,9,594,66,17.4,6.6,7,82,4,2,9,25,1.11,9,8,1,0.15,0.5,8.8,8.1,0.7,0.1,0.26,playing_time,SRB,DF,32.0,1991.0,6.6,1,1,0,9,5,0,0,10,10,0,0,0,18,9,6,60.0,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ESP-La Liga,2023-24,Alavés,Alex Sola,ESP,"FW,MF",24.0,1999.0,29,14,1262,14.0,0,3,3,0,0,0,2,0,1.6,1.6,2.3,3.9,40,42,103,0.0,0.21,0.21,0.0,0.21,0.12,0.16,0.28,0.12,0.28,standard,ESP,"FW,MF",24.0,1999.0,14.0,0,28,7,25.0,2.0,0.5,0.0,0.0,17.6,2,0,0,1.6,1.6,0.06,-1.6,-1.6,shooting,ESP,"FW,MF",24.0,1999.0,14.0,269,430,62.6,4680,1722,131,154,85.1,101,155,65.2,33,82,40.2,3.0,2.3,2.1,0.7,27.0,23.0,19.0,9.0,42.0,passing,ESP,"FW,MF",24.0,1999.0,14.0,430.0,364,66,4,0,1,84,41,21,3,13,0,269,0,25,passing_types,ESP,"FW,MF",24.0,1999.0,14.0,69,4.92,32,7,16,6,7,1,4,0.29,2,1,1,0,0,0,goal_shot_creation,ESP,"FW,MF",24.0,1999.0,14.0,27,15,11,9,7,14,26,53.8,12,18,2,16,11.0,38.0,16.0,0.0,defense,ESP,"FW,MF",24.0,1999.0,14.0,630,12,110,218,316,48,630,75,43,57.3,27,36.0,327,2390,1300,40,24,12,31,17,372,103,possession,ESP,"FW,MF",24.0,1999.0,29,1262,44,36.9,14.0,14,71,3,15,18,6,1.24,9,20,-11,-0.78,-0.83,17.8,18.7,-1.0,-0.07,-0.17,playing_time,ESP,"FW,MF",24.0,1999.0,14.0,2,0,0,11,28,10,84,11,15,0,1,0,79,16,18,47.1,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ESP-La Liga,2023-24,Alavés,Ander Guevara,ESP,MF,26.0,1997.0,37,33,2932,32.6,1,0,1,1,0,0,7,0,0.7,0.7,0.9,1.5,53,187,37,0.03,0.0,0.03,0.03,0.03,0.02,0.03,0.05,0.02,0.05,standard,ESP,MF,26.0,1997.0,32.6,1,16,2,12.5,0.49,0.06,0.06,0.5,23.2,0,0,0,0.7,0.7,0.04,0.3,0.3,shooting,ESP,MF,26.0,1997.0,32.6,1111,1471,75.5,18552,6374,530,641,82.7,439,558,78.7,105,173,60.7,0.0,0.9,1.5,-0.9,21.0,167.0,21.0,2.0,187.0,passing,ESP,MF,26.0,1997.0,32.6,1471.0,1431,35,26,8,3,8,2,7,1,0,0,1111,5,35,passing_types,ESP,MF,26.0,1997.0,32.6,69,2.12,58,4,2,3,1,1,3,0.09,2,0,0,0,1,0,goal_shot_creation,ESP,MF,26.0,1997.0,32.6,59,32,28,25,6,31,64,48.4,33,34,12,22,13.0,72.0,46.0,1.0,defense,ESP,MF,26.0,1997.0,32.6,1735,75,409,1029,320,16,1735,32,19,59.4,10,31.3,840,4759,2604,53,43,3,29,24,1089,37,possession,ESP,MF,26.0,1997.0,37,2932,79,85.7,32.6,33,86,23,4,22,0,1.24,31,41,-10,-0.31,-0.31,39.3,39.0,0.3,0.01,-0.22,playing_time,ESP,MF,26.0,1997.0,32.6,7,0,0,48,30,0,8,13,32,1,0,0,218,45,41,52.3,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
