league,season,team,player,nation,position,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_a,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg_xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g_a,per_90_minutes_g_pk,per_90_minutes_g_a_pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg_xag,per_90_minutes_npxg,per_90_minutes_npxg_xag,stat_type,nation_possession,position_possession,age_possession,born_possession,90s,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take_ons_att,take-ons_succ,take_ons_succ_pct,take_ons_tkld,take_ons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_mp_playing_time,playing_time_min_playing_time,playing_time_mn/mp,playing_time_min_pct,playing_time_90s_playing_time,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success__/_,team_success__/_90,team_success_on_off,team_success_xg_onxg,team_success_xg_onxga,team_success_xg_xg_/_,team_success_xg_xg_/_90,team_success_xg_on_off,stat_type_playing_time,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_mp_keeper,playing_time_starts_keeper,playing_time_min_keeper,playing_time_90s_keeper,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,stat_type_keeper,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,stat_type_defense,nation_passing,position_passing,age_passing,born_passing,90s_passing,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,xag,expected_xa,expected_a_xag,kp,1/3,ppa,crspa,prgp,stat_type_passing,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,stat_type_goal_shot_creation,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,stat_type_passing_types,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg/sot,expected_psxg_/_,expected_/90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_#opa,sweeper_#opa/90,sweeper_avgdist,stat_type_keeper_adv,nation_shooting,position_shooting,age_shooting,born_shooting,90s_shooting,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg_shooting,expected_npxg_shooting,expected_npxg/sh,expected_g_xg,expected_np:g_xg,stat_type_shooting,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_crdy_misc,performance_crdr_misc,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct,stat_type_misc
FRA-Ligue 1,2024-25,Angers,Abdoulaye Bamba,CIV,DF,34.0,1990.0,19,16,1510,16.8,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,1,16,3,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,standard,CIV,DF,34.0,1990.0,16.8,743,90,411,308,26,3,743,2,2,100.0,0,0.0,408,1532,641,1,2,0,3,4,468,3,possession,CIV,DF,34.0,1990.0,19,1510.0,79.0,49.3,16.8,16,88.0,14,3,33.0,12,0.79,11.0,29.0,-18.0,-1.07,-0.9,16.9,25.6,-8.7,-0.52,0.25,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,CIV,DF,34.0,1990.0,16.8,22,12,17,4,1,14,19,73.7,5,14,8,6,19,41,79,0,defense,CIV,DF,34.0,1990.0,16.8,518,585,88.5,10459,3330,126,139,90.6,341,364,93.7,44,68,64.7,0,0.3,0.3,-0.3,6,19,4,3,16,passing,CIV,DF,34.0,1990.0,16.8,10,0.6,8,0,0,0,0,2,0,0.0,0,0,0,0,0,0,goal_shot_creation,CIV,DF,34.0,1990.0,16.8,585,551,34,13,1,1,5,20,0,0,0,0,518,0,4,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,CIV,DF,34.0,1990.0,16.8,0,1,0,0.0,0.06,0.0,0.0,0.0,7.2,0,0,0,0.1,0.1,0.09,-0.1,-0.1,shooting,CIV,DF,34.0,1990.0,16.8,2.0,0.0,0.0,10.0,7.0,0.0,5.0,19.0,12.0,0.0,0.0,0.0,47.0,11.0,17.0,39.3,misc
FRA-Ligue 1,2024-25,Angers,Bamba Dieng,SEN,FW,24.0,2000.0,18,5,532,5.9,3,0,3,2,1,1,1,0,3.1,2.3,0.0,2.4,6,7,35,0.51,0.0,0.51,0.34,0.34,0.53,0.01,0.53,0.39,0.4,standard,SEN,FW,24.0,2000.0,5.9,157,3,14,58,86,24,156,14,2,14.3,11,78.6,96,419,194,6,5,3,11,10,135,35,possession,SEN,FW,24.0,2000.0,18,532.0,30.0,17.4,5.9,5,67.0,1,13,15.0,3,0.89,8.0,10.0,-2.0,-0.34,0.34,7.6,11.0,-3.3,-0.56,0.09,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,SEN,FW,24.0,2000.0,5.9,4,1,1,2,1,0,2,0.0,2,2,0,2,0,4,3,0,defense,SEN,FW,24.0,2000.0,5.9,80,103,77.7,931,140,52,60,86.7,20,30,66.7,0,2,0.0,0,0.0,0.2,0.0,1,2,3,1,7,passing,SEN,FW,24.0,2000.0,5.9,6,1.02,4,0,1,0,1,0,1,0.17,0,0,0,0,1,0,goal_shot_creation,SEN,FW,24.0,2000.0,5.9,103,99,4,0,2,0,5,0,1,0,1,0,80,0,2,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,SEN,FW,24.0,2000.0,5.9,3,13,6,46.2,2.2,1.02,0.15,0.33,18.5,2,1,1,3.1,2.3,0.18,-0.1,-0.3,shooting,SEN,FW,24.0,2000.0,5.9,1.0,0.0,0.0,9.0,13.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,5.0,9.0,24.0,27.3,misc
FRA-Ligue 1,2025-26,Angers,Carlens Arcus,HAI,DF,29-064,1996.0,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,standard,HAI,DF,29-064,1996.0,2.0,86,12,47,31,8,1,86,0,0,0.0,0,0.0,27,140,71,2,1,1,0,1,35,3,possession,HAI,DF,29-064,1996.0,2,180.0,90.0,100.0,2.0,2,90.0,2,0,0.0,0,1.5,1.0,1.0,0.0,0.0,0.0,1.2,2.8,-1.6,-0.78,0.0,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,HAI,DF,29-064,1996.0,2.0,4,4,2,2,0,3,4,75.0,1,4,0,4,2,6,9,0,defense,HAI,DF,29-064,1996.0,2.0,53,67,79.1,962,468,20,22,90.9,27,35,77.1,5,8,62.5,0,0.2,0.1,-0.2,3,3,1,1,3,passing,HAI,DF,29-064,1996.0,2.0,4,2.0,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,HAI,DF,29-064,1996.0,2.0,67,47,20,2,0,0,2,18,0,0,0,0,53,0,0,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,HAI,DF,29-064,1996.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
FRA-Ligue 1,2024-25,Angers,Carlens Arcus,HAI,DF,28.0,1996.0,28,25,2047,22.7,0,1,1,0,0,0,3,0,0.0,0.0,1.4,1.4,39,70,79,0.0,0.04,0.04,0.0,0.04,0.0,0.06,0.06,0.0,0.06,standard,HAI,DF,28.0,1996.0,22.7,1249,85,433,556,271,11,1249,18,8,44.4,9,50.0,566,2635,1284,39,22,2,18,14,686,79,possession,HAI,DF,28.0,1996.0,28,2047.0,73.0,66.9,22.7,25,79.0,13,3,28.0,2,1.0,22.0,35.0,-13.0,-0.57,0.14,23.9,35.7,-11.9,-0.52,0.36,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,HAI,DF,28.0,1996.0,22.7,52,35,32,15,5,34,56,60.7,22,24,4,20,27,79,83,3,defense,HAI,DF,28.0,1996.0,22.7,810,1020,79.4,13534,4817,400,448,89.3,332,419,79.2,69,111,62.2,1,1.4,1.4,-0.4,17,58,20,10,70,passing,HAI,DF,28.0,1996.0,22.7,37,1.63,32,1,1,0,1,2,3,0.13,2,0,0,0,1,0,goal_shot_creation,HAI,DF,28.0,1996.0,22.7,1020,843,173,20,2,3,55,152,1,0,0,0,810,4,20,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,HAI,DF,28.0,1996.0,22.7,0,3,0,0.0,0.13,0.0,0.0,0.0,29.1,0,0,0,0.0,0.0,0.01,0.0,0.0,shooting,HAI,DF,28.0,1996.0,22.7,3.0,0.0,0.0,38.0,21.0,1.0,55.0,27.0,35.0,0.0,0.0,0.0,81.0,31.0,25.0,55.4,misc
FRA-Ligue 1,2024-25,Angers,Cédric Hountondji,BEN,DF,30.0,1994.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,BEN,DF,30.0,1994.0,3.0,127,20,65,58,4,1,127,0,0,0.0,0,0.0,48,201,63,0,0,0,2,0,64,0,possession,BEN,DF,30.0,1994.0,3,270.0,90.0,8.8,3.0,3,90.0,3,0,0.0,10,0.0,1.0,7.0,-6.0,-2.0,-1.52,2.4,4.3,-1.9,-0.65,-0.01,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,BEN,DF,30.0,1994.0,3.0,6,4,4,2,0,3,7,42.9,4,3,3,0,4,10,14,0,defense,BEN,DF,30.0,1994.0,3.0,85,100,85.0,1652,391,25,30,83.3,53,57,93.0,6,12,50.0,0,0.0,0.0,0.0,0,3,0,0,1,passing,BEN,DF,30.0,1994.0,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,BEN,DF,30.0,1994.0,3.0,100,95,5,4,0,0,0,0,0,0,0,0,85,0,0,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,BEN,DF,30.0,1994.0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,BEN,DF,30.0,1994.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,9.0,5.0,3.0,62.5,misc
FRA-Ligue 1,2025-26,Angers,Emmanuel Biumla,FRA,DF,20-115,2005.0,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,DF,20-115,2005.0,0.2,5,3,5,0,0,0,5,0,0,0.0,0,0.0,1,0,0,0,0,0,1,0,1,0,possession,FRA,DF,20-115,2005.0,1,14.0,14.0,7.8,0.2,0,0.0,0,1,14.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-2.97,-2.37,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,FRA,DF,20-115,2005.0,0.2,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,0,defense,FRA,DF,20-115,2005.0,0.2,1,1,100.0,20,13,0,0,0.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,FRA,DF,20-115,2005.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,FRA,DF,20-115,2005.0,0.2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,FRA,DF,20-115,2005.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
FRA-Ligue 1,2024-25,Angers,Emmanuel Biumla,FRA,DF,19.0,2005.0,17,15,1336,14.8,1,0,1,1,0,0,2,0,0.7,0.7,0.0,0.8,3,16,0,0.07,0.0,0.07,0.07,0.07,0.05,0.0,0.05,0.05,0.05,standard,FRA,DF,19.0,2005.0,14.8,654,118,402,240,16,8,654,12,7,58.3,4,33.3,380,2264,1290,3,2,0,10,4,420,0,possession,FRA,DF,19.0,2005.0,17,1336.0,79.0,43.7,14.8,15,87.0,14,2,16.0,4,1.18,19.0,21.0,-2.0,-0.13,0.86,17.8,28.4,-10.6,-0.72,-0.13,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,FRA,DF,19.0,2005.0,14.8,19,12,14,5,0,12,18,66.7,6,18,8,10,8,27,84,1,defense,FRA,DF,19.0,2005.0,14.8,440,499,88.2,8842,2637,108,123,87.8,300,316,94.9,29,52,55.8,0,0.0,0.1,0.0,1,13,1,0,16,passing,FRA,DF,19.0,2005.0,14.8,4,0.27,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,FRA,DF,19.0,2005.0,14.8,499,473,23,21,0,1,0,0,0,0,0,0,440,3,2,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,FRA,DF,19.0,2005.0,14.8,1,4,2,50.0,0.27,0.13,0.25,0.5,13.7,0,0,0,0.7,0.7,0.18,0.3,0.3,shooting,FRA,DF,19.0,2005.0,14.8,2.0,0.0,0.0,7.0,10.0,0.0,0.0,8.0,12.0,0.0,1.0,0.0,37.0,16.0,12.0,57.1,misc
FRA-Ligue 1,2024-25,Angers,Enzo Caumont,FRA,MF,20.0,2004.0,2,0,34,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,MF,20.0,2004.0,0.4,20,2,7,6,7,0,20,0,0,0.0,0,0.0,10,35,24,0,0,0,0,0,13,0,possession,FRA,MF,20.0,2004.0,2,34.0,17.0,1.1,0.4,0,0.0,0,2,17.0,2,1.5,0.0,1.0,-1.0,-2.65,-2.05,0.3,1.9,-1.6,-4.35,-3.75,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,FRA,MF,20.0,2004.0,0.4,1,1,0,1,0,1,2,50.0,1,1,1,0,1,2,1,0,defense,FRA,MF,20.0,2004.0,0.4,13,14,92.9,239,67,6,6,100.0,6,6,100.0,1,2,50.0,0,0.0,0.0,0.0,0,1,1,0,1,passing,FRA,MF,20.0,2004.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,FRA,MF,20.0,2004.0,0.4,14,14,0,0,0,0,0,0,0,0,0,0,13,0,0,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,FRA,MF,20.0,2004.0,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,FRA,MF,20.0,2004.0,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0,misc
FRA-Ligue 1,2025-26,Angers,Esteban Lepaul,FRA,FW,25-135,2000.0,2,2,174,1.9,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,1,1,4,0.52,0.0,0.52,0.52,0.52,0.31,0.1,0.41,0.31,0.41,standard,FRA,FW,25-135,2000.0,1.9,42,0,3,28,13,3,42,0,0,0.0,0,0.0,21,104,50,1,2,0,1,2,33,4,possession,FRA,FW,25-135,2000.0,2,174.0,87.0,96.7,1.9,2,87.0,1,0,0.0,0,1.5,1.0,1.0,0.0,0.0,0.0,1.0,2.6,-1.6,-0.8,-0.68,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,FRA,FW,25-135,2000.0,1.9,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,FRA,FW,25-135,2000.0,1.9,22,36,61.1,318,72,11,15,73.3,11,16,68.8,0,4,0.0,0,0.2,0.0,-0.2,2,0,0,0,1,passing,FRA,FW,25-135,2000.0,1.9,2,1.03,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,FRA,FW,25-135,2000.0,1.9,36,33,3,0,0,3,0,0,0,0,0,0,22,0,0,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,FRA,FW,25-135,2000.0,1.9,1,3,1,33.3,1.55,0.52,0.33,1.0,12.2,0,0,0,0.6,0.6,0.2,0.4,0.4,shooting,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
FRA-Ligue 1,2024-25,Angers,Esteban Lepaul,FRA,FW,24.0,2000.0,28,18,1629,18.1,9,0,9,9,0,0,2,0,5.1,5.1,0.8,6.0,26,20,68,0.5,0.0,0.5,0.5,0.5,0.28,0.05,0.33,0.28,0.33,standard,FRA,FW,24.0,2000.0,18.1,504,14,50,264,197,60,504,21,6,28.6,13,61.9,246,1412,621,26,15,10,34,13,348,68,possession,FRA,FW,24.0,2000.0,28,1629.0,58.0,53.2,18.1,18,83.0,9,10,13.0,4,1.18,16.0,26.0,-10.0,-0.55,0.14,14.4,34.4,-20.0,-1.11,-0.99,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,FRA,FW,24.0,2000.0,18.1,11,6,2,6,3,4,16,25.0,12,15,2,13,4,15,10,0,defense,FRA,FW,24.0,2000.0,18.1,241,359,67.1,3512,623,124,162,76.5,82,110,74.5,14,32,43.8,0,0.8,1.7,-0.8,7,13,7,2,20,passing,FRA,FW,24.0,2000.0,18.1,22,1.22,11,0,2,7,2,0,1,0.06,1,0,0,0,0,0,goal_shot_creation,FRA,FW,24.0,2000.0,18.1,359,331,25,0,1,3,15,2,0,0,0,0,241,3,15,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,FRA,FW,24.0,2000.0,18.1,9,41,17,41.5,2.27,0.94,0.22,0.53,13.2,0,0,0,5.1,5.1,0.13,3.9,3.9,shooting,FRA,FW,24.0,2000.0,18.1,2.0,0.0,0.0,16.0,17.0,16.0,15.0,4.0,6.0,0.0,0.0,0.0,45.0,35.0,47.0,42.7,misc
