league,season,team,player,nation,position,age,born,playing_time,playing_time_1,playing_time_2,playing_time_3,performance,performance_1,performance_2,performance_3,performance_4,performance_5,performance_6,performance_7,expected,expected_1,expected_2,expected_3,progression,progression_1,progression_2,per_90_minutes,per_90_minutes_1,per_90_minutes_2,per_90_minutes_3,per_90_minutes_4,per_90_minutes_5,per_90_minutes_6,per_90_minutes_7,per_90_minutes_8,per_90_minutes_9,stat_type,nation_shooting,position_shooting,age_shooting,born_shooting,90s,standard,standard_1,standard_2,standard_3,standard_4,standard_5,standard_6,standard_7,standard_8,standard_9,standard_10,standard_11,expected_shooting,expected_1_shooting,expected_2_shooting,expected_3_shooting,expected_4,stat_type_shooting,nation_passing,position_passing,age_passing,born_passing,90s_passing,total,total_1,total_2,total_3,total_4,short,short_1,short_2,medium,medium_1,medium_2,long,long_1,long_2,assists,xag,expected_passing,expected_1_passing,kp,1/3,ppa,crspa,progressive_passes,stat_type_passing,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,passes_attempted,pass_types,pass_types_1,pass_types_2,pass_types_3,pass_types_4,pass_types_5,pass_types_6,pass_types_7,corner_kicks,corner_kicks_1,corner_kicks_2,outcomes,outcomes_1,outcomes_2,stat_type_passing_types,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca,sca_1,sca_types,sca_types_1,sca_types_2,sca_types_3,sca_types_4,sca_types_5,gca,gca_1,gca_types,gca_types_1,gca_types_2,gca_types_3,gca_types_4,gca_types_5,stat_type_goal_shot_creation,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles,tackles_1,tackles_2,tackles_3,tackles_4,challenges,challenges_1,challenges_2,challenges_3,blocks,blocks_1,blocks_2,interceptions,tkl+int,clearances,err,stat_type_defense,nation_possession,position_possession,age_possession,born_possession,90s_possession,touches,touches_1,touches_2,touches_3,touches_4,touches_5,touches_6,take-ons,take-ons_1,take-ons_2,take-ons_3,take-ons_4,carries,carries_1,carries_2,carries_3,carries_4,carries_5,carries_6,carries_7,receiving,receiving_1,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_playing_time,playing_time_1_playing_time,playing_time_2_playing_time,playing_time_3_playing_time,playing_time_4,starts,starts_1,starts_2,subs,subs_1,subs_2,team_success,team_success_1,team_success_2,team_success_3,team_success_4,team_success_5,team_success_(xg),team_success_(xg)_1,team_success_(xg)_2,team_success_(xg)_3,team_success_(xg)_4,stat_type_playing_time,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_misc,performance_1_misc,performance_2_misc,performance_3_misc,performance_4_misc,performance_5_misc,performance_6_misc,performance_7_misc,performance_8,performance_9,performance_10,performance_11,performance_12,aerial_duels,aerial_duels_1,aerial_duels_2,stat_type_misc,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_keeper,playing_time_1_keeper,playing_time_2_keeper,playing_time_3_keeper,performance_keeper,performance_1_keeper,performance_2_keeper,performance_3_keeper,performance_4_keeper,performance_5_keeper,performance_6_keeper,performance_7_keeper,performance_8_keeper,performance_9_keeper,penalty_kicks,penalty_kicks_1,penalty_kicks_2,penalty_kicks_3,penalty_kicks_4,stat_type_keeper,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals,goals_1,goals_2,goals_3,goals_4,expected_keeper_adv,expected_1_keeper_adv,expected_2_keeper_adv,expected_3_keeper_adv,launched,launched_1,launched_2,passes,passes_1,passes_2,passes_3,goal_kicks,goal_kicks_1,goal_kicks_2,crosses,crosses_1,crosses_2,sweeper,sweeper_1,sweeper_2,stat_type_keeper_adv
ENG-Premier League,2024-25,Arsenal,Bukayo Saka,ENG,"FW,MF",22.0,2001.0,25,20,1729,19.2,6,10,16,5,1,1,3,0,6.8,6.0,7.6,13.7,96,70,255,0.31,0.52,0.83,0.26,0.78,0.36,0.4,0.75,0.31,0.71,standard,ENG,"FW,MF",22.0,2001.0,19.2,6,66,22,33.3,3.44,1.15,0.08,0.23,15.6,1,1,1,6.8,6.0,0.09,-0.8,-1.0,shooting,ENG,"FW,MF",22.0,2001.0,19.2,552,731,75.5,8408,2487,334,371,90.0,154,214,72.0,45,92,48.9,10.0,7.6,7.8,2.4,58.0,15.0,38.0,12.0,70.0,passing,ENG,"FW,MF",22.0,2001.0,19.2,731.0,644,83,7,4,2,117,12,64,56,0,2,552,4,21,passing_types,ENG,"FW,MF",22.0,2001.0,19.2,117,6.09,71,20,12,10,4,0,23,1.2,14,5,2,1,1,0,goal_shot_creation,ENG,"FW,MF",22.0,2001.0,19.2,29,15,9,11,9,13,24,54.2,11,22,0,22,3.0,32.0,8.0,0.0,defense,ENG,"FW,MF",22.0,2001.0,19.2,979,6,57,216,715,162,978,90,41,45.6,37,41.1,628,4253,2460,96,32,51,34,40,711,255,possession,ENG,"FW,MF",22.0,2001.0,25,1729,69,50.6,19.2,20,79,7,5,32,0,1.96,38,21,17,0.88,-0.07,34.8,17.6,17.3,0.9,0.46,playing_time,ENG,"FW,MF",22.0,2001.0,19.2,3,0,0,15,39,7,117,3,15,1,0,0,70,10,20,33.3,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2024-25,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17.0,2007.0,26,11,895,9.9,4,2,6,4,0,0,1,0,1.2,1.2,1.2,2.4,46,33,113,0.4,0.2,0.6,0.4,0.6,0.12,0.12,0.24,0.12,0.24,standard,ENG,"FW,MF",17.0,2007.0,9.9,4,24,9,37.5,2.41,0.91,0.17,0.44,18.5,1,0,0,1.2,1.2,0.05,2.8,2.8,shooting,ENG,"FW,MF",17.0,2007.0,9.9,342,425,80.5,4906,1216,216,234,92.3,93,121,76.9,19,37,51.4,2.0,1.2,1.8,0.8,16.0,17.0,16.0,6.0,33.0,passing,ENG,"FW,MF",17.0,2007.0,9.9,425.0,386,36,3,3,1,54,4,27,18,0,0,342,3,14,passing_types,ENG,"FW,MF",17.0,2007.0,9.9,29,2.91,15,6,5,2,1,0,3,0.3,3,0,0,0,0,0,goal_shot_creation,ENG,"FW,MF",17.0,2007.0,9.9,11,7,4,4,3,7,21,33.3,14,8,2,6,2.0,13.0,4.0,1.0,defense,ENG,"FW,MF",17.0,2007.0,9.9,544,3,44,167,339,44,544,62,37,59.7,19,30.6,365,2852,1329,46,25,17,23,17,398,113,possession,ENG,"FW,MF",17.0,2007.0,26,895,34,26.2,9.9,11,65,1,15,12,10,1.85,16,4,12,1.21,0.39,14.5,5.4,9.1,0.91,0.33,playing_time,ENG,"FW,MF",17.0,2007.0,9.9,1,0,0,9,5,6,54,2,7,0,0,0,34,4,8,33.3,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2024-25,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23.0,2001.0,33,25,2290,25.4,8,4,12,8,0,0,1,0,7.4,7.4,5.0,12.4,124,52,289,0.31,0.16,0.47,0.31,0.47,0.29,0.19,0.49,0.29,0.49,standard,BRA,"FW,MF",23.0,2001.0,25.4,8,55,24,43.6,2.16,0.94,0.15,0.33,12.9,0,0,0,7.4,7.4,0.14,0.6,0.6,shooting,BRA,"FW,MF",23.0,2001.0,25.4,499,699,71.4,7113,1534,324,385,84.2,135,193,69.9,26,52,50.0,4.0,5.0,4.7,-1.0,40.0,11.0,37.0,15.0,52.0,passing,BRA,"FW,MF",23.0,2001.0,25.4,699.0,679,15,0,5,2,92,12,3,3,0,0,499,5,37,passing_types,BRA,"FW,MF",23.0,2001.0,25.4,74,2.91,55,1,8,7,3,0,7,0.27,4,0,1,1,1,0,goal_shot_creation,BRA,"FW,MF",23.0,2001.0,25.4,23,15,9,6,8,7,23,30.4,16,15,0,15,5.0,28.0,19.0,0.0,defense,BRA,"FW,MF",23.0,2001.0,25.4,994,17,102,247,660,182,994,109,33,30.3,60,55.0,670,4985,2620,124,33,64,50,38,752,289,possession,BRA,"FW,MF",23.0,2001.0,33,2290,69,67.0,25.4,25,81,10,8,33,2,1.94,45,25,20,0.79,-0.41,38.5,25.9,12.6,0.49,-0.54,playing_time,BRA,"FW,MF",23.0,2001.0,25.4,1,0,0,16,21,8,92,5,15,0,0,0,78,17,39,30.4,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2024-25,Arsenal,Kai Havertz,GER,"FW,MF",25.0,1999.0,23,21,1875,20.8,9,3,12,9,0,0,5,0,9.5,9.5,2.4,12.0,35,61,113,0.43,0.14,0.58,0.43,0.58,0.46,0.12,0.57,0.46,0.57,standard,GER,"FW,MF",25.0,1999.0,20.8,9,53,21,39.6,2.54,1.01,0.17,0.43,11.6,0,0,0,9.5,9.5,0.18,-0.5,-0.5,shooting,GER,"FW,MF",25.0,1999.0,20.8,407,519,78.4,4905,1033,286,340,84.1,95,115,82.6,5,11,45.5,3.0,2.4,1.7,0.6,17.0,27.0,9.0,1.0,61.0,passing,GER,"FW,MF",25.0,1999.0,20.8,519.0,511,6,1,1,0,11,5,0,0,0,0,407,2,11,passing_types,GER,"FW,MF",25.0,1999.0,20.8,42,2.02,35,0,1,6,0,0,3,0.14,2,0,0,1,0,0,goal_shot_creation,GER,"FW,MF",25.0,1999.0,20.8,16,9,3,6,7,4,15,26.7,11,23,4,19,6.0,22.0,33.0,1.0,defense,GER,"FW,MF",25.0,1999.0,20.8,785,31,92,287,411,107,785,38,9,23.7,24,63.2,418,2012,954,35,23,18,44,23,584,113,possession,GER,"FW,MF",25.0,1999.0,23,1875,82,54.8,20.8,21,88,18,2,18,1,2.13,40,20,20,0.96,0.09,34.2,19.3,14.9,0.72,0.1,playing_time,GER,"FW,MF",25.0,1999.0,20.8,5,0,0,38,23,14,11,6,9,0,0,0,41,63,78,44.7,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2023-24,Arsenal,Leandro Trossard,BEL,"FW,MF",28.0,1994.0,34,18,1649,18.3,12,1,13,12,0,0,2,0,7.9,7.9,2.8,10.7,66,76,155,0.65,0.05,0.71,0.65,0.71,0.43,0.15,0.58,0.43,0.58,standard,BEL,"FW,MF",28.0,1994.0,18.3,12,60,22,36.7,3.27,1.2,0.2,0.55,16.1,0,0,0,7.9,7.9,0.13,4.1,4.1,shooting,BEL,"FW,MF",28.0,1994.0,18.3,494,673,73.4,7666,1927,271,315,86.0,181,241,75.1,31,60,51.7,1.0,2.8,3.2,-1.8,24.0,28.0,29.0,4.0,76.0,passing,BEL,"FW,MF",28.0,1994.0,18.3,673.0,625,46,6,8,2,57,8,24,22,0,0,494,2,30,passing_types,BEL,"FW,MF",28.0,1994.0,18.3,65,3.55,46,3,7,5,4,0,6,0.33,1,1,2,0,2,0,goal_shot_creation,BEL,"FW,MF",28.0,1994.0,18.3,27,16,8,9,10,9,25,36.0,16,27,1,26,8.0,35.0,6.0,0.0,defense,BEL,"FW,MF",28.0,1994.0,18.3,912,15,105,318,502,121,912,47,25,53.2,16,34.0,591,3651,1732,66,43,27,47,39,650,155,possession,BEL,"FW,MF",28.0,1994.0,34,1649,49,48.2,18.3,18,72,3,16,22,3,2.32,45,10,35,1.91,0.54,37.3,13.6,23.7,1.3,0.05,playing_time,BEL,"FW,MF",28.0,1994.0,18.3,2,0,0,15,20,9,57,8,16,1,0,0,88,5,10,33.3,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2024-25,Arsenal,Raheem Sterling,ENG,"FW,MF",29.0,1994.0,17,7,499,5.5,0,2,2,0,0,0,1,0,1.4,1.4,0.5,1.9,27,18,79,0.0,0.36,0.36,0.0,0.36,0.26,0.09,0.34,0.26,0.34,standard,ENG,"FW,MF",29.0,1994.0,5.5,0,11,0,0.0,1.98,0.0,0.0,Unknown,15.1,2,0,0,1.4,1.4,0.13,-1.4,-1.4,shooting,ENG,"FW,MF",29.0,1994.0,5.5,158,201,78.6,2022,403,103,117,88.0,43,57,75.4,3,4,75.0,2.0,0.5,0.5,1.5,8.0,4.0,9.0,2.0,18.0,passing,ENG,"FW,MF",29.0,1994.0,5.5,201.0,197,2,0,0,1,16,1,1,0,0,0,158,2,7,passing_types,ENG,"FW,MF",29.0,1994.0,5.5,19,3.43,14,0,3,2,0,0,3,0.54,3,0,0,0,0,0,goal_shot_creation,ENG,"FW,MF",29.0,1994.0,5.5,9,4,1,3,5,5,10,50.0,5,3,0,3,1.0,10.0,4.0,0.0,defense,ENG,"FW,MF",29.0,1994.0,5.5,274,2,10,58,209,38,274,30,10,33.3,10,33.3,201,1407,750,27,11,15,13,14,211,79,possession,ENG,"FW,MF",29.0,1994.0,17,499,29,14.6,5.5,7,56,0,10,11,12,2.0,12,4,8,1.44,0.61,9.1,4.1,5.0,0.9,0.27,playing_time,ENG,"FW,MF",29.0,1994.0,5.5,1,0,0,12,8,4,16,1,4,0,0,0,16,1,3,25.0,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2025-26,Aston Villa,Donyell Malen,NED,"FW,MF",26-234,1999.0,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,4,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,standard,NED,"FW,MF",26-234,1999.0,0.4,0,1,1,100.0,2.65,2.65,0.0,0.0,15.4,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting,NED,"FW,MF",26-234,1999.0,0.4,11,12,91.7,146,9,8,9,88.9,2,2,100.0,1,1,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,passing,NED,"FW,MF",26-234,1999.0,0.4,12.0,12,0,0,0,0,0,0,0,0,0,0,11,0,0,passing_types,NED,"FW,MF",26-234,1999.0,0.4,1,2.65,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,NED,"FW,MF",26-234,1999.0,0.4,0,0,0,0,0,0,0,Unknown,0,0,0,0,0.0,0.0,0.0,0.0,defense,NED,"FW,MF",26-234,1999.0,0.4,14,0,0,6,8,2,14,2,0,0.0,1,50.0,13,84,30,2,1,1,0,0,13,4,possession,NED,"FW,MF",26-234,1999.0,2,34,17,18.9,0.4,0,Unknown,0,2,17,0,0.5,0,0,0,0.0,0.62,0.3,0.2,0.1,0.37,1.21,playing_time,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2023-24,Aston Villa,Jacob Ramsey,ENG,"FW,MF",22.0,2001.0,16,8,853,9.5,1,1,2,1,0,0,2,0,2.2,2.2,1.0,3.2,33,28,69,0.11,0.11,0.21,0.11,0.21,0.23,0.11,0.34,0.23,0.34,standard,ENG,"FW,MF",22.0,2001.0,9.5,1,19,4,21.1,2.0,0.42,0.05,0.25,15.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2,shooting,ENG,"FW,MF",22.0,2001.0,9.5,257,322,79.8,3751,863,143,173,82.7,97,115,84.3,9,12,75.0,1.0,1.0,1.4,0.0,10.0,22.0,5.0,0.0,28.0,passing,ENG,"FW,MF",22.0,2001.0,9.5,322.0,310,12,1,3,0,11,1,10,3,0,0,257,0,9,passing_types,ENG,"FW,MF",22.0,2001.0,9.5,29,3.06,23,2,1,2,0,1,3,0.32,2,1,0,0,0,0,goal_shot_creation,ENG,"FW,MF",22.0,2001.0,9.5,16,8,7,6,3,5,15,33.3,10,15,2,13,3.0,19.0,8.0,0.0,defense,ENG,"FW,MF",22.0,2001.0,9.5,433,10,69,178,195,47,433,20,8,40.0,11,55.0,272,1785,843,33,19,11,18,21,314,69,possession,ENG,"FW,MF",22.0,2001.0,16,853,53,24.9,9.5,8,80,5,8,26,0,2.19,22,12,10,1.06,0.88,18.5,13.2,5.3,0.56,0.62,playing_time,ENG,"FW,MF",22.0,2001.0,9.5,2,0,0,7,12,0,11,3,8,0,0,0,42,5,3,62.5,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2024-25,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23.0,2001.0,29,19,1623,18.0,1,3,4,1,0,0,4,1,1.6,1.6,2.3,3.9,61,68,114,0.06,0.17,0.22,0.06,0.22,0.09,0.13,0.22,0.09,0.22,standard,ENG,"FW,MF",23.0,2001.0,18.0,1,19,4,21.1,1.05,0.22,0.05,0.25,16.8,0,0,0,1.6,1.6,0.08,-0.6,-0.6,shooting,ENG,"FW,MF",23.0,2001.0,18.0,497,586,84.8,6645,1578,334,366,91.3,133,159,83.6,15,20,75.0,3.0,2.3,2.2,0.7,21.0,31.0,21.0,1.0,68.0,passing,ENG,"FW,MF",23.0,2001.0,18.0,586.0,581,2,0,3,3,12,2,0,0,0,0,497,3,15,passing_types,ENG,"FW,MF",23.0,2001.0,18.0,51,2.83,40,0,4,1,6,0,8,0.44,7,0,0,0,1,0,goal_shot_creation,ENG,"FW,MF",23.0,2001.0,18.0,30,15,14,10,6,10,20,50.0,10,23,4,19,8.0,38.0,8.0,1.0,defense,ENG,"FW,MF",23.0,2001.0,18.0,762,12,146,272,359,74,762,46,25,54.3,13,28.3,496,3441,1766,61,31,21,42,23,577,114,possession,ENG,"FW,MF",23.0,2001.0,29,1623,56,47.5,18.0,19,68,2,10,34,0,1.79,25,26,-1,-0.06,-0.46,24.7,23.9,0.8,0.04,-0.22,playing_time,ENG,"FW,MF",23.0,2001.0,18.0,4,1,1,13,28,5,12,8,15,1,0,0,83,7,13,35.0,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2024-25,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",22.0,2002.0,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0.0,0.0,0.0,0.0,0.0,0.13,0.08,0.2,0.13,0.2,standard,ENG,"FW,MF",22.0,2002.0,3.7,0,7,0,0.0,1.9,0.0,0.0,Unknown,16.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5,shooting,ENG,"FW,MF",22.0,2002.0,3.7,63,86,73.3,850,161,40,49,81.6,18,21,85.7,2,3,66.7,0.0,0.3,0.2,-0.3,1.0,1.0,3.0,0.0,4.0,passing,ENG,"FW,MF",22.0,2002.0,3.7,86.0,85,1,0,1,0,4,1,0,0,0,0,63,0,9,passing_types,ENG,"FW,MF",22.0,2002.0,3.7,5,1.36,3,0,0,0,1,1,0,0.0,0,0,0,0,0,0,goal_shot_creation,ENG,"FW,MF",22.0,2002.0,3.7,11,5,4,7,0,4,6,66.7,2,5,0,5,3.0,14.0,2.0,1.0,defense,ENG,"FW,MF",22.0,2002.0,3.7,145,4,27,54,66,14,145,15,4,26.7,8,53.3,75,520,239,7,5,7,7,3,83,17,possession,ENG,"FW,MF",22.0,2002.0,11,332,30,9.7,3.7,2,78,1,9,20,3,1.64,2,5,-3,-0.81,-1.1,4.7,4.7,0.0,-0.01,-0.18,playing_time,ENG,"FW,MF",22.0,2002.0,3.7,4,1,1,12,8,1,4,3,5,0,0,0,21,0,5,0.0,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
