league,season,team,player,nation,position,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_a,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg_xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g_a,per_90_minutes_g_pk,per_90_minutes_g_a_pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg_xag,per_90_minutes_npxg,per_90_minutes_npxg_xag,stat_type,nation_possession,position_possession,age_possession,born_possession,90s,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take_ons_att,take-ons_succ,take_ons_succ_pct,take_ons_tkld,take_ons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_mp_playing_time,playing_time_min_playing_time,playing_time_mn/mp,playing_time_min_pct,playing_time_90s_playing_time,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success__/_,team_success__/_90,team_success_on_off,team_success_xg_onxg,team_success_xg_onxga,team_success_xg_xg_/_,team_success_xg_xg_/_90,team_success_xg_on_off,stat_type_playing_time,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_mp_keeper,playing_time_starts_keeper,playing_time_min_keeper,playing_time_90s_keeper,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,stat_type_keeper,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,stat_type_defense,nation_passing,position_passing,age_passing,born_passing,90s_passing,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,xag,expected_xa,expected_a_xag,kp,1/3,ppa,crspa,prgp,stat_type_passing,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,stat_type_goal_shot_creation,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,stat_type_passing_types,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg/sot,expected_psxg_/_,expected_/90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_#opa,sweeper_#opa/90,sweeper_avgdist,stat_type_keeper_adv,nation_shooting,position_shooting,age_shooting,born_shooting,90s_shooting,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg_shooting,expected_npxg_shooting,expected_npxg/sh,expected_g_xg,expected_np:g_xg,stat_type_shooting,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_crdy_misc,performance_crdr_misc,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct,stat_type_misc
ENG-Premier League,2025-26,Arsenal,Bukayo Saka,ENG,FW,23-360,2001.0,2,2,142,1.6,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,5,2,15,0.63,0.0,0.63,0.63,0.63,0.16,0.07,0.23,0.16,0.23,standard,ENG,FW,23-360,2001.0,1.6,62,1,4,20,39,5,62,10,3,30.0,7,70.0,41,329,182,5,3,3,4,2,40,15,possession,ENG,FW,23-360,2001.0,2,142.0,71.0,78.9,1.6,2,71.0,1,0,0.0,0,3.0,4.0,0.0,4.0,2.54,-2.2,2.3,1.7,0.6,0.4,-3.55,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,FW,23-360,2001.0,1.6,3,2,1,2,0,1,2,50.0,1,1,0,1,0,3,0,0,defense,ENG,FW,23-360,2001.0,1.6,33,40,82.5,541,70,19,20,95.0,9,13,69.2,4,6,66.7,0,0.1,0.1,-0.1,3,0,1,0,2,passing,ENG,FW,23-360,2001.0,1.6,4,2.54,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ENG,FW,23-360,2001.0,1.6,40,35,5,0,0,0,7,2,3,2,0,0,33,0,0,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,FW,23-360,2001.0,1.6,1,2,1,50.0,1.27,0.63,0.5,1.0,11.0,0,0,0,0.3,0.3,0.13,0.7,0.7,shooting,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
ENG-Premier League,2023-24,Arsenal,Bukayo Saka,ENG,FW,21.0,2001.0,35,35,2919,32.4,16,9,25,10,6,6,4,0,15.5,10.8,10.5,21.2,155,126,508,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.8,0.33,0.65,standard,ENG,FW,21.0,2001.0,32.4,1952,37,182,474,1310,271,1946,122,49,40.2,54,44.3,1223,7180,3728,155,68,72,56,53,1393,508,possession,ENG,FW,21.0,2001.0,35,2919.0,83.0,85.4,32.4,35,83.0,17,0,0.0,0,2.29,78.0,27.0,51.0,1.57,-0.4,66.4,25.0,41.3,1.27,0.04,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,FW,21.0,2001.0,32.4,66,35,22,24,20,26,59,44.1,33,43,2,41,15,81,24,1,defense,ENG,FW,21.0,2001.0,32.4,1143,1512,75.6,16891,4402,705,793,88.9,331,427,77.5,80,183,43.7,9,10.5,11.0,-1.5,91,39,73,12,126,passing,ENG,FW,21.0,2001.0,32.4,188,5.8,137,26,10,9,4,2,21,0.65,16,2,1,1,1,0,goal_shot_creation,ENG,FW,21.0,2001.0,32.4,1512,1365,138,7,4,3,181,12,119,99,0,0,1143,9,50,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,FW,21.0,2001.0,32.4,16,102,31,30.4,3.14,0.96,0.1,0.32,16.3,0,6,6,15.5,10.8,0.11,0.5,-0.8,shooting,ENG,FW,21.0,2001.0,32.4,4.0,0.0,0.0,41.0,69.0,8.0,181.0,15.0,35.0,1.0,0.0,0.0,155.0,23.0,36.0,39.0,misc
ENG-Premier League,2024-25,Arsenal,Bukayo Saka,ENG,"FW,MF",22.0,2001.0,25,20,1729,19.2,6,10,16,5,1,1,3,0,6.8,6.0,7.6,13.7,96,70,255,0.31,0.52,0.83,0.26,0.78,0.36,0.4,0.75,0.31,0.71,standard,ENG,"FW,MF",22.0,2001.0,19.2,979,6,57,216,715,162,978,90,41,45.6,37,41.1,628,4253,2460,96,32,51,34,40,711,255,possession,ENG,"FW,MF",22.0,2001.0,25,1729.0,69.0,50.6,19.2,20,79.0,7,5,32.0,0,1.96,38.0,21.0,17.0,0.88,-0.07,34.8,17.6,17.3,0.9,0.46,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,"FW,MF",22.0,2001.0,19.2,29,15,9,11,9,13,24,54.2,11,22,0,22,3,32,8,0,defense,ENG,"FW,MF",22.0,2001.0,19.2,552,731,75.5,8408,2487,334,371,90.0,154,214,72.0,45,92,48.9,10,7.6,7.8,2.4,58,15,38,12,70,passing,ENG,"FW,MF",22.0,2001.0,19.2,117,6.09,71,20,12,10,4,0,23,1.2,14,5,2,1,1,0,goal_shot_creation,ENG,"FW,MF",22.0,2001.0,19.2,731,644,83,7,4,2,117,12,64,56,0,2,552,4,21,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,"FW,MF",22.0,2001.0,19.2,6,66,22,33.3,3.44,1.15,0.08,0.23,15.6,1,1,1,6.8,6.0,0.09,-0.8,-1.0,shooting,ENG,"FW,MF",22.0,2001.0,19.2,3.0,0.0,0.0,15.0,39.0,7.0,117.0,3.0,15.0,1.0,0.0,0.0,70.0,10.0,20.0,33.3,misc
ENG-Premier League,2023-24,Arsenal,Eddie Nketiah,ENG,FW,24.0,1999.0,27,10,1082,12.0,5,2,7,5,0,0,3,0,4.5,4.5,0.8,5.4,22,20,77,0.42,0.17,0.58,0.42,0.58,0.38,0.07,0.45,0.38,0.45,standard,ENG,FW,24.0,1999.0,12.0,371,5,18,148,207,75,371,30,8,26.7,15,50.0,236,1195,497,22,12,11,38,18,275,77,possession,ENG,FW,24.0,1999.0,27,1082.0,40.0,31.6,12.0,10,78.0,3,17,18.0,11,2.15,24.0,10.0,14.0,1.16,-0.68,22.3,10.3,12.1,1.0,-0.39,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,FW,24.0,1999.0,12.0,12,7,2,6,4,2,7,28.6,5,11,0,11,4,16,4,0,defense,ENG,FW,24.0,1999.0,12.0,168,215,78.1,2332,267,98,118,83.1,60,72,83.3,3,4,75.0,2,0.8,0.7,1.2,9,7,5,0,20,passing,ENG,FW,24.0,1999.0,12.0,28,2.33,17,0,3,5,3,0,8,0.67,3,0,1,1,3,0,goal_shot_creation,ENG,FW,24.0,1999.0,12.0,215,199,16,0,3,0,5,1,0,0,0,0,168,0,10,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,FW,24.0,1999.0,12.0,5,38,12,31.6,3.16,1.0,0.13,0.42,12.7,0,0,0,4.5,4.5,0.12,0.5,0.5,shooting,ENG,FW,24.0,1999.0,12.0,3.0,0.0,0.0,24.0,28.0,8.0,5.0,4.0,7.0,2.0,0.0,0.0,24.0,23.0,27.0,46.0,misc
ENG-Premier League,2023-24,Arsenal,Ethan Nwaneri,ENG,FW,16.0,2007.0,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,standard,ENG,FW,16.0,2007.0,0.2,20,0,0,9,11,2,20,1,0,0.0,0,0.0,16,123,66,2,2,0,0,0,17,1,possession,ENG,FW,16.0,2007.0,1,14.0,14.0,0.4,0.2,0,0.0,0,1,14.0,1,3.0,0.0,0.0,0.0,0.0,-1.64,0.0,0.1,-0.1,-0.69,-1.97,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,FW,16.0,2007.0,0.2,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,defense,ENG,FW,16.0,2007.0,0.2,15,18,83.3,209,56,10,13,76.9,5,5,100.0,0,0,0.0,0,0.0,0.0,0.0,1,1,2,0,2,passing,ENG,FW,16.0,2007.0,0.2,1,6.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ENG,FW,16.0,2007.0,0.2,18,18,0,0,0,0,0,0,0,0,0,0,15,0,0,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,FW,16.0,2007.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,ENG,FW,16.0,2007.0,0.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,misc
ENG-Premier League,2024-25,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17.0,2007.0,26,11,895,9.9,4,2,6,4,0,0,1,0,1.2,1.2,1.2,2.4,46,33,113,0.4,0.2,0.6,0.4,0.6,0.12,0.12,0.24,0.12,0.24,standard,ENG,"FW,MF",17.0,2007.0,9.9,544,3,44,167,339,44,544,62,37,59.7,19,30.6,365,2852,1329,46,25,17,23,17,398,113,possession,ENG,"FW,MF",17.0,2007.0,26,895.0,34.0,26.2,9.9,11,65.0,1,15,12.0,10,1.85,16.0,4.0,12.0,1.21,0.39,14.5,5.4,9.1,0.91,0.33,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,"FW,MF",17.0,2007.0,9.9,11,7,4,4,3,7,21,33.3,14,8,2,6,2,13,4,1,defense,ENG,"FW,MF",17.0,2007.0,9.9,342,425,80.5,4906,1216,216,234,92.3,93,121,76.9,19,37,51.4,2,1.2,1.8,0.8,16,17,16,6,33,passing,ENG,"FW,MF",17.0,2007.0,9.9,29,2.91,15,6,5,2,1,0,3,0.3,3,0,0,0,0,0,goal_shot_creation,ENG,"FW,MF",17.0,2007.0,9.9,425,386,36,3,3,1,54,4,27,18,0,0,342,3,14,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,"FW,MF",17.0,2007.0,9.9,4,24,9,37.5,2.41,0.91,0.17,0.44,18.5,1,0,0,1.2,1.2,0.05,2.8,2.8,shooting,ENG,"FW,MF",17.0,2007.0,9.9,1.0,0.0,0.0,9.0,5.0,6.0,54.0,2.0,7.0,0.0,0.0,0.0,34.0,4.0,8.0,33.3,misc
ENG-Premier League,2023-24,Arsenal,Fabio Vieira,POR,"MF,FW",23.0,2000.0,11,2,297,3.3,1,2,3,0,1,1,0,1,1.3,0.5,1.6,2.1,12,15,30,0.3,0.61,0.91,0.0,0.61,0.38,0.49,0.87,0.14,0.64,standard,POR,"MF,FW",23.0,2000.0,3.3,184,2,14,76,97,20,183,9,2,22.2,6,66.7,111,561,298,12,3,6,7,5,141,30,possession,POR,"MF,FW",23.0,2000.0,11,297.0,27.0,8.7,3.3,2,62.0,0,9,19.0,13,2.36,11.0,2.0,9.0,2.73,1.2,8.2,1.8,6.4,1.94,0.74,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,POR,"MF,FW",23.0,2000.0,3.3,3,2,2,0,1,3,3,100.0,0,0,0,0,2,5,2,0,defense,POR,"MF,FW",23.0,2000.0,3.3,122,150,81.3,1969,421,67,75,89.3,44,53,83.0,9,17,52.9,2,1.6,0.8,0.4,5,12,6,1,15,passing,POR,"MF,FW",23.0,2000.0,3.3,12,3.64,7,1,0,1,3,0,5,1.52,1,1,0,0,3,0,goal_shot_creation,POR,"MF,FW",23.0,2000.0,3.3,150,137,12,3,3,2,15,0,8,3,0,0,122,1,1,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,POR,"MF,FW",23.0,2000.0,3.3,1,6,1,16.7,1.82,0.3,0.0,0.0,18.0,0,1,1,1.3,0.5,0.08,-0.3,-0.5,shooting,POR,"MF,FW",23.0,2000.0,3.3,0.0,1.0,0.0,8.0,10.0,2.0,15.0,2.0,2.0,2.0,0.0,0.0,16.0,1.0,0.0,100.0,misc
ENG-Premier League,2023-24,Arsenal,Gabriel Jesus,BRA,FW,26.0,1997.0,27,17,1478,16.4,4,5,9,4,0,0,6,0,6.3,6.3,3.8,10.1,38,42,155,0.24,0.3,0.55,0.24,0.55,0.39,0.23,0.62,0.39,0.62,standard,BRA,FW,26.0,1997.0,16.4,782,16,75,247,472,139,782,75,35,46.7,30,40.0,489,2654,1146,38,21,25,61,38,567,155,possession,BRA,FW,26.0,1997.0,27,1478.0,55.0,43.2,16.4,17,78.0,4,10,16.0,3,2.19,29.0,11.0,18.0,1.1,-0.94,31.3,11.4,19.9,1.21,-0.1,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,BRA,FW,26.0,1997.0,16.4,24,17,11,5,8,5,18,27.8,13,23,1,22,13,37,12,0,defense,BRA,FW,26.0,1997.0,16.4,403,513,78.6,5315,971,259,306,84.6,111,140,79.3,10,16,62.5,5,3.8,3.2,1.2,29,18,19,1,42,passing,BRA,FW,26.0,1997.0,16.4,59,3.59,37,1,9,5,3,4,8,0.49,4,1,1,1,1,0,goal_shot_creation,BRA,FW,26.0,1997.0,16.4,513,482,23,2,8,2,9,6,0,0,0,0,403,8,18,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,BRA,FW,26.0,1997.0,16.4,4,55,19,34.5,3.35,1.16,0.07,0.21,12.2,0,0,0,6.3,6.3,0.12,-2.3,-2.3,shooting,BRA,FW,26.0,1997.0,16.4,6.0,0.0,0.0,26.0,32.0,16.0,9.0,13.0,17.0,1.0,0.0,0.0,59.0,15.0,38.0,28.3,misc
ENG-Premier League,2024-25,Arsenal,Gabriel Jesus,BRA,FW,27.0,1997.0,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,0.7,3.7,15,19,57,0.44,0.0,0.44,0.44,0.44,0.44,0.1,0.54,0.44,0.54,standard,BRA,FW,27.0,1997.0,6.8,299,9,28,108,165,48,299,22,9,40.9,10,45.5,179,953,432,15,6,11,13,13,217,57,possession,BRA,FW,27.0,1997.0,17,608.0,36.0,17.8,6.8,6,81.0,2,11,11.0,1,1.94,15.0,5.0,10.0,1.48,0.68,11.4,5.7,5.7,0.85,0.21,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,BRA,FW,27.0,1997.0,6.8,10,6,4,3,3,4,9,44.4,5,10,1,9,4,14,8,0,defense,BRA,FW,27.0,1997.0,6.8,156,203,76.8,2030,378,103,128,80.5,41,47,87.2,4,6,66.7,0,0.7,0.5,-0.7,8,10,9,1,19,passing,BRA,FW,27.0,1997.0,6.8,18,2.66,10,0,1,5,1,1,4,0.59,1,0,0,3,0,0,goal_shot_creation,BRA,FW,27.0,1997.0,6.8,203,197,3,0,1,0,7,3,0,0,0,0,156,3,12,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,BRA,FW,27.0,1997.0,6.8,3,20,7,35.0,2.96,1.04,0.15,0.43,11.1,0,0,0,3.0,3.0,0.15,0.0,0.0,shooting,BRA,FW,27.0,1997.0,6.8,4.0,0.0,0.0,14.0,10.0,9.0,7.0,4.0,6.0,0.0,0.0,0.0,28.0,9.0,18.0,33.3,misc
ENG-Premier League,2025-26,Arsenal,Gabriel Martinelli,BRA,FW,24-074,2001.0,1,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,standard,BRA,FW,24-074,2001.0,0.7,12,1,3,5,5,3,12,1,0,0.0,1,100.0,8,78,37,1,1,0,2,1,7,2,possession,BRA,FW,24-074,2001.0,1,59.0,59.0,32.8,0.7,1,59.0,0,0,0.0,1,3.0,1.0,0.0,1.0,1.53,-2.19,1.1,0.7,0.4,0.57,-0.87,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,BRA,FW,24-074,2001.0,0.7,1,1,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,defense,BRA,FW,24-074,2001.0,0.7,3,6,50.0,35,12,1,2,50.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,1,0,0,0,1,passing,BRA,FW,24-074,2001.0,0.7,1,1.53,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,BRA,FW,24-074,2001.0,0.7,6,5,0,0,0,1,0,0,0,0,0,0,3,1,0,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,BRA,FW,24-074,2001.0,0.7,0,1,1,100.0,1.53,1.53,0.0,0.0,16.6,0,0,0,0.0,0.0,0.02,0.0,0.0,shooting,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
