league,season,team,player,nation,position,age,born,playing_time,playing_time_1,playing_time_2,playing_time_3,performance,performance_1,performance_2,performance_3,performance_4,performance_5,performance_6,performance_7,expected,expected_1,expected_2,expected_3,progression,progression_1,progression_2,per_90_minutes,per_90_minutes_1,per_90_minutes_2,per_90_minutes_3,per_90_minutes_4,per_90_minutes_5,per_90_minutes_6,per_90_minutes_7,per_90_minutes_8,per_90_minutes_9,stat_type,nation_shooting,position_shooting,age_shooting,born_shooting,90s,standard,standard_1,standard_2,standard_3,standard_4,standard_5,standard_6,standard_7,standard_8,standard_9,standard_10,standard_11,expected_shooting,expected_1_shooting,expected_2_shooting,expected_3_shooting,expected_4,stat_type_shooting,nation_passing,position_passing,age_passing,born_passing,90s_passing,total,total_1,total_2,total_3,total_4,short,short_1,short_2,medium,medium_1,medium_2,long,long_1,long_2,assists,xag,expected_passing,expected_1_passing,kp,1/3,ppa,crspa,progressive_passes,stat_type_passing,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,passes_attempted,pass_types,pass_types_1,pass_types_2,pass_types_3,pass_types_4,pass_types_5,pass_types_6,pass_types_7,corner_kicks,corner_kicks_1,corner_kicks_2,outcomes,outcomes_1,outcomes_2,stat_type_passing_types,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca,sca_1,sca_types,sca_types_1,sca_types_2,sca_types_3,sca_types_4,sca_types_5,gca,gca_1,gca_types,gca_types_1,gca_types_2,gca_types_3,gca_types_4,gca_types_5,stat_type_goal_shot_creation,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles,tackles_1,tackles_2,tackles_3,tackles_4,challenges,challenges_1,challenges_2,challenges_3,blocks,blocks_1,blocks_2,interceptions,tkl+int,clearances,err,stat_type_defense,nation_possession,position_possession,age_possession,born_possession,90s_possession,touches,touches_1,touches_2,touches_3,touches_4,touches_5,touches_6,take-ons,take-ons_1,take-ons_2,take-ons_3,take-ons_4,carries,carries_1,carries_2,carries_3,carries_4,carries_5,carries_6,carries_7,receiving,receiving_1,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_playing_time,playing_time_1_playing_time,playing_time_2_playing_time,playing_time_3_playing_time,playing_time_4,starts,starts_1,starts_2,subs,subs_1,subs_2,team_success,team_success_1,team_success_2,team_success_3,team_success_4,team_success_5,team_success_(xg),team_success_(xg)_1,team_success_(xg)_2,team_success_(xg)_3,team_success_(xg)_4,stat_type_playing_time,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_misc,performance_1_misc,performance_2_misc,performance_3_misc,performance_4_misc,performance_5_misc,performance_6_misc,performance_7_misc,performance_8,performance_9,performance_10,performance_11,performance_12,aerial_duels,aerial_duels_1,aerial_duels_2,stat_type_misc,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_keeper,playing_time_1_keeper,playing_time_2_keeper,playing_time_3_keeper,performance_keeper,performance_1_keeper,performance_2_keeper,performance_3_keeper,performance_4_keeper,performance_5_keeper,performance_6_keeper,performance_7_keeper,performance_8_keeper,performance_9_keeper,penalty_kicks,penalty_kicks_1,penalty_kicks_2,penalty_kicks_3,penalty_kicks_4,stat_type_keeper,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals,goals_1,goals_2,goals_3,goals_4,expected_keeper_adv,expected_1_keeper_adv,expected_2_keeper_adv,expected_3_keeper_adv,launched,launched_1,launched_2,passes,passes_1,passes_2,passes_3,goal_kicks,goal_kicks_1,goal_kicks_2,crosses,crosses_1,crosses_2,sweeper,sweeper_1,sweeper_2,stat_type_keeper_adv
GER-Bundesliga,2024-25,Augsburg,Alexis Claude-Maurice,FRA,"MF,FW",26.0,1998.0,28,25,2109,23.4,9,2,11,9,0,0,4,0,4.7,4.7,1.2,5.9,59,61,102,0.38,0.09,0.47,0.38,0.47,0.2,0.05,0.25,0.2,0.25,standard,FRA,"MF,FW",26.0,1998.0,23.4,9,59,22,37.3,2.52,0.94,0.15,0.41,20.5,1,0,0,4.7,4.7,0.08,4.3,4.3,shooting,FRA,"MF,FW",26.0,1998.0,23.4,543,655,82.9,8213,1411,292,342,85.4,205,229,89.5,31,44,70.5,2.0,1.2,1.9,0.8,21.0,38.0,21.0,5.0,61.0,passing,FRA,"MF,FW",26.0,1998.0,23.4,655.0,634,21,4,3,3,21,3,0,0,0,0,543,0,16,passing_types,FRA,"MF,FW",26.0,1998.0,23.4,77,3.29,54,1,8,3,11,0,6,0.26,3,0,1,0,2,0,goal_shot_creation,FRA,"MF,FW",26.0,1998.0,23.4,41,26,12,15,14,17,34,50.0,17,16,0,16,15.0,56.0,8.0,1.0,defense,FRA,"MF,FW",26.0,1998.0,23.4,994,13,112,479,431,64,994,90,42,46.7,40,44.4,619,4039,1888,59,47,9,85,50,727,102,possession,FRA,"MF,FW",26.0,1998.0,28,2109,75,68.9,23.4,25,80,7,3,37,3,1.36,23,22,1,0.04,1.65,22.6,28.5,-5.9,-0.25,0.54,playing_time,FRA,"MF,FW",26.0,1998.0,23.4,4,0,0,26,42,3,21,15,26,1,0,0,72,14,23,37.8,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
GER-Bundesliga,2025-26,Augsburg,Anton Kade,GER,DF,21-226,2004.0,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,standard,GER,DF,21-226,2004.0,0.3,0,1,0,0.0,3.33,0.0,0.0,Unknown,32.4,0,0,0,0.0,0.0,0.01,0.0,0.0,shooting,GER,DF,21-226,2004.0,0.3,6,8,75.0,87,39,5,6,83.3,0,1,0.0,1,1,100.0,0.0,0.0,0.1,0.0,0.0,1.0,1.0,0.0,1.0,passing,GER,DF,21-226,2004.0,0.3,8.0,7,1,0,0,0,0,1,0,0,0,0,6,0,0,passing_types,GER,DF,21-226,2004.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,GER,DF,21-226,2004.0,0.3,1,1,1,0,0,0,1,0.0,1,1,0,1,0.0,1.0,0.0,0.0,defense,GER,DF,21-226,2004.0,0.3,14,0,2,6,6,0,14,2,1,50.0,1,50.0,7,30,17,1,0,0,2,0,10,3,possession,GER,DF,21-226,2004.0,1,27,27,15.0,0.3,0,Unknown,0,1,27,0,0.0,1,0,1,3.33,3.33,0.2,1.1,-0.9,-3.03,-0.95,playing_time,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
GER-Bundesliga,2023-24,Augsburg,Arne Engels,BEL,"MF,DF",19.0,2003.0,32,13,1405,15.6,3,2,5,3,0,0,1,1,1.8,1.8,1.2,3.0,23,52,62,0.19,0.13,0.32,0.19,0.32,0.12,0.08,0.19,0.12,0.19,standard,BEL,"MF,DF",19.0,2003.0,15.6,3,20,7,35.0,1.28,0.45,0.15,0.43,19.9,2,0,0,1.8,1.8,0.09,1.2,1.2,shooting,BEL,"MF,DF",19.0,2003.0,15.6,394,587,67.1,7179,2583,171,213,80.3,160,210,76.2,50,113,44.2,2.0,1.2,1.8,0.8,19.0,35.0,17.0,6.0,52.0,passing,BEL,"MF,DF",19.0,2003.0,15.6,587.0,498,85,19,3,9,80,30,36,20,13,0,394,4,23,passing_types,BEL,"MF,DF",19.0,2003.0,15.6,40,2.56,28,8,0,2,2,0,8,0.51,5,1,0,0,2,0,goal_shot_creation,BEL,"MF,DF",19.0,2003.0,15.6,33,18,15,14,4,12,29,41.4,17,23,1,22,15.0,48.0,21.0,0.0,defense,BEL,"MF,DF",19.0,2003.0,15.6,724,25,142,337,249,18,724,11,6,54.5,5,45.5,357,1747,786,23,18,4,15,7,406,62,possession,BEL,"MF,DF",19.0,2003.0,32,1405,44,45.9,15.6,13,74,2,19,23,0,1.22,25,21,4,0.26,1.02,23.0,25.9,-2.9,-0.19,0.27,playing_time,BEL,"MF,DF",19.0,2003.0,15.6,1,1,0,24,15,1,80,15,18,2,0,0,61,12,19,38.7,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
GER-Bundesliga,2024-25,Augsburg,Arne Engels,BEL,"MF,FW",20.0,2003.0,1,1,79,0.9,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,1,1,5,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.45,standard,BEL,"MF,FW",20.0,2003.0,0.9,0,3,1,33.3,3.42,1.14,0.0,0.0,13.1,0,0,0,0.4,0.4,0.14,-0.4,-0.4,shooting,BEL,"MF,FW",20.0,2003.0,0.9,19,27,70.4,195,57,14,16,87.5,2,3,66.7,0,3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,passing,BEL,"MF,FW",20.0,2003.0,0.9,27.0,24,3,0,0,0,4,0,2,2,0,0,19,0,1,passing_types,BEL,"MF,FW",20.0,2003.0,0.9,1,1.14,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,BEL,"MF,FW",20.0,2003.0,0.9,0,0,0,0,0,0,0,Unknown,0,1,1,0,0.0,0.0,0.0,0.0,defense,BEL,"MF,FW",20.0,2003.0,0.9,32,1,1,14,17,2,32,1,0,0.0,1,100.0,17,75,38,1,3,0,0,0,24,5,possession,BEL,"MF,FW",20.0,2003.0,1,79,79,2.6,0.9,1,79,0,0,Unknown,0,1.0,2,2,0,0.0,0.48,1.0,1.4,-0.5,-0.54,-0.13,playing_time,BEL,"MF,FW",20.0,2003.0,0.9,1,0,0,3,1,0,4,0,0,0,0,0,0,1,0,100.0,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
GER-Bundesliga,2023-24,Augsburg,Arne Maier,GER,MF,24.0,1999.0,22,10,1003,11.1,2,4,6,2,0,0,0,0,1.5,1.5,2.3,3.9,17,64,66,0.18,0.36,0.54,0.18,0.54,0.14,0.21,0.35,0.14,0.35,standard,GER,MF,24.0,1999.0,11.1,2,22,5,22.7,1.97,0.45,0.09,0.4,22.2,3,0,0,1.5,1.5,0.07,0.5,0.5,shooting,GER,MF,24.0,1999.0,11.1,449,593,75.7,8314,2523,183,212,86.3,182,227,80.2,68,115,59.1,4.0,2.3,2.8,1.7,28.0,49.0,27.0,8.0,64.0,passing,GER,MF,24.0,1999.0,11.1,593.0,498,92,21,0,2,85,8,61,17,34,0,449,3,12,passing_types,GER,MF,24.0,1999.0,11.1,66,5.92,37,19,2,6,2,0,6,0.54,3,1,0,2,0,0,goal_shot_creation,GER,MF,24.0,1999.0,11.1,14,9,5,8,1,5,14,35.7,9,19,2,17,6.0,20.0,11.0,0.0,defense,GER,MF,24.0,1999.0,11.1,692,15,86,321,293,28,692,20,12,60.0,8,40.0,350,1577,680,17,11,6,13,11,422,66,possession,GER,MF,24.0,1999.0,22,1003,46,32.8,11.1,10,77,3,12,19,5,1.0,20,19,1,0.09,0.57,17.6,21.1,-3.5,-0.31,0.03,playing_time,GER,MF,24.0,1999.0,11.1,0,0,0,4,4,0,85,6,9,0,1,0,58,6,4,60.0,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
GER-Bundesliga,2024-25,Augsburg,Arne Maier,GER,MF,25.0,1999.0,28,7,938,10.4,0,0,0,0,0,0,0,1,1.5,1.5,1.5,3.0,19,44,56,0.0,0.0,0.0,0.0,0.0,0.15,0.14,0.29,0.15,0.29,standard,GER,MF,25.0,1999.0,10.4,0,18,6,33.3,1.73,0.58,0.0,0.0,24.3,3,0,0,1.5,1.5,0.08,-1.5,-1.5,shooting,GER,MF,25.0,1999.0,10.4,450,588,76.5,7914,2094,204,238,85.7,183,218,83.9,52,95,54.7,0.0,1.5,2.6,-1.5,25.0,40.0,10.0,3.0,44.0,passing,GER,MF,25.0,1999.0,10.4,588.0,511,75,24,2,3,67,0,46,15,23,0,450,2,17,passing_types,GER,MF,25.0,1999.0,10.4,44,4.23,25,17,0,2,0,0,4,0.38,1,2,0,1,0,0,goal_shot_creation,GER,MF,25.0,1999.0,10.4,13,7,4,8,1,7,13,53.8,6,15,1,14,6.0,19.0,14.0,1.0,defense,GER,MF,25.0,1999.0,10.4,699,16,103,327,275,21,699,16,7,43.8,9,56.3,390,1740,823,19,18,5,21,9,451,56,possession,GER,MF,25.0,1999.0,28,938,34,30.7,10.4,7,62,0,21,24,4,1.29,12,16,-4,-0.38,0.13,12.9,15.4,-2.5,-0.24,0.25,playing_time,GER,MF,25.0,1999.0,10.4,0,1,0,9,7,0,67,6,7,0,0,0,72,4,7,36.4,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
GER-Bundesliga,2025-26,Augsburg,Arne Maier,GER,DF,26-235,1999.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GER,DF,26-235,1999.0,0.0,0,0,0,Unknown,0.0,0.0,Unknown,Unknown,Unknown,0,0,0,0.0,0.0,Unknown,0.0,0.0,shooting,GER,DF,26-235,1999.0,0.0,5,8,62.5,74,18,3,5,60.0,2,2,100.0,0,0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,passing,GER,DF,26-235,1999.0,0.0,8.0,6,2,0,0,0,1,2,0,0,0,0,5,0,0,passing_types,GER,DF,26-235,1999.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,GER,DF,26-235,1999.0,0.0,1,1,0,0,1,1,1,100.0,0,0,0,0,1.0,2.0,0.0,0.0,defense,GER,DF,26-235,1999.0,0.0,10,0,1,4,5,0,10,0,0,Unknown,0,Unknown,3,18,6,1,0,0,0,0,3,0,possession,GER,DF,26-235,1999.0,1,4,4,2.2,0.0,0,Unknown,0,1,4,1,3.0,0,0,0,0.0,-0.51,0.0,0.2,-0.2,-4.84,-2.68,playing_time,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
GER-Bundesliga,2024-25,Augsburg,Cedric Zesiger,SUI,DF,26.0,1998.0,15,15,1221,13.6,0,2,2,0,0,0,7,1,1.2,1.2,1.3,2.5,4,40,7,0.0,0.15,0.15,0.0,0.15,0.09,0.09,0.18,0.09,0.18,standard,SUI,DF,26.0,1998.0,13.6,0,10,2,20.0,0.74,0.15,0.0,0.0,14.7,0,0,0,1.2,1.2,0.12,-1.2,-1.2,shooting,SUI,DF,26.0,1998.0,13.6,455,579,78.6,8607,3229,175,195,89.7,237,269,88.1,40,89,44.9,2.0,1.3,1.1,0.7,7.0,45.0,6.0,4.0,40.0,passing,SUI,DF,26.0,1998.0,13.6,579.0,541,35,13,2,5,13,17,0,0,0,0,455,3,15,passing_types,SUI,DF,26.0,1998.0,13.6,13,0.96,11,1,0,1,0,0,3,0.22,3,0,0,0,0,0,goal_shot_creation,SUI,DF,26.0,1998.0,13.6,13,7,7,6,0,8,13,61.5,5,17,10,7,21.0,34.0,96.0,1.0,defense,SUI,DF,26.0,1998.0,13.6,771,101,341,371,61,9,771,4,1,25.0,3,75.0,398,1750,815,4,9,0,8,3,424,7,possession,SUI,DF,26.0,1998.0,15,1221,81,39.9,13.6,15,81,10,0,Unknown,0,1.33,10,12,-2,-0.15,0.54,12.7,18.6,-5.9,-0.43,-0.02,playing_time,SUI,DF,26.0,1998.0,13.6,7,1,1,15,7,0,13,21,7,0,0,0,57,27,19,58.7,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
GER-Bundesliga,2025-26,Augsburg,Cedric Zesiger,SUI,DF,27-068,1998.0,1,0,5,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,SUI,DF,27-068,1998.0,0.1,0,0,0,Unknown,0.0,0.0,Unknown,Unknown,Unknown,0,0,0,0.0,0.0,Unknown,0.0,0.0,shooting,SUI,DF,27-068,1998.0,0.1,0,2,0.0,0,0,0,2,0.0,0,0,Unknown,0,0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,passing,SUI,DF,27-068,1998.0,0.1,2.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,passing_types,SUI,DF,27-068,1998.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,SUI,DF,27-068,1998.0,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,1.0,2.0,2.0,0.0,defense,SUI,DF,27-068,1998.0,0.1,6,2,4,1,1,0,6,0,0,Unknown,0,Unknown,0,0,0,0,0,0,0,0,1,0,possession,SUI,DF,27-068,1998.0,1,5,5,2.8,0.1,0,Unknown,0,1,5,0,1.5,2,3,-1,-18.0,-19.03,0.0,0.2,-0.2,-3.88,-1.7,playing_time,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
GER-Bundesliga,2024-25,Augsburg,Chrislain Matsima,FRA,DF,22.0,2002.0,30,28,2551,28.3,1,1,2,1,0,0,4,0,1.8,1.8,0.3,2.1,14,84,13,0.04,0.04,0.07,0.04,0.07,0.06,0.01,0.07,0.06,0.07,standard,FRA,DF,22.0,2002.0,28.3,1,14,2,14.3,0.49,0.07,0.07,0.5,10.2,0,0,0,1.8,1.8,0.13,-0.8,-0.8,shooting,FRA,DF,22.0,2002.0,28.3,1139,1324,86.0,20152,6622,451,508,88.8,600,647,92.7,72,122,59.0,1.0,0.3,0.7,0.7,5.0,95.0,7.0,0.0,84.0,passing,FRA,DF,22.0,2002.0,28.3,1324.0,1274,44,31,2,2,3,8,0,0,0,0,1139,6,17,passing_types,FRA,DF,22.0,2002.0,28.3,17,0.6,17,0,0,0,0,0,1,0.04,1,0,0,0,0,0,goal_shot_creation,FRA,DF,22.0,2002.0,28.3,31,20,19,11,1,17,26,65.4,9,48,29,19,52.0,83.0,163.0,0.0,defense,FRA,DF,22.0,2002.0,28.3,1669,229,700,846,138,24,1669,12,7,58.3,4,33.3,910,3558,1731,14,18,2,20,9,989,13,possession,FRA,DF,22.0,2002.0,30,2551,85,83.4,28.3,28,89,26,2,28,2,1.3,26,37,-11,-0.39,0.5,26.1,40.3,-14.3,-0.5,-0.52,playing_time,FRA,DF,22.0,2002.0,28.3,4,0,0,10,10,1,3,52,20,0,1,1,143,68,28,70.8,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
