league,season,team,player,nation,position,age,born,playing_time,playing_time_1,playing_time_2,playing_time_3,performance,performance_1,performance_2,performance_3,performance_4,performance_5,performance_6,performance_7,expected,expected_1,expected_2,expected_3,progression,progression_1,progression_2,per_90_minutes,per_90_minutes_1,per_90_minutes_2,per_90_minutes_3,per_90_minutes_4,per_90_minutes_5,per_90_minutes_6,per_90_minutes_7,per_90_minutes_8,per_90_minutes_9,stat_type,nation_shooting,position_shooting,age_shooting,born_shooting,90s,standard,standard_1,standard_2,standard_3,standard_4,standard_5,standard_6,standard_7,standard_8,standard_9,standard_10,standard_11,expected_shooting,expected_1_shooting,expected_2_shooting,expected_3_shooting,expected_4,stat_type_shooting,nation_passing,position_passing,age_passing,born_passing,90s_passing,total,total_1,total_2,total_3,total_4,short,short_1,short_2,medium,medium_1,medium_2,long,long_1,long_2,assists,xag,expected_passing,expected_1_passing,kp,1/3,ppa,crspa,progressive_passes,stat_type_passing,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,passes_attempted,pass_types,pass_types_1,pass_types_2,pass_types_3,pass_types_4,pass_types_5,pass_types_6,pass_types_7,corner_kicks,corner_kicks_1,corner_kicks_2,outcomes,outcomes_1,outcomes_2,stat_type_passing_types,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca,sca_1,sca_types,sca_types_1,sca_types_2,sca_types_3,sca_types_4,sca_types_5,gca,gca_1,gca_types,gca_types_1,gca_types_2,gca_types_3,gca_types_4,gca_types_5,stat_type_goal_shot_creation,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles,tackles_1,tackles_2,tackles_3,tackles_4,challenges,challenges_1,challenges_2,challenges_3,blocks,blocks_1,blocks_2,interceptions,tkl+int,clearances,err,stat_type_defense,nation_possession,position_possession,age_possession,born_possession,90s_possession,touches,touches_1,touches_2,touches_3,touches_4,touches_5,touches_6,take-ons,take-ons_1,take-ons_2,take-ons_3,take-ons_4,carries,carries_1,carries_2,carries_3,carries_4,carries_5,carries_6,carries_7,receiving,receiving_1,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_playing_time,playing_time_1_playing_time,playing_time_2_playing_time,playing_time_3_playing_time,playing_time_4,starts,starts_1,starts_2,subs,subs_1,subs_2,team_success,team_success_1,team_success_2,team_success_3,team_success_4,team_success_5,team_success_(xg),team_success_(xg)_1,team_success_(xg)_2,team_success_(xg)_3,team_success_(xg)_4,stat_type_playing_time,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_misc,performance_1_misc,performance_2_misc,performance_3_misc,performance_4_misc,performance_5_misc,performance_6_misc,performance_7_misc,performance_8,performance_9,performance_10,performance_11,performance_12,aerial_duels,aerial_duels_1,aerial_duels_2,stat_type_misc,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_keeper,playing_time_1_keeper,playing_time_2_keeper,playing_time_3_keeper,performance_keeper,performance_1_keeper,performance_2_keeper,performance_3_keeper,performance_4_keeper,performance_5_keeper,performance_6_keeper,performance_7_keeper,performance_8_keeper,performance_9_keeper,penalty_kicks,penalty_kicks_1,penalty_kicks_2,penalty_kicks_3,penalty_kicks_4,stat_type_keeper,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals,goals_1,goals_2,goals_3,goals_4,expected_keeper_adv,expected_1_keeper_adv,expected_2_keeper_adv,expected_3_keeper_adv,launched,launched_1,launched_2,passes,passes_1,passes_2,passes_3,goal_kicks,goal_kicks_1,goal_kicks_2,crosses,crosses_1,crosses_2,sweeper,sweeper_1,sweeper_2,stat_type_keeper_adv
ENG-Premier League,2023-24,Arsenal,Aaron Ramsdale,ENG,GK,25.0,1998.0,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ENG,GK,25.0,1998.0,6.0,0,0,0,Unknown,0.0,0.0,Unknown,Unknown,Unknown,0,0,0,0.0,0.0,Unknown,0.0,0.0,shooting,ENG,GK,25.0,1998.0,6.0,131,188,69.7,3303,2420,38,38,100.0,61,62,98.4,32,86,37.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,passing,ENG,GK,25.0,1998.0,6.0,188.0,153,35,16,0,0,0,0,0,0,0,0,131,0,2,passing_types,ENG,GK,25.0,1998.0,6.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ENG,GK,25.0,1998.0,6.0,0,0,0,0,0,0,0,Unknown,0,0,0,0,0.0,0.0,3.0,2.0,defense,ENG,GK,25.0,1998.0,6.0,197,140,186,11,0,0,197,0,0,Unknown,0,Unknown,137,697,399,0,0,0,1,0,104,0,possession,ENG,GK,25.0,1998.0,6,540,90,15.8,6.0,6,90,6,0,Unknown,31,2.67,11,5,6,1.0,-0.75,11.1,5.8,5.3,0.89,-0.45,playing_time,ENG,GK,25.0,1998.0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,Unknown,misc,ENG,GK,25.0,1998.0,6,6,540,6.0,5,0.83,14,9,64.3,5,1,0,2,33.3,0,0,0,0,Unknown,keeper,ENG,GK,25.0,1998.0,6.0,5,0,0,1,0,3.7,0.26,-1.3,-0.22,19,69,27.5,169,30,34.9,33.3,19,52.6,41.4,46,8,17.4,9,1.5,14.6,keeper_adv
ENG-Premier League,2023-24,Arsenal,David Raya,ESP,GK,27.0,1995.0,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,27.0,1995.0,32.0,0,0,0,Unknown,0.0,0.0,Unknown,Unknown,Unknown,0,0,0,0.0,0.0,Unknown,0.0,0.0,shooting,ESP,GK,27.0,1995.0,32.0,800,1068,74.9,19691,14108,228,231,98.7,387,391,99.0,183,439,41.7,0.0,0.0,0.1,0.0,0.0,30.0,0.0,0.0,2.0,passing,ESP,GK,27.0,1995.0,32.0,1068.0,898,167,71,0,1,0,0,0,0,0,0,800,3,2,passing_types,ESP,GK,27.0,1995.0,32.0,4,0.12,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ESP,GK,27.0,1995.0,32.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0.0,1.0,8.0,5.0,defense,ESP,GK,27.0,1995.0,32.0,1099,764,1060,39,0,0,1099,0,0,Unknown,0,Unknown,728,3442,1992,0,0,0,1,0,637,0,possession,ESP,GK,27.0,1995.0,32,2880,90,84.2,32.0,32,90,32,0,Unknown,3,2.28,80,24,56,1.75,0.75,65.0,22.1,42.9,1.34,0.45,playing_time,ESP,GK,27.0,1995.0,32.0,2,0,0,0,4,0,0,0,1,0,0,0,38,5,1,83.3,misc,ESP,GK,27.0,1995.0,32,32,2880,32.0,24,0.75,69,45,68.1,23,4,5,16,50.0,3,2,1,0,33.3,keeper,ESP,GK,27.0,1995.0,32.0,24,2,1,5,1,20.4,0.26,-2.6,-0.08,138,372,37.1,969,159,32.2,30.7,96,62.5,47.5,329,40,12.2,50,1.56,17.9,keeper_adv
ENG-Premier League,2024-25,Arsenal,David Raya,ESP,GK,28.0,1995.0,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,28.0,1995.0,38.0,0,0,0,Unknown,0.0,0.0,Unknown,Unknown,Unknown,0,0,0,0.0,0.0,Unknown,0.0,0.0,shooting,ESP,GK,28.0,1995.0,38.0,1040,1413,73.6,24784,17222,285,288,99.0,537,548,98.0,215,570,37.7,0.0,0.0,0.1,0.0,1.0,45.0,3.0,0.0,14.0,passing,ESP,GK,28.0,1995.0,38.0,1413.0,1172,238,91,0,3,0,0,0,0,0,0,1040,3,0,passing_types,ESP,GK,28.0,1995.0,38.0,5,0.13,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0,goal_shot_creation,ESP,GK,28.0,1995.0,38.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2.0,2.0,21.0,9.0,defense,ESP,GK,28.0,1995.0,38.0,1480,880,1388,92,0,0,1480,1,1,100.0,0,0.0,921,4542,2729,0,0,0,1,0,841,0,possession,ESP,GK,28.0,1995.0,38,3420,90,100.0,38.0,38,90,38,0,Unknown,0,1.95,69,34,35,0.92,Unknown,59.9,34.4,25.5,0.67,Unknown,playing_time,ESP,GK,28.0,1995.0,38.0,3,0,0,1,10,0,0,2,0,0,1,0,41,13,0,100.0,misc,ESP,GK,28.0,1995.0,38,38,3420,38.0,34,0.89,120,86,74.2,20,14,4,13,34.2,3,3,0,0,0.0,keeper,ESP,GK,28.0,1995.0,38.0,34,3,2,8,0,35.1,0.28,1.1,0.03,149,478,31.2,1263,178,29.9,29.9,147,68.0,49.1,402,53,13.2,66,1.74,17.2,keeper_adv
ENG-Premier League,2025-26,Arsenal,David Raya,ESP,GK,29-350,1995.0,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,29-350,1995.0,2.0,0,0,0,Unknown,0.0,0.0,Unknown,Unknown,Unknown,0,0,0,0.0,0.0,Unknown,0.0,0.0,shooting,ESP,GK,29-350,1995.0,2.0,51,69,73.9,1382,985,11,11,100.0,25,25,100.0,15,33,45.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,passing,ESP,GK,29-350,1995.0,2.0,69.0,56,13,4,0,0,0,0,0,0,0,0,51,0,0,passing_types,ESP,GK,29-350,1995.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ESP,GK,29-350,1995.0,2.0,0,0,0,0,0,0,0,Unknown,0,0,0,0,0.0,0.0,0.0,0.0,defense,ESP,GK,29-350,1995.0,2.0,73,60,72,1,0,0,73,0,0,Unknown,0,Unknown,41,202,119,0,0,0,0,0,38,0,possession,ESP,GK,29-350,1995.0,2,180,90,100.0,2.0,2,90,2,0,Unknown,0,3.0,6,0,6,3.0,Unknown,4.0,1.7,2.3,1.15,Unknown,playing_time,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2023-24,Aston Villa,Emiliano Martínez,ARG,GK,30.0,1992.0,34,34,3015,33.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ARG,GK,30.0,1992.0,33.5,0,0,0,Unknown,0.0,0.0,Unknown,Unknown,Unknown,0,0,0,0.0,0.0,Unknown,0.0,0.0,shooting,ARG,GK,30.0,1992.0,33.5,1190,1436,82.9,28047,16368,248,250,99.2,715,722,99.0,223,452,49.3,0.0,0.0,0.0,0.0,2.0,21.0,0.0,0.0,2.0,passing,ARG,GK,30.0,1992.0,33.5,1436.0,1170,259,100,0,0,0,0,0,0,0,0,1190,7,1,passing_types,ARG,GK,30.0,1992.0,33.5,3,0.09,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,goal_shot_creation,ARG,GK,30.0,1992.0,33.5,0,0,0,0,0,0,0,Unknown,0,0,0,0,0.0,0.0,12.0,3.0,defense,ARG,GK,30.0,1992.0,33.5,1509,1139,1484,25,0,0,1509,0,0,Unknown,0,Unknown,933,4389,2772,0,0,0,1,0,800,0,possession,ARG,GK,30.0,1992.0,34,3015,89,88.2,33.5,34,89,33,0,Unknown,0,1.91,72,48,24,0.72,2.72,58.8,49.8,9.0,0.27,1.52,playing_time,ARG,GK,30.0,1992.0,33.5,4,0,0,1,7,0,0,0,0,0,0,2,48,5,0,100.0,misc,ARG,GK,30.0,1992.0,34,34,3015,33.5,48,1.43,139,95,66.2,19,8,7,8,23.5,1,1,0,0,0.0,keeper,ARG,GK,30.0,1992.0,33.5,48,1,0,10,4,50.6,0.37,6.6,0.2,121,332,36.4,1270,157,21.0,27.7,159,40.9,36.1,373,45,12.1,69,2.06,17.5,keeper_adv
ENG-Premier League,2024-25,Aston Villa,Emiliano Martínez,ARG,GK,31.0,1992.0,37,37,3194,35.5,0,0,0,0,0,0,5,1,0.0,0.0,0.5,0.5,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,standard,ARG,GK,31.0,1992.0,35.5,0,0,0,Unknown,0.0,0.0,Unknown,Unknown,Unknown,0,0,0,0.0,0.0,Unknown,0.0,0.0,shooting,ARG,GK,31.0,1992.0,35.5,1091,1387,78.7,28659,17513,194,198,98.0,629,640,98.3,268,542,49.4,0.0,0.5,0.1,-0.5,2.0,27.0,0.0,0.0,4.0,passing,ARG,GK,31.0,1992.0,35.5,1387.0,1117,263,91,0,2,0,0,0,0,0,0,1091,7,0,passing_types,ARG,GK,31.0,1992.0,35.5,6,0.17,5,1,0,0,0,0,1,0.03,1,0,0,0,0,0,goal_shot_creation,ARG,GK,31.0,1992.0,35.5,3,3,3,0,0,2,2,100.0,0,1,0,1,0.0,3.0,17.0,6.0,defense,ARG,GK,31.0,1992.0,35.5,1449,1095,1429,20,0,0,1449,1,1,100.0,0,0.0,889,4616,2936,0,0,0,1,0,784,0,possession,ARG,GK,31.0,1992.0,37,3194,86,93.4,35.5,37,86,34,0,Unknown,0,1.7,56,45,11,0.31,1.9,53.5,44.7,8.9,0.25,1.42,playing_time,ARG,GK,31.0,1992.0,35.5,5,1,0,2,6,0,0,0,3,0,0,0,34,10,1,90.9,misc,ARG,GK,31.0,1992.0,37,37,3194,35.5,45,1.27,142,96,69.0,18,9,10,8,21.6,2,1,1,0,50.0,keeper,ARG,GK,31.0,1992.0,35.5,45,1,1,2,0,45.8,0.32,0.8,0.02,162,420,38.6,1208,132,26.3,30.4,172,59.3,46.3,498,56,11.2,35,0.99,13.7,keeper_adv
ENG-Premier League,2025-26,Aston Villa,Emiliano Martínez,ARG,GK,32-363,1992.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ARG,GK,32-363,1992.0,1.0,0,0,0,Unknown,0.0,0.0,Unknown,Unknown,Unknown,0,0,0,0.0,0.0,Unknown,0.0,0.0,shooting,ARG,GK,32-363,1992.0,1.0,36,38,94.7,807,535,14,14,100.0,14,14,100.0,8,10,80.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,passing,ARG,GK,32-363,1992.0,1.0,38.0,34,4,1,0,0,0,0,0,0,0,0,36,0,0,passing_types,ARG,GK,32-363,1992.0,1.0,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ARG,GK,32-363,1992.0,1.0,0,0,0,0,0,0,0,Unknown,0,0,0,0,0.0,0.0,0.0,0.0,defense,ARG,GK,32-363,1992.0,1.0,40,31,39,1,0,0,40,0,0,Unknown,0,Unknown,31,134,106,0,0,0,0,0,26,0,possession,ARG,GK,32-363,1992.0,1,90,90,50.0,1.0,1,90,1,0,Unknown,0,0.0,0,1,-1,-1.0,-1.0,1.2,1.2,0.0,0.0,1.22,playing_time,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2025-26,Aston Villa,Marco Bizot,NED,GK,34-174,1991.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,NED,GK,34-174,1991.0,1.0,0,0,0,Unknown,0.0,0.0,Unknown,Unknown,Unknown,0,0,0,0.0,0.0,Unknown,0.0,0.0,shooting,NED,GK,34-174,1991.0,1.0,24,45,53.3,662,447,6,6,100.0,11,11,100.0,7,28,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,passing,NED,GK,34-174,1991.0,1.0,45.0,31,14,3,0,0,0,0,0,0,0,0,24,0,0,passing_types,NED,GK,34-174,1991.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,NED,GK,34-174,1991.0,1.0,0,0,0,0,0,0,0,Unknown,0,0,0,0,0.0,0.0,0.0,0.0,defense,NED,GK,34-174,1991.0,1.0,47,40,47,0,0,0,47,0,0,Unknown,0,Unknown,26,112,31,0,0,0,0,0,19,0,possession,NED,GK,34-174,1991.0,1,90,90,50.0,1.0,1,90,1,0,Unknown,1,1.0,0,0,0,0.0,1.0,0.2,1.4,-1.2,-1.23,-1.22,playing_time,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2023-24,Aston Villa,Robin Olsen,SWE,GK,33.0,1990.0,5,4,405,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,SWE,GK,33.0,1990.0,4.5,0,0,0,Unknown,0.0,0.0,Unknown,Unknown,Unknown,0,0,0,0.0,0.0,Unknown,0.0,0.0,shooting,SWE,GK,33.0,1990.0,4.5,165,203,81.3,3545,2046,49,49,100.0,89,90,98.9,26,63,41.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,passing,SWE,GK,33.0,1990.0,4.5,203.0,163,40,13,0,0,0,0,0,0,0,0,165,0,0,passing_types,SWE,GK,33.0,1990.0,4.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,SWE,GK,33.0,1990.0,4.5,0,0,0,0,0,0,0,Unknown,0,0,0,0,0.0,0.0,1.0,0.0,defense,SWE,GK,33.0,1990.0,4.5,216,200,215,1,0,0,216,0,0,Unknown,0,Unknown,131,626,303,0,0,0,0,0,115,0,possession,SWE,GK,33.0,1990.0,5,405,81,11.8,4.5,4,90,4,1,45,26,0.8,4,13,-9,-2.0,-2.72,4.5,10.1,-5.6,-1.25,-1.52,playing_time,SWE,GK,33.0,1990.0,4.5,0,0,0,0,2,0,0,0,0,0,0,0,4,2,0,100.0,misc,SWE,GK,33.0,1990.0,5,4,405,4.5,13,2.89,34,20,61.8,1,0,3,0,0.0,1,0,1,0,100.0,keeper,SWE,GK,33.0,1990.0,4.5,13,0,1,0,0,11.1,0.3,-1.9,-0.43,15,48,31.3,176,19,20.5,27.1,27,44.4,35.9,46,6,13.0,1,0.22,8.4,keeper_adv
ENG-Premier League,2024-25,Aston Villa,Robin Olsen,SWE,GK,34.0,1990.0,4,1,226,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,SWE,GK,34.0,1990.0,2.5,0,0,0,Unknown,0.0,0.0,Unknown,Unknown,Unknown,0,0,0,0.0,0.0,Unknown,0.0,0.0,shooting,SWE,GK,34.0,1990.0,2.5,65,101,64.4,2083,1590,11,11,100.0,32,32,100.0,22,58,37.9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,passing,SWE,GK,34.0,1990.0,2.5,101.0,65,36,10,0,0,0,0,0,0,0,0,65,0,0,passing_types,SWE,GK,34.0,1990.0,2.5,2,0.8,0,2,0,0,0,0,1,0.4,0,1,0,0,0,0,goal_shot_creation,SWE,GK,34.0,1990.0,2.5,1,0,1,0,0,1,1,100.0,0,0,0,0,0.0,1.0,2.0,1.0,defense,SWE,GK,34.0,1990.0,2.5,110,94,109,1,0,0,110,0,0,Unknown,0,Unknown,50,270,132,0,0,0,0,0,46,0,possession,SWE,GK,34.0,1990.0,4,226,57,6.6,2.5,1,90,1,3,45,26,0.75,2,6,-4,-1.59,-1.9,2.5,5.5,-2.9,-1.17,-1.42,playing_time,SWE,GK,34.0,1990.0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Unknown,misc,SWE,GK,34.0,1990.0,4,1,226,2.5,6,2.39,14,8,64.3,1,0,0,1,100.0,1,1,0,0,0.0,keeper,SWE,GK,34.0,1990.0,2.5,6,1,0,0,0,6.3,0.4,0.3,0.12,19,54,35.2,75,1,42.7,35.9,26,84.6,60.0,40,3,7.5,0,0.0,8.6,keeper_adv
