league,season,team,player,nation,position,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_a,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg_xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g_a,per_90_minutes_g_pk,per_90_minutes_g_a_pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg_xag,per_90_minutes_npxg,per_90_minutes_npxg_xag,stat_type,nation_possession,position_possession,age_possession,born_possession,90s,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take_ons_att,take-ons_succ,take_ons_succ_pct,take_ons_tkld,take_ons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_mp_playing_time,playing_time_min_playing_time,playing_time_mn/mp,playing_time_min_pct,playing_time_90s_playing_time,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success__/_,team_success__/_90,team_success_on_off,team_success_xg_onxg,team_success_xg_onxga,team_success_xg_xg_/_,team_success_xg_xg_/_90,team_success_xg_on_off,stat_type_playing_time,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_mp_keeper,playing_time_starts_keeper,playing_time_min_keeper,playing_time_90s_keeper,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,stat_type_keeper,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,stat_type_defense,nation_passing,position_passing,age_passing,born_passing,90s_passing,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,xag,expected_xa,expected_a_xag,kp,1/3,ppa,crspa,prgp,stat_type_passing,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,stat_type_goal_shot_creation,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,stat_type_passing_types,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg/sot,expected_psxg_/_,expected_/90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_#opa,sweeper_#opa/90,sweeper_avgdist,stat_type_keeper_adv,nation_shooting,position_shooting,age_shooting,born_shooting,90s_shooting,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg_shooting,expected_npxg_shooting,expected_npxg/sh,expected_g_xg,expected_np:g_xg,stat_type_shooting,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_crdy_misc,performance_crdr_misc,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct,stat_type_misc
ITA-Serie A,2023-24,Atalanta,Ademola Lookman,NGA,"FW,MF",25.0,1997.0,31,22,1894,21.0,11,7,18,11,0,0,4,0,9.1,9.1,5.2,14.3,72,97,222,0.52,0.33,0.86,0.52,0.86,0.43,0.25,0.68,0.43,0.68,standard,NGA,"FW,MF",25.0,1997.0,21.0,1109,2,54,458,607,129,1109,87,39,44.8,37,42.5,699,4257,1972,72,42,35,66,42,866,222,possession,NGA,"FW,MF",25.0,1997.0,31,1894.0,61.0,55.4,21.0,22,73.0,4,9,32.0,1,1.61,33.0,26.0,7.0,0.33,-1.02,27.6,21.1,6.5,0.31,-0.29,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,NGA,"FW,MF",25.0,1997.0,21.0,20,15,2,11,7,8,22,36.4,14,19,0,19,9,29,0,1,defense,NGA,"FW,MF",25.0,1997.0,21.0,635,838,75.8,9115,2499,376,441,85.3,201,247,81.4,29,74,39.2,7,5.2,4.8,1.8,50,46,32,2,97,passing,NGA,"FW,MF",25.0,1997.0,21.0,101,4.81,65,10,16,4,4,2,14,0.67,9,1,2,1,1,0,goal_shot_creation,NGA,"FW,MF",25.0,1997.0,21.0,838,759,79,6,6,4,69,8,52,20,17,0,635,0,28,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,NGA,"FW,MF",25.0,1997.0,21.0,11,67,24,35.8,3.18,1.14,0.16,0.46,14.3,0,0,0,9.1,9.1,0.14,1.9,1.9,shooting,NGA,"FW,MF",25.0,1997.0,21.0,4.0,0.0,0.0,28.0,34.0,12.0,69.0,9.0,15.0,1.0,0.0,0.0,89.0,18.0,21.0,46.2,misc
ITA-Serie A,2024-25,Atalanta,Ademola Lookman,NGA,"MF,FW",26.0,1997.0,31,28,2247,25.0,15,5,20,14,1,1,4,0,10.3,9.5,7.1,16.7,142,73,316,0.6,0.2,0.8,0.56,0.76,0.41,0.29,0.7,0.38,0.67,standard,NGA,"MF,FW",26.0,1997.0,25.0,1274,1,68,400,824,199,1273,104,37,35.6,64,61.5,827,5454,3170,142,70,81,72,51,974,316,possession,NGA,"MF,FW",26.0,1997.0,31,2247.0,72.0,65.7,25.0,28,76.0,7,3,42.0,2,2.03,50.0,23.0,27.0,1.08,0.01,42.8,22.4,20.4,0.82,0.36,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,NGA,"MF,FW",26.0,1997.0,25.0,32,15,9,15,8,11,19,57.9,8,19,0,19,3,35,5,1,defense,NGA,"MF,FW",26.0,1997.0,25.0,684,944,72.5,9662,2659,436,502,86.9,178,256,69.5,42,96,43.8,5,7.1,7.9,-2.1,61,29,43,13,73,passing,NGA,"MF,FW",26.0,1997.0,25.0,135,5.41,75,25,17,15,2,1,15,0.6,10,0,3,1,1,0,goal_shot_creation,NGA,"MF,FW",26.0,1997.0,25.0,944,842,97,4,3,1,124,9,84,39,23,1,684,5,35,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,NGA,"MF,FW",26.0,1997.0,25.0,15,81,32,39.5,3.24,1.28,0.17,0.44,14.7,0,1,1,10.3,9.5,0.12,4.7,4.5,shooting,NGA,"MF,FW",26.0,1997.0,25.0,4.0,0.0,0.0,31.0,20.0,26.0,124.0,3.0,15.0,0.0,0.0,0.0,69.0,17.0,13.0,56.7,misc
ITA-Serie A,2024-25,Atalanta,Alberto Manzoni,ITA,MF,19.0,2005.0,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94,standard,ITA,MF,19.0,2005.0,0.1,14,0,3,10,1,0,14,0,0,0.0,0,0.0,8,25,12,0,0,0,0,0,13,0,possession,ITA,MF,19.0,2005.0,1,6.0,6.0,0.2,0.1,0,0.0,0,1,6.0,2,0.0,0.0,0.0,0.0,0.0,-1.08,1.0,0.2,0.8,12.21,11.53,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ITA,MF,19.0,2005.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,ITA,MF,19.0,2005.0,0.1,11,12,91.7,196,29,5,6,83.3,6,6,100.0,0,0,0.0,0,0.0,0.0,0.0,0,4,0,0,0,passing,ITA,MF,19.0,2005.0,0.1,1,15.0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ITA,MF,19.0,2005.0,0.1,12,12,0,0,0,0,0,0,0,0,0,0,11,0,0,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ITA,MF,19.0,2005.0,0.1,0,1,0,0.0,15.0,0.0,0.0,0.0,23.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,shooting,ITA,MF,19.0,2005.0,0.1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,misc
ITA-Serie A,2023-24,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",27.0,1995.0,27,12,1176,13.1,3,5,8,3,0,0,1,0,5.4,5.4,4.1,9.5,41,75,122,0.23,0.38,0.61,0.23,0.61,0.41,0.31,0.72,0.41,0.72,standard,RUS,"MF,FW",27.0,1995.0,13.1,785,4,62,323,407,52,785,49,17,34.7,27,55.1,490,2993,1421,41,35,10,37,15,601,122,possession,RUS,"MF,FW",27.0,1995.0,27,1176.0,44.0,34.4,13.1,12,76.0,4,15,18.0,8,1.96,24.0,10.0,14.0,1.07,0.43,23.5,16.1,7.4,0.57,0.2,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,RUS,"MF,FW",27.0,1995.0,13.1,12,6,6,4,2,5,13,38.5,8,6,1,5,2,14,5,1,defense,RUS,"MF,FW",27.0,1995.0,13.1,454,622,73.0,7677,2316,212,250,84.8,179,216,82.9,44,106,41.5,5,4.1,4.5,0.9,45,41,29,9,75,passing,RUS,"MF,FW",27.0,1995.0,13.1,81,6.19,56,16,2,4,3,0,10,0.76,6,2,0,2,0,0,goal_shot_creation,RUS,"MF,FW",27.0,1995.0,13.1,622,553,68,11,2,5,83,2,52,31,16,0,454,1,22,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,RUS,"MF,FW",27.0,1995.0,13.1,3,37,21,56.8,2.83,1.61,0.08,0.14,16.4,0,0,0,5.4,5.4,0.15,-2.4,-2.4,shooting,RUS,"MF,FW",27.0,1995.0,13.1,1.0,0.0,0.0,12.0,31.0,3.0,83.0,2.0,6.0,0.0,0.0,0.0,69.0,7.0,11.0,38.9,misc
ITA-Serie A,2024-25,Atalanta,Ben Godfrey,ENG,DF,26.0,1998.0,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ENG,DF,26.0,1998.0,0.3,12,0,2,9,1,1,12,0,0,0.0,0,0.0,6,11,2,0,0,0,1,0,8,1,possession,ENG,DF,26.0,1998.0,1,23.0,23.0,0.7,0.3,0,0.0,0,1,23.0,14,3.0,0.0,0.0,0.0,0.0,-1.09,0.2,0.6,-0.4,-1.6,-2.31,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,DF,26.0,1998.0,0.3,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,defense,ENG,DF,26.0,1998.0,0.3,8,10,80.0,122,16,5,5,100.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,1,passing,ENG,DF,26.0,1998.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ENG,DF,26.0,1998.0,0.3,10,8,2,1,0,0,0,1,0,0,0,0,8,0,1,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ENG,DF,26.0,1998.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,ENG,DF,26.0,1998.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,misc
ITA-Serie A,2025-26,Atalanta,Berat Djimsiti,ALB,DF,32-193,1993.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,4,4,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,standard,ALB,DF,32-193,1993.0,2.0,148,16,60,80,10,3,148,1,1,100.0,0,0.0,85,336,218,3,1,0,1,0,92,4,possession,ALB,DF,32-193,1993.0,2,180.0,90.0,100.0,2.0,2,90.0,2,0,0.0,0,1.0,2.0,2.0,0.0,0.0,0.0,2.6,1.3,1.3,0.65,0.0,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ALB,DF,32-193,1993.0,2.0,2,2,1,1,0,0,2,0.0,2,2,2,0,1,3,16,0,defense,ALB,DF,32-193,1993.0,2.0,103,122,84.4,1623,538,55,59,93.2,33,40,82.5,10,15,66.7,0,0.0,0.1,0.0,0,4,0,0,4,passing,ALB,DF,32-193,1993.0,2.0,3,1.5,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ALB,DF,32-193,1993.0,2.0,122,111,11,3,0,0,0,3,0,0,0,0,103,0,1,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ALB,DF,32-193,1993.0,2.0,0,1,0,0.0,0.5,0.0,0.0,0.0,9.6,0,0,0,0.4,0.4,0.42,-0.4,-0.4,shooting,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
ITA-Serie A,2023-24,Atalanta,Berat Djimsiti,ALB,DF,30.0,1993.0,37,32,2832,31.5,0,1,1,0,0,0,5,0,0.8,0.8,0.7,1.5,6,79,10,0.0,0.03,0.03,0.0,0.03,0.03,0.02,0.05,0.03,0.05,standard,ALB,DF,30.0,1993.0,31.5,1962,217,1054,823,96,26,1962,2,1,50.0,1,50.0,953,4836,2044,6,10,0,7,3,1167,10,possession,ALB,DF,30.0,1993.0,37,2832.0,77.0,82.8,31.5,32,85.0,28,5,21.0,1,1.86,60.0,32.0,28.0,0.89,0.58,48.4,33.3,15.1,0.48,0.24,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ALB,DF,30.0,1993.0,31.5,42,24,29,12,1,19,31,61.3,12,53,33,20,57,99,100,0,defense,ALB,DF,30.0,1993.0,31.5,1454,1661,87.5,27563,8404,488,555,87.9,808,870,92.9,136,187,72.7,1,0.7,0.5,0.3,7,40,5,1,79,passing,ALB,DF,30.0,1993.0,31.5,18,0.57,16,0,0,1,1,0,1,0.03,1,0,0,0,0,0,goal_shot_creation,ALB,DF,30.0,1993.0,31.5,1661,1584,75,58,1,6,6,17,0,0,0,0,1454,2,11,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ALB,DF,30.0,1993.0,31.5,0,13,0,0.0,0.41,0.0,0.0,0.0,10.6,0,0,0,0.8,0.8,0.06,-0.8,-0.8,shooting,ALB,DF,30.0,1993.0,31.5,5.0,0.0,0.0,17.0,11.0,0.0,6.0,57.0,24.0,0.0,1.0,0.0,171.0,92.0,55.0,62.6,misc
ITA-Serie A,2024-25,Atalanta,Berat Djimsiti,ALB,DF,31.0,1993.0,34,32,2640,29.3,1,2,3,1,0,0,6,0,2.7,2.7,1.3,3.9,32,109,42,0.03,0.07,0.1,0.03,0.1,0.09,0.04,0.13,0.09,0.13,standard,ALB,DF,31.0,1993.0,29.3,2023,143,844,961,224,45,2023,4,1,25.0,1,25.0,1097,6008,3235,32,34,2,10,1,1323,42,possession,ALB,DF,31.0,1993.0,34,2640.0,78.0,77.2,29.3,32,81.0,23,2,27.0,1,1.88,59.0,31.0,28.0,0.95,-0.55,50.4,29.9,20.5,0.7,0.02,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ALB,DF,31.0,1993.0,29.3,53,33,29,23,1,29,40,72.5,11,34,21,13,40,93,141,2,defense,ALB,DF,31.0,1993.0,29.3,1483,1691,87.7,26133,7354,587,638,92.0,757,829,91.3,108,157,68.8,2,1.3,0.7,0.7,11,84,12,3,109,passing,ALB,DF,31.0,1993.0,29.3,30,1.02,23,0,0,7,0,0,7,0.24,5,0,0,2,0,0,goal_shot_creation,ALB,DF,31.0,1993.0,29.3,1691,1614,75,60,1,6,11,15,0,0,0,0,1483,2,15,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ALB,DF,31.0,1993.0,29.3,1,20,4,20.0,0.68,0.14,0.05,0.25,9.7,0,0,0,2.7,2.7,0.13,-1.7,-1.7,shooting,ALB,DF,31.0,1993.0,29.3,6.0,0.0,0.0,23.0,21.0,0.0,11.0,40.0,33.0,0.0,1.0,1.0,102.0,90.0,58.0,60.8,misc
ITA-Serie A,2025-26,Atalanta,Charles De Ketelaere,BEL,MF,24-174,2001.0,2,2,173,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,12,20,17,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.14,0.08,0.14,standard,BEL,MF,24-174,2001.0,1.9,99,0,7,49,46,8,99,5,2,40.0,1,20.0,71,486,305,12,9,3,3,3,80,17,possession,BEL,MF,24-174,2001.0,2,173.0,87.0,96.1,1.9,2,87.0,1,0,0.0,0,1.0,2.0,2.0,0.0,0.0,0.0,2.6,1.3,1.3,0.7,1.23,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,BEL,MF,24-174,2001.0,1.9,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,0,0,defense,BEL,MF,24-174,2001.0,1.9,68,88,77.3,998,471,39,46,84.8,23,29,79.3,4,7,57.1,0,0.1,0.7,-0.1,3,10,10,0,20,passing,BEL,MF,24-174,2001.0,1.9,10,5.2,7,0,1,2,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,BEL,MF,24-174,2001.0,1.9,88,86,2,0,1,0,3,2,0,0,0,0,68,0,3,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,BEL,MF,24-174,2001.0,1.9,0,4,0,0.0,2.08,0.0,0.0,0.0,15.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,shooting,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
ITA-Serie A,2023-24,Atalanta,Charles De Ketelaere,BEL,"FW,MF",22.0,2001.0,35,25,2026,22.5,10,8,18,9,1,1,1,0,7.1,6.3,6.1,12.4,88,126,219,0.44,0.36,0.8,0.4,0.76,0.31,0.27,0.59,0.28,0.55,standard,BEL,"FW,MF",22.0,2001.0,22.5,1098,10,60,442,612,133,1097,88,40,45.5,35,39.8,669,4241,2121,88,51,41,83,54,835,219,possession,BEL,"FW,MF",22.0,2001.0,35,2026.0,58.0,59.2,22.5,25,68.0,1,10,33.0,1,1.77,48.0,27.0,21.0,0.93,0.35,36.0,23.9,12.2,0.54,0.25,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,BEL,"FW,MF",22.0,2001.0,22.5,33,21,3,12,18,10,20,50.0,10,30,2,28,7,40,6,0,defense,BEL,"FW,MF",22.0,2001.0,22.5,565,782,72.3,8690,2346,302,384,78.6,211,273,77.3,31,58,53.4,8,6.1,4.1,1.9,49,44,42,7,126,passing,BEL,"FW,MF",22.0,2001.0,22.5,93,4.13,70,2,8,2,8,3,10,0.44,10,0,0,0,0,0,goal_shot_creation,BEL,"FW,MF",22.0,2001.0,22.5,782,746,35,7,6,2,47,8,2,0,2,0,565,1,25,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,BEL,"FW,MF",22.0,2001.0,22.5,10,44,24,54.5,1.95,1.07,0.2,0.38,14.2,0,1,1,7.1,6.3,0.14,2.9,2.7,shooting,BEL,"FW,MF",22.0,2001.0,22.5,1.0,0.0,0.0,17.0,47.0,6.0,47.0,7.0,21.0,0.0,0.0,1.0,93.0,38.0,35.0,52.1,misc
