league,season,team,player,nation,position,age,born,playing_time,playing_time_1,playing_time_2,playing_time_3,performance,performance_1,performance_2,performance_3,performance_4,performance_5,performance_6,performance_7,expected,expected_1,expected_2,expected_3,progression,progression_1,progression_2,per_90_minutes,per_90_minutes_1,per_90_minutes_2,per_90_minutes_3,per_90_minutes_4,per_90_minutes_5,per_90_minutes_6,per_90_minutes_7,per_90_minutes_8,per_90_minutes_9,stat_type,nation_shooting,position_shooting,age_shooting,born_shooting,90s,standard,standard_1,standard_2,standard_3,standard_4,standard_5,standard_6,standard_7,standard_8,standard_9,standard_10,standard_11,expected_shooting,expected_1_shooting,expected_2_shooting,expected_3_shooting,expected_4,stat_type_shooting,nation_passing,position_passing,age_passing,born_passing,90s_passing,total,total_1,total_2,total_3,total_4,short,short_1,short_2,medium,medium_1,medium_2,long,long_1,long_2,assists,xag,expected_passing,expected_1_passing,kp,1/3,ppa,crspa,progressive_passes,stat_type_passing,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,passes_attempted,pass_types,pass_types_1,pass_types_2,pass_types_3,pass_types_4,pass_types_5,pass_types_6,pass_types_7,corner_kicks,corner_kicks_1,corner_kicks_2,outcomes,outcomes_1,outcomes_2,stat_type_passing_types,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca,sca_1,sca_types,sca_types_1,sca_types_2,sca_types_3,sca_types_4,sca_types_5,gca,gca_1,gca_types,gca_types_1,gca_types_2,gca_types_3,gca_types_4,gca_types_5,stat_type_goal_shot_creation,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles,tackles_1,tackles_2,tackles_3,tackles_4,challenges,challenges_1,challenges_2,challenges_3,blocks,blocks_1,blocks_2,interceptions,tkl+int,clearances,err,stat_type_defense,nation_possession,position_possession,age_possession,born_possession,90s_possession,touches,touches_1,touches_2,touches_3,touches_4,touches_5,touches_6,take-ons,take-ons_1,take-ons_2,take-ons_3,take-ons_4,carries,carries_1,carries_2,carries_3,carries_4,carries_5,carries_6,carries_7,receiving,receiving_1,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_playing_time,playing_time_1_playing_time,playing_time_2_playing_time,playing_time_3_playing_time,playing_time_4,starts,starts_1,starts_2,subs,subs_1,subs_2,team_success,team_success_1,team_success_2,team_success_3,team_success_4,team_success_5,team_success_(xg),team_success_(xg)_1,team_success_(xg)_2,team_success_(xg)_3,team_success_(xg)_4,stat_type_playing_time,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_misc,performance_1_misc,performance_2_misc,performance_3_misc,performance_4_misc,performance_5_misc,performance_6_misc,performance_7_misc,performance_8,performance_9,performance_10,performance_11,performance_12,aerial_duels,aerial_duels_1,aerial_duels_2,stat_type_misc,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_keeper,playing_time_1_keeper,playing_time_2_keeper,playing_time_3_keeper,performance_keeper,performance_1_keeper,performance_2_keeper,performance_3_keeper,performance_4_keeper,performance_5_keeper,performance_6_keeper,performance_7_keeper,performance_8_keeper,performance_9_keeper,penalty_kicks,penalty_kicks_1,penalty_kicks_2,penalty_kicks_3,penalty_kicks_4,stat_type_keeper,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals,goals_1,goals_2,goals_3,goals_4,expected_keeper_adv,expected_1_keeper_adv,expected_2_keeper_adv,expected_3_keeper_adv,launched,launched_1,launched_2,passes,passes_1,passes_2,passes_3,goal_kicks,goal_kicks_1,goal_kicks_2,crosses,crosses_1,crosses_2,sweeper,sweeper_1,sweeper_2,stat_type_keeper_adv
ENG-Premier League,2023-24,Arsenal,Fabio Vieira,POR,"MF,FW",23.0,2000.0,11,2,297,3.3,1,2,3,0,1,1,0,1,1.3,0.5,1.6,2.1,12,15,30,0.3,0.61,0.91,0.0,0.61,0.38,0.49,0.87,0.14,0.64,standard,POR,"MF,FW",23.0,2000.0,3.3,1,6,1,16.7,1.82,0.3,0.0,0.0,18.0,0,1,1,1.3,0.5,0.08,-0.3,-0.5,shooting,POR,"MF,FW",23.0,2000.0,3.3,122,150,81.3,1969,421,67,75,89.3,44,53,83.0,9,17,52.9,2.0,1.6,0.8,0.4,5.0,12.0,6.0,1.0,15.0,passing,POR,"MF,FW",23.0,2000.0,3.3,150.0,137,12,3,3,2,15,0,8,3,0,0,122,1,1,passing_types,POR,"MF,FW",23.0,2000.0,3.3,12,3.64,7,1,0,1,3,0,5,1.52,1,1,0,0,3,0,goal_shot_creation,POR,"MF,FW",23.0,2000.0,3.3,3,2,2,0,1,3,3,100.0,0,0,0,0,2.0,5.0,2.0,0.0,defense,POR,"MF,FW",23.0,2000.0,3.3,184,2,14,76,97,20,183,9,2,22.2,6,66.7,111,561,298,12,3,6,7,5,141,30,possession,POR,"MF,FW",23.0,2000.0,11,297,27,8.7,3.3,2,62,0,9,19,13,2.36,11,2,9,2.73,1.2,8.2,1.8,6.4,1.94,0.74,playing_time,POR,"MF,FW",23.0,2000.0,3.3,0,1,0,8,10,2,15,2,2,2,0,0,16,1,0,100.0,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2023-24,Arsenal,Kai Havertz,GER,"MF,FW",24.0,1999.0,37,30,2634,29.3,13,7,20,12,1,1,11,0,12.3,11.6,4.4,15.9,55,99,191,0.44,0.24,0.68,0.41,0.65,0.42,0.15,0.57,0.39,0.54,standard,GER,"MF,FW",24.0,1999.0,29.3,13,68,27,39.7,2.32,0.92,0.18,0.44,12.4,0,1,1,12.3,11.6,0.17,0.7,0.4,shooting,GER,"MF,FW",24.0,1999.0,29.3,764,955,80.0,9583,2405,525,609,86.2,195,245,79.6,7,15,46.7,7.0,4.4,4.3,2.6,46.0,65.0,29.0,1.0,99.0,passing,GER,"MF,FW",24.0,1999.0,29.3,955.0,938,12,3,2,0,12,6,0,0,0,0,764,5,16,passing_types,GER,"MF,FW",24.0,1999.0,29.3,106,3.62,87,0,3,8,6,2,22,0.75,16,0,2,2,2,0,goal_shot_creation,GER,"MF,FW",24.0,1999.0,29.3,35,15,7,21,7,14,39,35.9,25,26,1,25,20.0,55.0,22.0,0.0,defense,GER,"MF,FW",24.0,1999.0,29.3,1282,29,143,541,611,184,1281,42,16,38.1,19,45.2,686,3077,1532,55,36,23,54,35,918,191,possession,GER,"MF,FW",24.0,1999.0,37,2634,71,77.0,29.3,30,83,18,7,19,0,2.41,77,22,55,1.88,1.08,60.7,20.6,40.1,1.37,0.44,playing_time,GER,"MF,FW",24.0,1999.0,29.3,11,0,0,49,44,15,12,20,15,1,0,0,122,102,101,50.2,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2024-25,Arsenal,Mikel Merino,ESP,"MF,FW",28.0,1996.0,28,17,1586,17.6,7,2,9,7,0,0,4,1,5.9,5.9,2.0,7.9,11,69,94,0.4,0.11,0.51,0.4,0.51,0.34,0.11,0.45,0.34,0.45,standard,ESP,"MF,FW",28.0,1996.0,17.6,7,38,13,34.2,2.16,0.74,0.18,0.54,10.7,0,0,0,5.9,5.9,0.16,1.1,1.1,shooting,ESP,"MF,FW",28.0,1996.0,17.6,451,577,78.2,6182,1776,285,328,86.9,128,165,77.6,17,31,54.8,2.0,2.0,1.2,0.0,17.0,40.0,24.0,4.0,69.0,passing,ESP,"MF,FW",28.0,1996.0,17.6,577.0,567,5,4,5,1,13,1,0,0,0,0,451,5,12,passing_types,ESP,"MF,FW",28.0,1996.0,17.6,43,2.44,35,0,0,6,2,0,4,0.23,3,0,0,1,0,0,goal_shot_creation,ESP,"MF,FW",28.0,1996.0,17.6,46,28,7,26,13,20,36,55.6,16,18,5,13,15.0,61.0,26.0,2.0,defense,ESP,"MF,FW",28.0,1996.0,17.6,783,37,140,330,323,79,783,23,9,39.1,10,43.5,388,1518,747,11,13,4,24,27,504,94,possession,ESP,"MF,FW",28.0,1996.0,28,1586,57,46.4,17.6,17,83,11,11,16,0,1.79,28,17,11,0.62,-0.55,28.9,15.5,13.4,0.76,0.17,playing_time,ESP,"MF,FW",28.0,1996.0,17.6,4,1,1,41,23,7,13,15,28,0,0,0,86,59,55,51.8,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2024-25,Aston Villa,Emi Buendía,ARG,"MF,FW",27.0,1996.0,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,3,7,6,0.0,0.0,0.0,0.0,0.0,0.6,0.02,0.62,0.6,0.62,standard,ARG,"MF,FW",27.0,1996.0,1.1,0,5,0,0.0,4.59,0.0,0.0,Unknown,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7,shooting,ARG,"MF,FW",27.0,1996.0,1.1,49,60,81.7,624,166,33,36,91.7,12,14,85.7,1,5,20.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,7.0,passing,ARG,"MF,FW",27.0,1996.0,1.1,60.0,59,1,1,1,0,0,0,0,0,0,0,49,0,0,passing_types,ARG,"MF,FW",27.0,1996.0,1.1,3,2.76,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ARG,"MF,FW",27.0,1996.0,1.1,6,6,3,2,1,0,5,0.0,5,5,1,4,0.0,6.0,2.0,0.0,defense,ARG,"MF,FW",27.0,1996.0,1.1,82,0,17,35,31,3,82,2,0,0.0,2,100.0,53,185,119,3,5,0,4,3,64,6,possession,ARG,"MF,FW",27.0,1996.0,12,98,8,2.9,1.1,0,Unknown,0,12,8,11,2.0,1,2,-1,-0.92,-1.14,1.9,2.0,-0.1,-0.08,-0.24,playing_time,ARG,"MF,FW",27.0,1996.0,1.1,1,0,0,4,6,0,0,0,6,0,0,0,8,0,2,0.0,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2023-24,Aston Villa,John McGinn,SCO,"MF,FW",28.0,1994.0,35,35,2999,33.3,6,4,10,6,0,0,9,1,5.0,5.0,4.6,9.6,59,189,84,0.18,0.12,0.3,0.18,0.3,0.15,0.14,0.29,0.15,0.29,standard,SCO,"MF,FW",28.0,1994.0,33.3,6,40,14,35.0,1.2,0.42,0.15,0.43,19.5,3,0,0,5.0,5.0,0.12,1.0,1.0,shooting,SCO,"MF,FW",28.0,1994.0,33.3,972,1223,79.5,17953,5844,434,489,88.8,396,462,85.7,130,217,59.9,4.0,4.6,4.9,-0.6,44.0,124.0,52.0,14.0,189.0,passing,SCO,"MF,FW",28.0,1994.0,33.3,1223.0,1137,82,31,15,8,74,3,37,28,0,0,972,4,25,passing_types,SCO,"MF,FW",28.0,1994.0,33.3,106,3.18,88,9,6,2,1,0,14,0.42,11,1,2,0,0,0,goal_shot_creation,SCO,"MF,FW",28.0,1994.0,33.3,59,35,18,34,7,32,77,41.6,45,33,4,29,21.0,80.0,21.0,0.0,defense,SCO,"MF,FW",28.0,1994.0,33.3,1545,44,257,809,499,58,1545,96,54,56.3,27,28.1,992,5176,2385,59,45,10,55,61,1096,84,possession,SCO,"MF,FW",28.0,1994.0,35,2999,86,87.7,33.3,35,86,24,0,Unknown,0,1.83,68,52,16,0.48,0.69,56.6,48.6,8.0,0.24,1.22,playing_time,SCO,"MF,FW",28.0,1994.0,33.3,9,1,0,39,69,2,74,21,35,0,0,0,161,9,19,32.1,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2024-25,Aston Villa,John McGinn,SCO,"MF,FW",29.0,1994.0,34,27,2223,24.7,1,4,5,1,0,0,7,0,3.1,2.8,3.5,6.3,32,103,87,0.04,0.16,0.2,0.04,0.2,0.13,0.14,0.27,0.11,0.26,standard,SCO,"MF,FW",29.0,1994.0,24.7,1,31,5,16.1,1.26,0.2,0.03,0.2,17.0,1,0,0,3.1,2.8,0.09,-2.1,-1.8,shooting,SCO,"MF,FW",29.0,1994.0,24.7,699,854,81.9,11807,3243,336,367,91.6,285,332,85.8,64,111,57.7,4.0,3.5,2.7,0.5,31.0,70.0,29.0,8.0,103.0,passing,SCO,"MF,FW",29.0,1994.0,24.7,854.0,792,61,27,9,2,60,4,22,11,5,0,699,1,17,passing_types,SCO,"MF,FW",29.0,1994.0,24.7,76,3.08,56,9,1,4,5,1,8,0.32,6,2,0,0,0,0,goal_shot_creation,SCO,"MF,FW",29.0,1994.0,24.7,33,24,10,14,9,13,31,41.9,18,22,2,20,14.0,47.0,18.0,3.0,defense,SCO,"MF,FW",29.0,1994.0,24.7,1072,31,164,558,361,58,1072,47,20,42.6,13,27.7,581,2930,1270,32,17,7,37,29,744,87,possession,SCO,"MF,FW",29.0,1994.0,34,2223,65,65.0,24.7,27,77,11,7,21,0,1.76,33,34,-1,-0.04,-0.64,35.8,34.8,1.0,0.04,-0.33,playing_time,SCO,"MF,FW",29.0,1994.0,24.7,7,0,0,43,69,3,60,14,24,1,0,0,100,17,12,58.6,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2023-24,Aston Villa,Leon Bailey,JAM,"MF,FW",25.0,1997.0,35,22,2068,23.0,10,9,19,10,0,0,5,0,6.3,6.3,9.2,15.5,102,82,226,0.44,0.39,0.83,0.44,0.83,0.27,0.4,0.67,0.27,0.67,standard,JAM,"MF,FW",25.0,1997.0,23.0,10,53,18,34.0,2.31,0.78,0.19,0.56,16.1,1,0,0,6.3,6.3,0.12,3.7,3.7,shooting,JAM,"MF,FW",25.0,1997.0,23.0,573,790,72.5,8993,2559,327,391,83.6,184,242,76.0,48,82,58.5,9.0,9.2,7.3,-0.2,52.0,38.0,51.0,7.0,82.0,passing,JAM,"MF,FW",25.0,1997.0,23.0,790.0,745,40,2,11,7,75,9,29,20,0,0,573,5,38,passing_types,JAM,"MF,FW",25.0,1997.0,23.0,97,4.22,70,7,9,7,3,1,11,0.48,7,1,1,2,0,0,goal_shot_creation,JAM,"MF,FW",25.0,1997.0,23.0,13,7,7,4,2,5,20,25.0,15,18,1,17,9.0,22.0,6.0,0.0,defense,JAM,"MF,FW",25.0,1997.0,23.0,1040,19,151,318,589,129,1040,119,57,47.9,50,42.0,717,5148,2495,102,47,41,51,41,764,226,possession,JAM,"MF,FW",25.0,1997.0,35,2068,59,60.5,23.0,22,76,3,13,31,1,1.77,53,32,21,0.91,1.31,43.0,35.8,7.2,0.31,0.56,playing_time,JAM,"MF,FW",25.0,1997.0,23.0,5,0,0,26,26,11,75,9,7,0,0,0,107,14,24,36.8,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2023-24,Aston Villa,Morgan Rogers,ENG,"MF,FW",21.0,2002.0,11,8,638,7.1,3,1,4,3,0,0,3,0,1.4,1.4,0.6,2.0,22,28,30,0.42,0.14,0.56,0.42,0.56,0.19,0.09,0.28,0.19,0.28,standard,ENG,"MF,FW",21.0,2002.0,7.1,3,11,5,45.5,1.55,0.71,0.27,0.6,14.8,0,0,0,1.4,1.4,0.12,1.6,1.6,shooting,ENG,"MF,FW",21.0,2002.0,7.1,147,195,75.4,2253,847,77,99,77.8,50,60,83.3,12,14,85.7,1.0,0.6,0.4,0.4,9.0,16.0,12.0,0.0,28.0,passing,ENG,"MF,FW",21.0,2002.0,7.1,195.0,182,10,0,2,2,2,2,0,0,0,0,147,3,7,passing_types,ENG,"MF,FW",21.0,2002.0,7.1,23,3.25,18,0,3,0,2,0,4,0.57,2,0,1,0,1,0,goal_shot_creation,ENG,"MF,FW",21.0,2002.0,7.1,8,1,3,2,3,2,11,18.2,9,11,0,11,3.0,11.0,11.0,0.0,defense,ENG,"MF,FW",21.0,2002.0,7.1,289,10,66,131,98,23,289,33,17,51.5,12,36.4,150,1084,563,22,11,6,17,11,185,30,possession,ENG,"MF,FW",21.0,2002.0,11,638,58,18.7,7.1,8,72,4,3,20,3,1.91,12,13,-1,-0.14,-0.66,8.0,14.3,-6.3,-0.89,-1.2,playing_time,ENG,"MF,FW",21.0,2002.0,7.1,3,0,0,12,9,0,2,3,1,0,0,0,31,7,8,46.7,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2023-24,Aston Villa,Philippe Coutinho,BRA,"MF,FW",31.0,1992.0,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,5,2,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.52,0.52,0.52,standard,BRA,"MF,FW",31.0,1992.0,0.3,0,3,1,33.3,10.8,3.6,0.0,0.0,24.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting,BRA,"MF,FW",31.0,1992.0,0.3,20,24,83.3,265,63,11,14,78.6,8,9,88.9,0,0,Unknown,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,passing,BRA,"MF,FW",31.0,1992.0,0.3,24.0,23,1,0,0,0,0,0,0,0,0,0,20,0,0,passing_types,BRA,"MF,FW",31.0,1992.0,0.3,2,7.2,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,BRA,"MF,FW",31.0,1992.0,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0.0,0.0,0.0,0.0,defense,BRA,"MF,FW",31.0,1992.0,0.3,30,0,4,18,9,1,30,5,4,80.0,1,20.0,26,222,134,5,4,0,2,0,29,2,possession,BRA,"MF,FW",31.0,1992.0,2,25,13,0.7,0.3,0,Unknown,0,2,13,0,1.5,1,1,0,0.0,-0.4,0.9,0.6,0.3,1.16,1.08,playing_time,BRA,"MF,FW",31.0,1992.0,0.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Unknown,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ENG-Premier League,2023-24,Aston Villa,Youri Tielemans,BEL,"MF,FW",26.0,1997.0,32,17,1622,18.0,2,6,8,2,0,0,3,0,1.3,1.3,2.6,3.9,23,128,46,0.11,0.33,0.44,0.11,0.44,0.07,0.14,0.21,0.07,0.21,standard,BEL,"MF,FW",26.0,1997.0,18.0,2,14,5,35.7,0.78,0.28,0.14,0.4,20.0,0,0,0,1.3,1.3,0.09,0.7,0.7,shooting,BEL,"MF,FW",26.0,1997.0,18.0,789,949,83.1,12925,4025,397,434,91.5,315,368,85.6,58,92,63.0,6.0,2.6,2.2,3.4,18.0,101.0,25.0,1.0,128.0,passing,BEL,"MF,FW",26.0,1997.0,18.0,949.0,891,54,14,17,3,31,7,18,12,3,0,789,4,21,passing_types,BEL,"MF,FW",26.0,1997.0,18.0,49,2.72,40,1,1,3,2,2,16,0.89,14,0,0,1,0,1,goal_shot_creation,BEL,"MF,FW",26.0,1997.0,18.0,41,20,17,18,6,16,40,40.0,24,23,3,20,15.0,56.0,9.0,0.0,defense,BEL,"MF,FW",26.0,1997.0,18.0,1096,45,215,589,299,27,1096,29,15,51.7,10,34.5,635,2872,1361,23,27,7,17,22,766,46,possession,BEL,"MF,FW",26.0,1997.0,32,1622,51,47.4,18.0,17,77,6,15,21,0,1.91,40,27,13,0.72,0.62,33.5,30.5,3.0,0.17,0.15,playing_time,BEL,"MF,FW",26.0,1997.0,18.0,3,0,0,22,29,0,31,15,20,0,0,0,97,13,9,59.1,misc,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
