league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
ENG-Premier League,2025-26,Arsenal,Ben White,ENG,DF,27-327,1997,0.8,2,1,2,0,0,0,1,0.0,1,2,1,1,1,3,4,0
ENG-Premier League,2025-26,Arsenal,Bukayo Saka,ENG,FW,23-360,2001,1.6,3,2,1,2,0,1,2,50.0,1,1,0,1,0,3,0,0
ENG-Premier League,2025-26,Arsenal,Cristhian Mosquera,ESP,DF,21-065,2004,0.3,2,2,1,1,0,0,0,,0,1,0,1,0,2,0,0
ENG-Premier League,2025-26,Arsenal,David Raya,ESP,GK,29-350,1995,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2025-26,Arsenal,Declan Rice,ENG,MF,26-229,1999,1.9,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0
ENG-Premier League,2025-26,Arsenal,Ethan Nwaneri,ENG,MF,18-163,2007,0.6,0,0,0,0,0,0,0,,0,3,0,3,0,0,0,0
ENG-Premier League,2025-26,Arsenal,Gabriel Magalhães,BRA,DF,27-255,1997,2.0,1,1,1,0,0,0,1,0.0,1,6,4,2,1,2,4,0
ENG-Premier League,2025-26,Arsenal,Gabriel Martinelli,BRA,FW,24-074,2001,0.7,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
ENG-Premier League,2025-26,Arsenal,Jurriën Timber,NED,DF,24-075,2001,0.9,6,2,3,1,2,4,4,100.0,0,0,0,0,2,8,1,0
ENG-Premier League,2025-26,Arsenal,Kai Havertz,GER,FW,26-081,1999,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
ENG-Premier League,2025-26,Arsenal,Leandro Trossard,BEL,FW,30-270,1994,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
ENG-Premier League,2025-26,Arsenal,Martin Ødegaard,NOR,MF,26-257,1998,1.4,2,1,1,0,1,0,0,,0,0,0,0,1,3,5,0
ENG-Premier League,2025-26,Arsenal,Martín Zubimendi,ESP,MF,26-210,1999,2.0,5,3,2,3,0,3,4,75.0,1,7,1,6,2,7,2,0
ENG-Premier League,2025-26,Arsenal,Max Dowman,ENG,FW,15-243,2009,0.3,2,2,1,1,0,1,1,100.0,0,1,0,1,0,2,0,0
ENG-Premier League,2025-26,Arsenal,Mikel Merino,ESP,MF,29-070,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
