league,season,team,player,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
ENG-Premier League,2023-24,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6.0,5,0,0,1,0,3.7,0.26,-1.3,-0.22,19,69,27.5,169,30,34.9,33.3,19,52.6,41.4,46,8,17.4,9,1.5,14.6
ENG-Premier League,2023-24,Arsenal,David Raya,ESP,GK,27,1995,32.0,24,2,1,5,1,20.4,0.26,-2.6,-0.08,138,372,37.1,969,159,32.2,30.7,96,62.5,47.5,329,40,12.2,50,1.56,17.9
ENG-Premier League,2023-24,Aston Villa,Emiliano Martínez,ARG,GK,30,1992,33.5,48,1,0,10,4,50.6,0.37,6.6,0.2,121,332,36.4,1270,157,21.0,27.7,159,40.9,36.1,373,45,12.1,69,2.06,17.5
ENG-Premier League,2023-24,Aston Villa,Robin Olsen,SWE,GK,33,1990,4.5,13,0,1,0,0,11.1,0.3,-1.9,-0.43,15,48,31.3,176,19,20.5,27.1,27,44.4,35.9,46,6,13.0,1,0.22,8.4
ENG-Premier League,2023-24,Bournemouth,Ionuț Radu,ROU,GK,26,1997,2.0,7,0,0,3,0,2.9,0.27,-4.1,-2.04,5,15,33.3,57,10,19.3,26.9,11,36.4,29.2,19,2,10.5,0,0.0,9.6
ENG-Premier League,2023-24,Bournemouth,Mark Travers,IRL,GK,24,1999,4.0,5,1,0,0,0,5.0,0.23,0.0,0.01,22,72,30.6,92,13,55.4,41.7,26,80.8,55.6,60,3,5.0,3,0.75,14.8
ENG-Premier League,2023-24,Bournemouth,Neto,BRA,GK,34,1989,32.0,55,5,1,3,1,55.2,0.31,1.2,0.04,172,494,34.8,833,154,44.1,36.9,223,57.0,44.2,413,26,6.3,34,1.06,13.7
ENG-Premier League,2023-24,Brentford,Mark Flekken,NED,GK,30,1993,36.5,63,2,0,6,0,55.4,0.31,-7.6,-0.21,242,647,37.4,1288,131,36.6,34.5,289,60.9,46.7,568,44,7.7,37,1.01,12.6
ENG-Premier League,2023-24,Brentford,Thomas Strakosha,ALB,GK,28,1995,1.5,2,0,0,0,0,1.5,0.2,-0.5,-0.3,12,30,40.0,56,5,41.1,35.8,15,46.7,39.9,37,2,5.4,1,0.67,10.0
ENG-Premier League,2023-24,Brighton,Bart Verbruggen,NED,GK,20,2002,21.0,28,3,0,3,0,25.4,0.25,-2.6,-0.12,55,142,38.7,789,117,17.1,24.4,72,9.7,15.7,232,17,7.3,31,1.48,15.8
