league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
ENG-Premier League,2025-26,Arsenal,Ben White,ENG,DF,27-327,1997,0.8,21,27,77.8,353,131,10,11,90.9,10,12,83.3,1,3,33.3,0,0.0,0.0,0.0,1,5,0,0,4
ENG-Premier League,2025-26,Arsenal,Bukayo Saka,ENG,FW,23-360,2001,1.6,33,40,82.5,541,70,19,20,95.0,9,13,69.2,4,6,66.7,0,0.1,0.1,-0.1,3,0,1,0,2
ENG-Premier League,2025-26,Arsenal,Cristhian Mosquera,ESP,DF,21-065,2004,0.3,13,14,92.9,211,43,5,5,100.0,8,8,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1
ENG-Premier League,2025-26,Arsenal,David Raya,ESP,GK,29-350,1995,2.0,51,69,73.9,1382,985,11,11,100.0,25,25,100.0,15,33,45.5,0,0.0,0.0,0.0,0,2,0,0,0
ENG-Premier League,2025-26,Arsenal,Declan Rice,ENG,MF,26-229,1999,1.9,86,96,89.6,1484,332,39,43,90.7,36,37,97.3,9,14,64.3,1,0.5,0.5,0.5,3,3,1,0,5
ENG-Premier League,2025-26,Arsenal,Ethan Nwaneri,ENG,MF,18-163,2007,0.6,26,27,96.3,525,84,8,8,100.0,16,16,100.0,2,3,66.7,0,0.0,0.0,0.0,0,1,0,0,3
ENG-Premier League,2025-26,Arsenal,Gabriel Magalhães,BRA,DF,27-255,1997,2.0,113,130,86.9,2189,617,41,45,91.1,57,64,89.1,13,18,72.2,0,0.0,0.0,0.0,0,6,0,0,6
ENG-Premier League,2025-26,Arsenal,Gabriel Martinelli,BRA,FW,24-074,2001,0.7,3,6,50.0,35,12,1,2,50.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,1,0,0,0,1
ENG-Premier League,2025-26,Arsenal,Jurriën Timber,NED,DF,24-075,2001,0.9,41,50,82.0,681,177,17,18,94.4,22,27,81.5,2,4,50.0,1,0.1,0.1,0.9,2,4,3,0,5
ENG-Premier League,2025-26,Arsenal,Kai Havertz,GER,FW,26-081,1999,0.3,5,9,55.6,79,33,4,7,57.1,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,2
ENG-Premier League,2025-26,Arsenal,Leandro Trossard,BEL,FW,30-270,1994,0.4,8,12,66.7,221,97,2,3,66.7,4,4,100.0,2,3,66.7,0,0.0,0.0,0.0,1,1,2,2,0
ENG-Premier League,2025-26,Arsenal,Martin Ødegaard,NOR,MF,26-257,1998,1.4,52,69,75.4,912,373,28,32,87.5,17,24,70.8,7,8,87.5,0,0.1,0.3,-0.1,1,11,3,0,12
ENG-Premier League,2025-26,Arsenal,Martín Zubimendi,ESP,MF,26-210,1999,2.0,111,126,88.1,1745,401,53,58,91.4,53,59,89.8,5,7,71.4,0,0.0,0.0,0.0,0,7,0,0,11
ENG-Premier League,2025-26,Arsenal,Max Dowman,ENG,FW,15-243,2009,0.3,2,2,100.0,31,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2025-26,Arsenal,Mikel Merino,ESP,MF,29-070,1996,0.1,2,4,50.0,18,10,2,3,66.7,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2025-26,Arsenal,Myles Lewis-Skelly,ENG,DF,18-339,2006,0.5,24,26,92.3,385,51,11,11,100.0,13,14,92.9,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2025-26,Arsenal,Noni Madueke,ENG,FW,23-174,2002,1.0,28,37,75.7,376,90,16,20,80.0,10,14,71.4,1,1,100.0,0,0.1,0.1,-0.1,3,0,4,1,4
ENG-Premier League,2025-26,Arsenal,Riccardo Calafiori,ITA,DF,23-104,2002,1.5,53,65,81.5,922,287,22,22,100.0,26,33,78.8,5,8,62.5,2,0.5,0.0,1.5,2,4,0,0,4
ENG-Premier League,2025-26,Arsenal,Viktor Gyökeres,SWE,FW,27-088,1998,1.7,9,20,45.0,98,17,7,13,53.8,1,3,33.3,0,1,0.0,0,0.0,0.1,0.0,0,0,0,0,0
ENG-Premier League,2025-26,Arsenal,William Saliba,FRA,DF,24-160,2001,2.0,140,149,94.0,2540,848,55,56,98.2,73,77,94.8,11,14,78.6,0,0.0,0.0,0.0,0,6,0,0,7
