league,season,team,player,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
ENG-Premier League,2023-24,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6.0,188,153,35,16,0,0,0,0,0,0,0,0,131,0,2
ENG-Premier League,2023-24,Arsenal,Ben White,ENG,DF,25,1997,33.2,2177,1922,251,46,5,11,57,205,0,0,0,0,1828,4,21
ENG-Premier League,2023-24,Arsenal,Bukayo Saka,ENG,FW,21,2001,32.4,1512,1365,138,7,4,3,181,12,119,99,0,0,1143,9,50
ENG-Premier League,2023-24,Arsenal,Cédric Soares,POR,DF,31,1991,0.7,69,61,8,2,0,0,4,6,0,0,0,0,60,0,1
ENG-Premier League,2023-24,Arsenal,David Raya,ESP,GK,27,1995,32.0,1068,898,167,71,0,1,0,0,0,0,0,0,800,3,2
ENG-Premier League,2023-24,Arsenal,Declan Rice,ENG,MF,24,1999,35.8,2295,2181,107,48,2,17,60,1,47,38,0,0,2041,7,26
ENG-Premier League,2023-24,Arsenal,Eddie Nketiah,ENG,FW,24,1999,12.0,215,199,16,0,3,0,5,1,0,0,0,0,168,0,10
ENG-Premier League,2023-24,Arsenal,Emile Smith Rowe,ENG,MF,23,2000,3.9,213,207,6,3,0,1,1,1,1,0,0,0,188,0,2
ENG-Premier League,2023-24,Arsenal,Ethan Nwaneri,ENG,FW,16,2007,0.2,18,18,0,0,0,0,0,0,0,0,0,0,15,0,0
ENG-Premier League,2023-24,Arsenal,Fabio Vieira,POR,"MF,FW",23,2000,3.3,150,137,12,3,3,2,15,0,8,3,0,0,122,1,1
ENG-Premier League,2023-24,Arsenal,Gabriel Jesus,BRA,FW,26,1997,16.4,513,482,23,2,8,2,9,6,0,0,0,0,403,8,18
ENG-Premier League,2023-24,Arsenal,Gabriel Magalhães,BRA,DF,25,1997,33.8,2157,2030,122,53,2,4,4,4,0,0,0,0,1914,5,22
