league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
ENG-Premier League,2025-26,Arsenal,Ben White,ENG,DF,27-327,1997,0.8,38,4,11,20,8,0,38,1,1,100.0,0,0.0,13,53,25,1,1,0,0,0,14,0
ENG-Premier League,2025-26,Arsenal,Bukayo Saka,ENG,FW,23-360,2001,1.6,62,1,4,20,39,5,62,10,3,30.0,7,70.0,41,329,182,5,3,3,4,2,40,15
ENG-Premier League,2025-26,Arsenal,Cristhian Mosquera,ESP,DF,21-065,2004,0.3,17,0,4,11,2,0,17,0,0,,0,,9,17,3,0,0,0,0,0,9,0
ENG-Premier League,2025-26,Arsenal,David Raya,ESP,GK,29-350,1995,2.0,73,60,72,1,0,0,73,0,0,,0,,41,202,119,0,0,0,0,0,38,0
ENG-Premier League,2025-26,Arsenal,Declan Rice,ENG,MF,26-229,1999,1.9,106,3,25,59,22,2,106,1,1,100.0,0,0.0,64,332,121,4,1,1,2,0,78,1
ENG-Premier League,2025-26,Arsenal,Ethan Nwaneri,ENG,MF,18-163,2007,0.6,38,0,1,27,12,1,38,4,2,50.0,2,50.0,27,266,110,3,2,0,1,2,30,1
ENG-Premier League,2025-26,Arsenal,Gabriel Magalhães,BRA,DF,27-255,1997,2.0,150,16,67,70,13,4,150,1,0,0.0,1,100.0,92,445,276,4,1,0,2,0,113,0
ENG-Premier League,2025-26,Arsenal,Gabriel Martinelli,BRA,FW,24-074,2001,0.7,12,1,3,5,5,3,12,1,0,0.0,1,100.0,8,78,37,1,1,0,2,1,7,2
ENG-Premier League,2025-26,Arsenal,Jurriën Timber,NED,DF,24-075,2001,0.9,70,4,15,35,21,3,70,5,0,0.0,5,100.0,33,105,16,0,0,0,1,2,42,4
ENG-Premier League,2025-26,Arsenal,Kai Havertz,GER,FW,26-081,1999,0.3,16,0,2,5,10,1,16,4,1,25.0,1,25.0,11,75,21,1,1,1,1,1,12,2
ENG-Premier League,2025-26,Arsenal,Leandro Trossard,BEL,FW,30-270,1994,0.4,15,0,3,4,9,1,15,2,1,50.0,1,50.0,12,57,9,0,1,0,0,1,13,3
ENG-Premier League,2025-26,Arsenal,Martin Ødegaard,NOR,MF,26-257,1998,1.4,86,3,14,42,32,3,86,5,3,60.0,2,40.0,49,423,269,6,5,1,2,0,57,2
ENG-Premier League,2025-26,Arsenal,Martín Zubimendi,ESP,MF,26-210,1999,2.0,148,7,31,100,18,1,148,1,1,100.0,0,0.0,82,434,163,3,1,0,2,0,102,1
ENG-Premier League,2025-26,Arsenal,Max Dowman,ENG,FW,15-243,2009,0.3,13,0,1,3,9,5,13,5,1,20.0,3,60.0,8,118,61,3,1,2,1,1,8,5
ENG-Premier League,2025-26,Arsenal,Mikel Merino,ESP,MF,29-070,1996,0.1,6,2,3,3,0,0,6,0,0,,0,,2,3,2,0,0,0,0,0,3,0
ENG-Premier League,2025-26,Arsenal,Myles Lewis-Skelly,ENG,DF,18-339,2006,0.5,30,2,11,18,3,0,30,2,2,100.0,0,0.0,14,83,57,1,2,0,0,0,20,2
ENG-Premier League,2025-26,Arsenal,Noni Madueke,ENG,FW,23-174,2002,1.0,44,1,5,14,25,5,44,4,1,25.0,2,50.0,28,161,99,6,1,2,1,1,33,11
ENG-Premier League,2025-26,Arsenal,Riccardo Calafiori,ITA,DF,23-104,2002,1.5,78,4,15,39,25,7,78,3,2,66.7,0,0.0,32,188,118,2,2,0,1,0,38,7
ENG-Premier League,2025-26,Arsenal,Viktor Gyökeres,SWE,FW,27-088,1998,1.7,40,3,4,16,20,8,39,4,1,25.0,3,75.0,19,86,33,1,0,1,6,1,24,10
ENG-Premier League,2025-26,Arsenal,William Saliba,FRA,DF,24-160,2001,2.0,172,17,88,81,4,1,172,1,1,100.0,0,0.0,99,364,158,1,0,0,1,0,128,0
ENG-Premier League,2025-26,Aston Villa,Amadou Onana,BEL,MF,24-015,2001,1.7,95,9,30,56,10,3,95,2,2,100.0,0,0.0,63,289,103,2,1,0,1,1,62,1
ENG-Premier League,2025-26,Aston Villa,Boubacar Kamara,FRA,"MF,DF",25-281,1999,1.2,60,7,16,33,11,2,60,3,1,33.3,1,33.3,33,162,101,1,0,0,3,0,33,0
ENG-Premier League,2025-26,Aston Villa,Donyell Malen,NED,"FW,MF",26-234,1999,0.4,14,0,0,6,8,2,14,2,0,0.0,1,50.0,13,84,30,2,1,1,0,0,13,4
ENG-Premier League,2025-26,Aston Villa,Emi Buendía,ARG,MF,28-249,1996,0.7,19,2,2,9,8,3,19,0,0,,0,,9,43,17,1,0,0,0,3,12,1
ENG-Premier League,2025-26,Aston Villa,Emiliano Martínez,ARG,GK,32-363,1992,1.0,40,31,39,1,0,0,40,0,0,,0,,31,134,106,0,0,0,0,0,26,0
ENG-Premier League,2025-26,Aston Villa,Evann Guessand,CIV,MF,24-061,2001,0.2,16,0,3,3,10,1,16,4,1,25.0,3,75.0,9,86,53,2,0,1,2,1,9,0
ENG-Premier League,2025-26,Aston Villa,Ezri Konsa,ENG,DF,27-312,1997,0.7,38,2,13,25,0,0,38,1,0,0.0,1,100.0,25,118,81,1,0,0,0,0,25,0
ENG-Premier League,2025-26,Aston Villa,Ian Maatsen,NED,DF,23-174,2002,0.3,26,1,7,10,9,0,26,0,0,,0,,14,49,11,0,0,0,0,0,15,4
ENG-Premier League,2025-26,Aston Villa,John McGinn,SCO,"FW,MF",30-317,1994,1.7,79,3,13,31,36,6,79,6,2,33.3,4,66.7,53,325,135,4,2,2,5,4,55,12
ENG-Premier League,2025-26,Aston Villa,Lamare Bogarde,NED,MF,21-238,2004,0.2,20,0,2,11,7,0,20,0,0,,0,,18,102,69,1,1,0,0,1,19,0
ENG-Premier League,2025-26,Aston Villa,Lucas Digne,FRA,DF,32-042,1993,1.7,94,3,27,28,39,3,94,1,0,0.0,1,100.0,48,171,83,1,1,0,1,0,48,14
ENG-Premier League,2025-26,Aston Villa,Marco Bizot,NED,GK,34-174,1991,1.0,47,40,47,0,0,0,47,0,0,,0,,26,112,31,0,0,0,0,0,19,0
ENG-Premier League,2025-26,Aston Villa,Matty Cash,POL,DF,28-024,1997,2.0,130,12,41,51,39,3,130,2,0,0.0,1,50.0,72,363,164,2,1,1,0,0,68,9
ENG-Premier League,2025-26,Aston Villa,Morgan Rogers,ENG,"FW,MF",23-036,2002,2.0,75,1,6,38,32,8,75,12,5,41.7,7,58.3,60,295,115,2,2,0,11,2,57,12
ENG-Premier League,2025-26,Aston Villa,Ollie Watkins,ENG,FW,29-244,1995,2.0,51,1,6,19,28,11,51,6,4,66.7,1,16.7,33,232,135,8,2,5,3,1,38,13
ENG-Premier League,2025-26,Aston Villa,Pau Torres,ESP,DF,28-227,1997,1.0,114,11,35,67,14,3,114,1,0,0.0,1,100.0,87,508,330,4,6,0,1,1,85,1
ENG-Premier League,2025-26,Aston Villa,Tyrone Mings,ENG,DF,32-171,1993,2.0,142,21,61,77,5,5,142,2,1,50.0,1,50.0,89,452,229,0,0,0,0,0,86,1
ENG-Premier League,2025-26,Aston Villa,Youri Tielemans,BEL,MF,28-116,1997,2.0,131,2,16,76,39,4,131,1,1,100.0,0,0.0,81,379,205,6,3,0,3,2,95,9
