league,season,team,player,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
ENG-Premier League,2024-25,Arsenal,Ben White,ENG,DF,26,1997,13.3,0,9,2,22.2,0.68,0.15,0.0,0.0,19.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5
ENG-Premier League,2024-25,Arsenal,Bukayo Saka,ENG,"FW,MF",22,2001,19.2,6,66,22,33.3,3.44,1.15,0.08,0.23,15.6,1,1,1,6.8,6.0,0.09,-0.8,-1.0
ENG-Premier League,2024-25,Arsenal,David Raya,ESP,GK,28,1995,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Arsenal,Declan Rice,ENG,MF,25,1999,31.4,4,48,14,29.2,1.53,0.45,0.08,0.29,19.6,2,0,0,3.5,3.5,0.07,0.5,0.5
ENG-Premier League,2024-25,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17,2007,9.9,4,24,9,37.5,2.41,0.91,0.17,0.44,18.5,1,0,0,1.2,1.2,0.05,2.8,2.8
ENG-Premier League,2024-25,Arsenal,Gabriel Jesus,BRA,FW,27,1997,6.8,3,20,7,35.0,2.96,1.04,0.15,0.43,11.1,0,0,0,3.0,3.0,0.15,0.0,0.0
ENG-Premier League,2024-25,Arsenal,Gabriel Magalhães,BRA,DF,26,1997,26.3,3,22,5,22.7,0.84,0.19,0.14,0.6,9.5,0,0,0,2.6,2.6,0.12,0.4,0.4
ENG-Premier League,2024-25,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001,25.4,8,55,24,43.6,2.16,0.94,0.15,0.33,12.9,0,0,0,7.4,7.4,0.14,0.6,0.6
ENG-Premier League,2024-25,Arsenal,Jakub Kiwior,POL,DF,24,2000,12.5,1,3,1,33.3,0.24,0.08,0.33,1.0,18.5,0,0,0,0.2,0.2,0.06,0.8,0.8
ENG-Premier League,2024-25,Arsenal,Jorginho,ITA,MF,32,1991,7.8,0,2,0,0.0,0.26,0.0,0.0,,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,2024-25,Arsenal,Jurriën Timber,NED,DF,23,2001,26.9,1,14,4,28.6,0.52,0.15,0.07,0.25,14.1,0,0,0,1.2,1.2,0.09,-0.2,-0.2
ENG-Premier League,2024-25,Arsenal,Kai Havertz,GER,"FW,MF",25,1999,20.8,9,53,21,39.6,2.54,1.01,0.17,0.43,11.6,0,0,0,9.5,9.5,0.18,-0.5,-0.5
ENG-Premier League,2024-25,Arsenal,Kieran Tierney,SCO,"DF,FW",27,1997,2.9,1,2,1,50.0,0.69,0.35,0.5,1.0,4.1,0,0,0,0.4,0.4,0.18,0.6,0.6
ENG-Premier League,2024-25,Arsenal,Leandro Trossard,BEL,FW,29,1994,28.3,8,72,21,29.2,2.55,0.74,0.11,0.38,15.9,0,0,0,7.2,7.2,0.1,0.8,0.8
ENG-Premier League,2024-25,Arsenal,Martin Ødegaard,NOR,MF,25,1998,25.8,3,48,15,31.3,1.86,0.58,0.04,0.13,19.2,3,1,1,4.8,4.0,0.08,-1.8,-2.0
ENG-Premier League,2024-25,Arsenal,Mikel Merino,ESP,"MF,FW",28,1996,17.6,7,38,13,34.2,2.16,0.74,0.18,0.54,10.7,0,0,0,5.9,5.9,0.16,1.1,1.1
ENG-Premier League,2024-25,Arsenal,Myles Lewis-Skelly,ENG,DF,17,2006,15.2,1,3,1,33.3,0.2,0.07,0.33,1.0,14.7,0,0,0,0.2,0.2,0.05,0.8,0.8
ENG-Premier League,2024-25,Arsenal,Nathan Butler-Oyedeji,ENG,FW,21,2003,0.1,0,1,1,100.0,12.86,12.86,0.0,0.0,15.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ENG-Premier League,2024-25,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27,1996,5.9,0,10,0,0.0,1.71,0.0,0.0,,19.6,1,0,0,0.6,0.6,0.07,-0.6,-0.6
ENG-Premier League,2024-25,Arsenal,Raheem Sterling,ENG,"FW,MF",29,1994,5.5,0,11,0,0.0,1.98,0.0,0.0,,15.1,2,0,0,1.4,1.4,0.13,-1.4,-1.4
ENG-Premier League,2024-25,Arsenal,Reiss Nelson,ENG,FW,24,1999,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Arsenal,Riccardo Calafiori,ITA,DF,22,2002,10.9,2,10,6,60.0,0.92,0.55,0.2,0.33,14.1,0,0,0,0.9,0.9,0.09,1.1,1.1
ENG-Premier League,2024-25,Arsenal,Takehiro Tomiyasu,JPN,DF,25,1998,0.1,0,1,0,0.0,12.86,0.0,0.0,,1.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2
ENG-Premier League,2024-25,Arsenal,Thomas Partey,GHA,"MF,DF",31,1993,31.1,4,26,9,34.6,0.84,0.29,0.15,0.44,19.2,0,0,0,2.3,2.3,0.09,1.7,1.7
ENG-Premier League,2024-25,Arsenal,William Saliba,FRA,DF,23,2001,33.8,2,6,2,33.3,0.18,0.06,0.33,1.0,5.4,0,0,0,2.3,2.3,0.38,-0.3,-0.3
ENG-Premier League,2024-25,Aston Villa,Amadou Onana,BEL,MF,22,2001,18.0,3,17,6,35.3,0.95,0.33,0.18,0.5,14.7,0,0,0,2.1,2.1,0.12,0.9,0.9
ENG-Premier League,2024-25,Aston Villa,Andrés García,ESP,"DF,MF",21,2003,3.5,0,2,0,0.0,0.57,0.0,0.0,,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0
ENG-Premier League,2024-25,Aston Villa,Axel Disasi,FRA,DF,26,1998,5.4,0,2,0,0.0,0.37,0.0,0.0,,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ENG-Premier League,2024-25,Aston Villa,Boubacar Kamara,FRA,MF,24,1999,19.2,1,10,3,30.0,0.52,0.16,0.1,0.33,19.6,0,0,0,0.8,0.8,0.08,0.2,0.2
ENG-Premier League,2024-25,Aston Villa,Diego Carlos,BRA,DF,31,1993,9.2,0,4,1,25.0,0.43,0.11,0.0,0.0,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6
ENG-Premier League,2024-25,Aston Villa,Donyell Malen,NED,FW,25,1999,3.4,3,15,9,60.0,4.43,2.66,0.2,0.33,15.2,0,0,0,2.2,2.2,0.14,0.8,0.8
ENG-Premier League,2024-25,Aston Villa,Emi Buendía,ARG,"MF,FW",27,1996,1.1,0,5,0,0.0,4.59,0.0,0.0,,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7
ENG-Premier League,2024-25,Aston Villa,Emiliano Martínez,ARG,GK,31,1992,35.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Aston Villa,Ezri Konsa,ENG,DF,26,1997,32.6,2,11,5,45.5,0.34,0.15,0.18,0.4,8.8,0,0,0,1.3,1.3,0.12,0.7,0.7
ENG-Premier League,2024-25,Aston Villa,Ian Maatsen,NED,DF,22,2002,12.7,1,19,5,26.3,1.5,0.4,0.05,0.2,22.1,0,0,0,0.9,0.9,0.05,0.1,0.1
ENG-Premier League,2024-25,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23,2001,18.0,1,19,4,21.1,1.05,0.22,0.05,0.25,16.8,0,0,0,1.6,1.6,0.08,-0.6,-0.6
ENG-Premier League,2024-25,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",22,2002,3.7,0,7,0,0.0,1.9,0.0,0.0,,16.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5
ENG-Premier League,2024-25,Aston Villa,John McGinn,SCO,"MF,FW",29,1994,24.7,1,31,5,16.1,1.26,0.2,0.03,0.2,17.0,1,0,0,3.1,2.8,0.09,-2.1,-1.8
ENG-Premier League,2024-25,Aston Villa,Jáder Durán,COL,FW,20,2003,7.1,7,31,15,48.4,4.37,2.12,0.23,0.47,15.6,0,0,0,4.9,4.9,0.16,2.1,2.1
ENG-Premier League,2024-25,Aston Villa,Kosta Nedeljković,SRB,DF,18,2005,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Aston Villa,Lamare Bogarde,NED,"DF,MF",20,2004,5.3,0,1,1,100.0,0.19,0.19,0.0,0.0,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0
ENG-Premier League,2024-25,Aston Villa,Leon Bailey,JAM,"FW,MF",26,1997,12.7,1,28,6,21.4,2.21,0.47,0.04,0.17,17.3,2,0,0,1.7,1.7,0.06,-0.7,-0.7
ENG-Premier League,2024-25,Aston Villa,Lucas Digne,FRA,DF,31,1993,26.1,0,13,3,23.1,0.5,0.11,0.0,0.0,22.7,5,0,0,0.8,0.8,0.06,-0.8,-0.8
ENG-Premier League,2024-25,Aston Villa,Marco Asensio,ESP,MF,28,1996,8.3,3,22,9,40.9,2.66,1.09,0.14,0.33,19.6,1,0,2,4.4,2.9,0.13,-1.4,0.1
ENG-Premier League,2024-25,Aston Villa,Marcus Rashford,ENG,FW,26,1997,4.9,2,18,5,27.8,3.65,1.01,0.06,0.2,19.4,2,1,1,3.1,2.3,0.13,-1.1,-1.3
ENG-Premier League,2024-25,Aston Villa,Matty Cash,POL,DF,26,1997,23.0,1,13,6,46.2,0.57,0.26,0.08,0.17,18.8,0,0,0,0.5,0.5,0.04,0.5,0.5
ENG-Premier League,2024-25,Aston Villa,Morgan Rogers,ENG,"FW,MF",22,2002,34.6,8,55,20,36.4,1.59,0.58,0.15,0.4,15.9,0,0,0,6.6,6.6,0.12,1.4,1.4
ENG-Premier League,2024-25,Aston Villa,Ollie Watkins,ENG,FW,28,1995,28.9,16,82,36,43.9,2.84,1.25,0.17,0.39,12.1,0,2,2,15.3,13.8,0.17,0.7,0.2
ENG-Premier League,2024-25,Aston Villa,Pau Torres,ESP,DF,27,1997,22.4,0,8,2,25.0,0.36,0.09,0.0,0.0,11.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5
ENG-Premier League,2024-25,Aston Villa,Robin Olsen,SWE,GK,34,1990,2.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Aston Villa,Ross Barkley,ENG,MF,30,1993,6.5,3,16,5,31.3,2.48,0.77,0.19,0.6,14.2,0,0,0,1.8,1.8,0.11,1.2,1.2
ENG-Premier League,2024-25,Aston Villa,Tyrone Mings,ENG,DF,31,1993,12.4,0,9,1,11.1,0.72,0.08,0.0,0.0,11.8,0,0,0,0.8,0.8,0.09,-0.8,-0.8
ENG-Premier League,2024-25,Aston Villa,Youri Tielemans,BEL,MF,27,1997,33.6,3,40,12,30.0,1.19,0.36,0.08,0.25,20.1,0,0,1,3.3,2.5,0.06,-0.3,0.5
ENG-Premier League,2024-25,Bournemouth,Adam Smith,ENG,DF,33,1991,17.7,0,3,0,0.0,0.17,0.0,0.0,,16.9,0,0,0,0.7,0.7,0.22,-0.7,-0.7
ENG-Premier League,2024-25,Bournemouth,Alex Scott,ENG,MF,20,2003,8.4,0,15,6,40.0,1.79,0.72,0.0,0.0,21.1,1,0,0,0.7,0.7,0.05,-0.7,-0.7
ENG-Premier League,2024-25,Bournemouth,Antoine Semenyo,GHA,FW,24,2000,35.6,11,125,40,32.0,3.51,1.12,0.09,0.28,17.0,0,0,0,10.0,10.0,0.08,1.0,1.0
ENG-Premier League,2024-25,Bournemouth,Ben Winterburn,ENG,"MF,FW",19,2004,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Bournemouth,Dango Ouattara,BFA,FW,22,2002,22.3,7,62,20,32.3,2.78,0.9,0.11,0.35,13.5,1,0,0,8.4,8.4,0.14,-1.4,-1.4
ENG-Premier League,2024-25,Bournemouth,Daniel Jebbison,CAN,FW,20,2003,1.3,1,5,2,40.0,3.78,1.51,0.2,0.5,10.6,0,0,0,1.0,1.0,0.2,0.0,0.0
ENG-Premier League,2024-25,Bournemouth,David Brooks,WAL,"FW,MF",27,1997,10.7,2,25,12,48.0,2.34,1.13,0.08,0.17,16.3,0,0,0,2.5,2.5,0.1,-0.5,-0.5
ENG-Premier League,2024-25,Bournemouth,Dean Huijsen,ESP,DF,19,2005,27.0,3,18,3,16.7,0.67,0.11,0.17,1.0,11.9,0,0,0,1.9,1.9,0.1,1.1,1.1
ENG-Premier League,2024-25,Bournemouth,Enes Ünal,TUR,"FW,MF",27,1997,3.8,2,20,7,35.0,5.22,1.83,0.1,0.29,14.6,3,0,0,2.7,2.7,0.14,-0.7,-0.7
ENG-Premier League,2024-25,Bournemouth,Evanilson,BRA,FW,24,1999,25.8,10,72,31,43.1,2.79,1.2,0.14,0.32,12.8,0,0,1,12.5,11.7,0.16,-2.5,-1.7
ENG-Premier League,2024-25,Bournemouth,Illia Zabarnyi,UKR,DF,21,2002,34.5,0,12,1,8.3,0.35,0.03,0.0,0.0,9.8,0,0,0,1.3,1.3,0.11,-1.3,-1.3
ENG-Premier League,2024-25,Bournemouth,James Hill,ENG,DF,22,2002,5.0,0,6,0,0.0,1.21,0.0,0.0,,13.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
ENG-Premier League,2024-25,Bournemouth,Julian Araujo,MEX,DF,22,2001,5.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Bournemouth,Julio Soler,ARG,"DF,FW",19,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Bournemouth,Justin Kluivert,NED,MF,25,1999,26.0,12,57,23,40.4,2.19,0.88,0.11,0.26,20.0,0,6,6,10.3,5.6,0.1,1.7,0.4
ENG-Premier League,2024-25,Bournemouth,Kepa Arrizabalaga,ESP,GK,29,1994,31.0,0,1,0,0.0,0.03,0.0,0.0,,9.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,2024-25,Bournemouth,Lewis Cook,ENG,"MF,DF",27,1997,33.1,1,14,4,28.6,0.42,0.12,0.07,0.25,23.4,1,0,0,0.9,0.9,0.07,0.1,0.1
ENG-Premier League,2024-25,Bournemouth,Luis Sinisterra,COL,"FW,MF",25,1999,2.6,1,13,6,46.2,4.96,2.29,0.08,0.17,14.8,0,0,0,1.2,1.2,0.09,-0.2,-0.2
ENG-Premier League,2024-25,Bournemouth,Marcos Senesi,ARG,DF,27,1997,12.3,0,3,0,0.0,0.24,0.0,0.0,,7.9,0,0,0,0.8,0.8,0.28,-0.8,-0.8
ENG-Premier League,2024-25,Bournemouth,Marcus Tavernier,ENG,"FW,MF",25,1999,21.5,3,57,17,29.8,2.65,0.79,0.05,0.18,21.1,4,0,0,5.5,5.5,0.1,-2.5,-2.5
ENG-Premier League,2024-25,Bournemouth,Mark Travers,IRL,GK,25,1999,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
